date,COST,isPartial
2021-01-10,86,False
2021-01-17,90,False
2021-01-24,91,False
2021-01-31,88,False
2021-02-07,88,False
2021-02-14,88,False
2021-02-21,88,False
2021-02-28,94,False
2021-03-07,92,False
2021-03-14,91,False
2021-03-21,92,False
2021-03-28,92,False
2021-04-04,93,False
2021-04-11,88,False
2021-04-18,91,False
2021-04-25,90,False
2021-05-02,90,False
2021-05-09,89,False
2021-05-16,89,False
2021-05-23,86,False
2021-05-30,88,False
2021-06-06,88,False
2021-06-13,90,False
2021-06-20,87,False
2021-06-27,86,False
2021-07-04,90,False
2021-07-11,93,False
2021-07-18,92,False
2021-07-25,90,False
2021-08-01,90,False
2021-08-08,91,False
2021-08-15,91,False
2021-08-22,90,False
2021-08-29,87,False
2021-09-05,87,False
2021-09-12,89,False
2021-09-19,91,True
