date,EMR,isPartial
2016-09-11,67,False
2016-09-18,67,False
2016-09-25,69,False
2016-10-02,65,False
2016-10-09,69,False
2016-10-16,67,False
2016-10-23,77,False
2016-10-30,57,False
2016-11-06,78,False
2016-11-13,78,False
2016-11-20,64,False
2016-11-27,69,False
2016-12-04,68,False
2016-12-11,66,False
2016-12-18,66,False
2016-12-25,50,False
2017-01-01,67,False
2017-01-08,74,False
2017-01-15,65,False
2017-01-22,72,False
2017-01-29,90,False
2017-02-05,79,False
2017-02-12,69,False
2017-02-19,74,False
2017-02-26,83,False
2017-03-05,77,False
2017-03-12,64,False
2017-03-19,73,False
2017-03-26,72,False
2017-04-02,69,False
2017-04-09,80,False
2017-04-16,78,False
2017-04-23,67,False
2017-04-30,81,False
2017-05-07,87,False
2017-05-14,70,False
2017-05-21,79,False
2017-05-28,61,False
2017-06-04,65,False
2017-06-11,62,False
2017-06-18,71,False
2017-06-25,68,False
2017-07-02,59,False
2017-07-09,76,False
2017-07-16,75,False
2017-07-23,73,False
2017-07-30,76,False
2017-08-06,76,False
2017-08-13,68,False
2017-08-20,77,False
2017-08-27,65,False
2017-09-03,69,False
2017-09-10,85,False
2017-09-17,82,False
2017-09-24,76,False
2017-10-01,73,False
2017-10-08,65,False
2017-10-15,88,False
2017-10-22,77,False
2017-10-29,73,False
2017-11-05,80,False
2017-11-12,85,False
2017-11-19,75,False
2017-11-26,84,False
2017-12-03,86,False
2017-12-10,83,False
2017-12-17,77,False
2017-12-24,41,False
2017-12-31,66,False
2018-01-07,79,False
2018-01-14,70,False
2018-01-21,84,False
2018-01-28,69,False
2018-02-04,78,False
2018-02-11,80,False
2018-02-18,84,False
2018-02-25,93,False
2018-03-04,84,False
2018-03-11,85,False
2018-03-18,76,False
2018-03-25,86,False
2018-04-01,76,False
2018-04-08,85,False
2018-04-15,82,False
2018-04-22,84,False
2018-04-29,76,False
2018-05-06,85,False
2018-05-13,79,False
2018-05-20,79,False
2018-05-27,73,False
2018-06-03,82,False
2018-06-10,78,False
2018-06-17,84,False
2018-06-24,78,False
2018-07-01,67,False
2018-07-08,70,False
2018-07-15,76,False
2018-07-22,78,False
2018-07-29,87,False
2018-08-05,83,False
2018-08-12,74,False
2018-08-19,70,False
2018-08-26,77,False
2018-09-02,80,False
2018-09-09,77,False
2018-09-16,78,False
2018-09-23,71,False
2018-09-30,78,False
2018-10-07,76,False
2018-10-14,71,False
2018-10-21,76,False
2018-10-28,70,False
2018-11-04,86,False
2018-11-11,81,False
2018-11-18,69,False
2018-11-25,77,False
2018-12-02,77,False
2018-12-09,78,False
2018-12-16,70,False
2018-12-23,59,False
2018-12-30,64,False
2019-01-06,80,False
2019-01-13,75,False
2019-01-20,88,False
2019-01-27,89,False
2019-02-03,81,False
2019-02-10,76,False
2019-02-17,86,False
2019-02-24,74,False
2019-03-03,76,False
2019-03-10,82,False
2019-03-17,80,False
2019-03-24,82,False
2019-03-31,93,False
2019-04-07,72,False
2019-04-14,81,False
2019-04-21,75,False
2019-04-28,72,False
2019-05-05,73,False
2019-05-12,82,False
2019-05-19,85,False
2019-05-26,76,False
2019-06-02,72,False
2019-06-09,80,False
2019-06-16,91,False
2019-06-23,90,False
2019-06-30,73,False
2019-07-07,76,False
2019-07-14,79,False
2019-07-21,79,False
2019-07-28,74,False
2019-08-04,83,False
2019-08-11,88,False
2019-08-18,92,False
2019-08-25,78,False
2019-09-01,91,False
2019-09-08,91,False
2019-09-15,90,False
2019-09-22,91,False
2019-09-29,97,False
2019-10-06,82,False
2019-10-13,86,False
2019-10-20,83,False
2019-10-27,88,False
2019-11-03,91,False
2019-11-10,100,False
2019-11-17,85,False
2019-11-24,73,False
2019-12-01,83,False
2019-12-08,97,False
2019-12-15,87,False
2019-12-22,64,False
2019-12-29,69,False
2020-01-05,91,False
2020-01-12,97,False
2020-01-19,85,False
2020-01-26,85,False
2020-02-02,83,False
2020-02-09,99,False
2020-02-16,93,False
2020-02-23,88,False
2020-03-01,90,False
2020-03-08,87,False
2020-03-15,83,False
2020-03-22,86,False
2020-03-29,78,False
2020-04-05,76,False
2020-04-12,75,False
2020-04-19,75,False
2020-04-26,69,False
2020-05-03,72,False
2020-05-10,93,False
2020-05-17,84,False
2020-05-24,78,False
2020-05-31,90,False
2020-06-07,83,False
2020-06-14,73,False
2020-06-21,82,False
2020-06-28,79,False
2020-07-05,86,False
2020-07-12,80,False
2020-07-19,89,False
2020-07-26,87,False
2020-08-02,91,False
2020-08-09,83,False
2020-08-16,83,False
2020-08-23,89,False
2020-08-30,90,False
2020-09-06,79,False
2020-09-13,93,False
2020-09-20,77,False
2020-09-27,83,False
2020-10-04,80,False
2020-10-11,86,False
2020-10-18,72,False
2020-10-25,76,False
2020-11-01,76,False
2020-11-08,77,False
2020-11-15,71,False
2020-11-22,69,False
2020-11-29,74,False
2020-12-06,85,False
2020-12-13,70,False
2020-12-20,58,False
2020-12-27,61,False
2021-01-03,73,False
2021-01-10,76,False
2021-01-17,72,False
2021-01-24,71,False
2021-01-31,73,False
2021-02-07,73,False
2021-02-14,77,False
2021-02-21,79,False
2021-02-28,71,False
2021-03-07,79,False
2021-03-14,71,False
2021-03-21,83,False
2021-03-28,67,False
2021-04-04,81,False
2021-04-11,81,False
2021-04-18,77,False
2021-04-25,81,False
2021-05-02,79,False
2021-05-09,83,False
2021-05-16,77,False
2021-05-23,81,False
2021-05-30,69,False
2021-06-06,83,False
2021-06-13,86,False
2021-06-20,83,False
2021-06-27,78,False
2021-07-04,73,False
2021-07-11,93,False
2021-07-18,89,False
2021-07-25,83,False
2021-08-01,79,False
2021-08-08,77,False
2021-08-15,79,False
2021-08-22,80,False
2021-08-29,77,False
