date,RSG,isPartial
2016-08-21,93,False
2016-08-28,71,False
2016-09-04,84,False
2016-09-11,83,False
2016-09-18,63,False
2016-09-25,71,False
2016-10-02,77,False
2016-10-09,100,False
2016-10-16,62,False
2016-10-23,68,False
2016-10-30,73,False
2016-11-06,72,False
2016-11-13,76,False
2016-11-20,68,False
2016-11-27,66,False
2016-12-04,73,False
2016-12-11,66,False
2016-12-18,56,False
2016-12-25,34,False
2017-01-01,50,False
2017-01-08,75,False
2017-01-15,67,False
2017-01-22,74,False
2017-01-29,69,False
2017-02-05,74,False
2017-02-12,62,False
2017-02-19,73,False
2017-02-26,65,False
2017-03-05,76,False
2017-03-12,64,False
2017-03-19,58,False
2017-03-26,63,False
2017-04-02,65,False
2017-04-09,71,False
2017-04-16,60,False
2017-04-23,57,False
2017-04-30,64,False
2017-05-07,62,False
2017-05-14,66,False
2017-05-21,63,False
2017-05-28,71,False
2017-06-04,63,False
2017-06-11,65,False
2017-06-18,64,False
2017-06-25,56,False
2017-07-02,65,False
2017-07-09,64,False
2017-07-16,47,False
2017-07-23,50,False
2017-07-30,53,False
2017-08-06,60,False
2017-08-13,60,False
2017-08-20,64,False
2017-08-27,63,False
2017-09-03,78,False
2017-09-10,67,False
2017-09-17,62,False
2017-09-24,77,False
2017-10-01,68,False
2017-10-08,60,False
2017-10-15,62,False
2017-10-22,67,False
2017-10-29,58,False
2017-11-05,75,False
2017-11-12,66,False
2017-11-19,56,False
2017-11-26,78,False
2017-12-03,77,False
2017-12-10,91,False
2017-12-17,63,False
2017-12-24,39,False
2017-12-31,50,False
2018-01-07,65,False
2018-01-14,79,False
2018-01-21,75,False
2018-01-28,64,False
2018-02-04,74,False
2018-02-11,69,False
2018-02-18,56,False
2018-02-25,52,False
2018-03-04,71,False
2018-03-11,65,False
2018-03-18,68,False
2018-03-25,68,False
2018-04-01,56,False
2018-04-08,66,False
2018-04-15,67,False
2018-04-22,63,False
2018-04-29,63,False
2018-05-06,64,False
2018-05-13,65,False
2018-05-20,61,False
2018-05-27,61,False
2018-06-03,55,False
2018-06-10,67,False
2018-06-17,68,False
2018-06-24,66,False
2018-07-01,70,False
2018-07-08,58,False
2018-07-15,49,False
2018-07-22,47,False
2018-07-29,57,False
2018-08-05,57,False
2018-08-12,60,False
2018-08-19,57,False
2018-08-26,60,False
2018-09-02,59,False
2018-09-09,69,False
2018-09-16,62,False
2018-09-23,64,False
2018-09-30,68,False
2018-10-07,49,False
2018-10-14,64,False
2018-10-21,55,False
2018-10-28,65,False
2018-11-04,61,False
2018-11-11,73,False
2018-11-18,72,False
2018-11-25,61,False
2018-12-02,64,False
2018-12-09,64,False
2018-12-16,69,False
2018-12-23,45,False
2018-12-30,35,False
2019-01-06,67,False
2019-01-13,54,False
2019-01-20,72,False
2019-01-27,67,False
2019-02-03,65,False
2019-02-10,66,False
2019-02-17,58,False
2019-02-24,63,False
2019-03-03,61,False
2019-03-10,75,False
2019-03-17,65,False
2019-03-24,61,False
2019-03-31,67,False
2019-04-07,73,False
2019-04-14,57,False
2019-04-21,59,False
2019-04-28,63,False
2019-05-05,63,False
