date,CBRE,isPartial
2016-08-21,79,False
2016-08-28,81,False
2016-09-04,77,False
2016-09-11,82,False
2016-09-18,84,False
2016-09-25,79,False
2016-10-02,79,False
2016-10-09,74,False
2016-10-16,84,False
2016-10-23,85,False
2016-10-30,76,False
2016-11-06,63,False
2016-11-13,72,False
2016-11-20,61,False
2016-11-27,70,False
2016-12-04,76,False
2016-12-11,60,False
2016-12-18,59,False
2016-12-25,34,False
2017-01-01,59,False
2017-01-08,69,False
2017-01-15,81,False
2017-01-22,76,False
2017-01-29,88,False
2017-02-05,75,False
2017-02-12,84,False
2017-02-19,84,False
2017-02-26,89,False
2017-03-05,88,False
2017-03-12,79,False
2017-03-19,87,False
2017-03-26,85,False
2017-04-02,83,False
2017-04-09,80,False
2017-04-16,74,False
2017-04-23,91,False
2017-04-30,81,False
2017-05-07,100,False
2017-05-14,78,False
2017-05-21,70,False
2017-05-28,79,False
2017-06-04,94,False
2017-06-11,75,False
2017-06-18,80,False
2017-06-25,82,False
2017-07-02,70,False
2017-07-09,70,False
2017-07-16,76,False
2017-07-23,83,False
2017-07-30,83,False
2017-08-06,78,False
2017-08-13,76,False
2017-08-20,83,False
2017-08-27,83,False
2017-09-03,83,False
2017-09-10,94,False
2017-09-17,82,False
2017-09-24,81,False
2017-10-01,77,False
2017-10-08,79,False
2017-10-15,79,False
2017-10-22,93,False
2017-10-29,79,False
2017-11-05,81,False
2017-11-12,79,False
2017-11-19,66,False
2017-11-26,78,False
2017-12-03,85,False
2017-12-10,69,False
2017-12-17,62,False
2017-12-24,40,False
2017-12-31,61,False
2018-01-07,73,False
2018-01-14,92,False
2018-01-21,81,False
2018-01-28,88,False
2018-02-04,78,False
2018-02-11,85,False
2018-02-18,82,False
2018-02-25,84,False
2018-03-04,96,False
2018-03-11,77,False
2018-03-18,93,False
2018-03-25,78,False
2018-04-01,80,False
2018-04-08,96,False
2018-04-15,87,False
2018-04-22,83,False
2018-04-29,72,False
2018-05-06,77,False
2018-05-13,93,False
2018-05-20,85,False
2018-05-27,82,False
2018-06-03,84,False
2018-06-10,82,False
2018-06-17,74,False
2018-06-24,81,False
2018-07-01,73,False
2018-07-08,93,False
2018-07-15,78,False
2018-07-22,82,False
2018-07-29,74,False
2018-08-05,78,False
2018-08-12,81,False
2018-08-19,81,False
2018-08-26,84,False
2018-09-02,76,False
2018-09-09,86,False
2018-09-16,95,False
2018-09-23,83,False
2018-09-30,96,False
2018-10-07,92,False
2018-10-14,90,False
2018-10-21,97,False
2018-10-28,84,False
2018-11-04,78,False
2018-11-11,77,False
2018-11-18,67,False
2018-11-25,77,False
2018-12-02,80,False
2018-12-09,77,False
2018-12-16,70,False
2018-12-23,32,False
2018-12-30,46,False
2019-01-06,90,False
2019-01-13,92,False
2019-01-20,81,False
2019-01-27,89,False
2019-02-03,85,False
2019-02-10,90,False
2019-02-17,94,False
2019-02-24,88,False
2019-03-03,86,False
2019-03-10,85,False
2019-03-17,91,False
2019-03-24,87,False
2019-03-31,90,False
2019-04-07,87,False
2019-04-14,75,False
2019-04-21,85,False
2019-04-28,86,False
2019-05-05,81,False
2019-05-12,86,False
2019-05-19,90,False
2019-05-26,72,False
2019-06-02,86,False
2019-06-09,93,False
2019-06-16,91,False
2019-06-23,84,False
2019-06-30,76,False
2019-07-07,84,False
2019-07-14,94,False
2019-07-21,84,False
2019-07-28,96,False
2019-08-04,78,False
2019-08-11,77,False
2019-08-18,87,False
