date,SYY,isPartial
2016-08-21,31,False
2016-08-28,41,False
2016-09-04,43,False
2016-09-11,43,False
2016-09-18,32,False
2016-09-25,36,False
2016-10-02,27,False
2016-10-09,42,False
2016-10-16,29,False
2016-10-23,21,False
2016-10-30,28,False
2016-11-06,61,False
2016-11-13,49,False
2016-11-20,34,False
2016-11-27,39,False
2016-12-04,27,False
2016-12-11,28,False
2016-12-18,34,False
2016-12-25,47,False
2017-01-01,39,False
2017-01-08,37,False
2017-01-15,36,False
2017-01-22,58,False
2017-01-29,30,False
2017-02-05,30,False
2017-02-12,56,False
2017-02-19,27,False
2017-02-26,33,False
2017-03-05,37,False
2017-03-12,35,False
2017-03-19,40,False
2017-03-26,42,False
2017-04-02,27,False
2017-04-09,27,False
2017-04-16,36,False
2017-04-23,36,False
2017-04-30,52,False
2017-05-07,46,False
2017-05-14,40,False
2017-05-21,25,False
2017-05-28,31,False
2017-06-04,22,False
2017-06-11,35,False
2017-06-18,38,False
2017-06-25,44,False
2017-07-02,19,False
2017-07-09,35,False
2017-07-16,42,False
2017-07-23,37,False
2017-07-30,42,False
2017-08-06,51,False
2017-08-13,46,False
2017-08-20,41,False
2017-08-27,39,False
2017-09-03,35,False
2017-09-10,31,False
2017-09-17,42,False
2017-09-24,31,False
2017-10-01,21,False
2017-10-08,36,False
2017-10-15,44,False
2017-10-22,41,False
2017-10-29,32,False
2017-11-05,39,False
2017-11-12,35,False
2017-11-19,15,False
2017-11-26,37,False
2017-12-03,47,False
2017-12-10,41,False
2017-12-17,31,False
2017-12-24,34,False
2017-12-31,33,False
2018-01-07,38,False
2018-01-14,41,False
2018-01-21,36,False
2018-01-28,38,False
2018-02-04,54,False
2018-02-11,36,False
2018-02-18,30,False
2018-02-25,33,False
2018-03-04,35,False
2018-03-11,16,False
2018-03-18,39,False
2018-03-25,24,False
2018-04-01,47,False
2018-04-08,43,False
2018-04-15,45,False
2018-04-22,49,False
2018-04-29,22,False
2018-05-06,40,False
2018-05-13,24,False
2018-05-20,44,False
2018-05-27,36,False
2018-06-03,33,False
2018-06-10,33,False
2018-06-17,32,False
2018-06-24,23,False
2018-07-01,43,False
2018-07-08,25,False
2018-07-15,44,False
2018-07-22,38,False
2018-07-29,41,False
2018-08-05,46,False
2018-08-12,78,False
2018-08-19,29,False
2018-08-26,36,False
2018-09-02,36,False
2018-09-09,39,False
2018-09-16,31,False
2018-09-23,47,False
2018-09-30,30,False
2018-10-07,39,False
2018-10-14,54,False
2018-10-21,32,False
2018-10-28,39,False
2018-11-04,66,False
2018-11-11,35,False
2018-11-18,36,False
2018-11-25,54,False
2018-12-02,28,False
2018-12-09,30,False
2018-12-16,34,False
2018-12-23,24,False
2018-12-30,27,False
2019-01-06,35,False
2019-01-13,40,False
2019-01-20,22,False
2019-01-27,39,False
2019-02-03,40,False
2019-02-10,52,False
2019-02-17,36,False
2019-02-24,27,False
2019-03-03,35,False
2019-03-10,50,False
2019-03-17,33,False
2019-03-24,38,False
2019-03-31,44,False
2019-04-07,28,False
2019-04-14,38,False
2019-04-21,57,False
2019-04-28,28,False
2019-05-05,31,False
2019-05-12,52,False
2019-05-19,35,False
2019-05-26,22,False
2019-06-02,21,False
2019-06-09,29,False
2019-06-16,24,False
2019-06-23,31,False
2019-06-30,23,False
2019-07-07,28,False
2019-07-14,51,False
2019-07-21,20,False
2019-07-28,35,False
2019-08-04,46,False
2019-08-11,31,False
2019-08-18,26,False
