date,ARE,isPartial
2016-08-21,57,False
2016-08-28,58,False
2016-09-04,59,False
2016-09-11,64,False
2016-09-18,61,False
2016-09-25,63,False
2016-10-02,63,False
2016-10-09,62,False
2016-10-16,61,False
2016-10-23,63,False
2016-10-30,65,False
2016-11-06,67,False
2016-11-13,66,False
2016-11-20,56,False
2016-11-27,63,False
2016-12-04,64,False
2016-12-11,64,False
2016-12-18,54,False
2016-12-25,53,False
2017-01-01,60,False
2017-01-08,64,False
2017-01-15,63,False
2017-01-22,67,False
2017-01-29,66,False
2017-02-05,67,False
2017-02-12,66,False
2017-02-19,66,False
2017-02-26,70,False
2017-03-05,67,False
2017-03-12,64,False
2017-03-19,65,False
2017-03-26,64,False
2017-04-02,64,False
2017-04-09,64,False
2017-04-16,63,False
2017-04-23,65,False
2017-04-30,64,False
2017-05-07,63,False
2017-05-14,60,False
2017-05-21,59,False
2017-05-28,58,False
2017-06-04,59,False
2017-06-11,57,False
2017-06-18,57,False
2017-06-25,55,False
2017-07-02,57,False
2017-07-09,55,False
2017-07-16,57,False
2017-07-23,56,False
2017-07-30,56,False
2017-08-06,56,False
2017-08-13,56,False
2017-08-20,58,False
2017-08-27,57,False
2017-09-03,61,False
2017-09-10,64,False
2017-09-17,64,False
2017-09-24,64,False
2017-10-01,63,False
2017-10-08,63,False
2017-10-15,64,False
2017-10-22,65,False
2017-10-29,65,False
2017-11-05,65,False
2017-11-12,64,False
2017-11-19,58,False
2017-11-26,64,False
2017-12-03,66,False
2017-12-10,63,False
2017-12-17,54,False
2017-12-24,51,False
2017-12-31,59,False
2018-01-07,61,False
2018-01-14,63,False
2018-01-21,66,False
2018-01-28,64,False
2018-02-04,67,False
2018-02-11,65,False
2018-02-18,66,False
2018-02-25,66,False
2018-03-04,67,False
2018-03-11,63,False
2018-03-18,67,False
2018-03-25,67,False
2018-04-01,64,False
2018-04-08,66,False
2018-04-15,67,False
2018-04-22,67,False
2018-04-29,65,False
2018-05-06,63,False
2018-05-13,65,False
2018-05-20,63,False
2018-05-27,62,False
2018-06-03,61,False
2018-06-10,61,False
2018-06-17,58,False
2018-06-24,59,False
2018-07-01,59,False
2018-07-08,59,False
2018-07-15,58,False
2018-07-22,60,False
2018-07-29,58,False
2018-08-05,58,False
2018-08-12,60,False
2018-08-19,59,False
2018-08-26,63,False
2018-09-02,62,False
2018-09-09,63,False
2018-09-16,67,False
2018-09-23,68,False
2018-09-30,67,False
2018-10-07,69,False
2018-10-14,67,False
2018-10-21,67,False
2018-10-28,68,False
2018-11-04,70,False
2018-11-11,67,False
2018-11-18,62,False
2018-11-25,67,False
2018-12-02,69,False
2018-12-09,67,False
2018-12-16,61,False
2018-12-23,57,False
2018-12-30,65,False
2019-01-06,68,False
2019-01-13,69,False
2019-01-20,69,False
2019-01-27,69,False
2019-02-03,70,False
2019-02-10,73,False
2019-02-17,72,False
2019-02-24,69,False
2019-03-03,70,False
2019-03-10,71,False
2019-03-17,69,False
2019-03-24,69,False
2019-03-31,67,False
2019-04-07,67,False
2019-04-14,68,False
2019-04-21,68,False
2019-04-28,69,False
2019-05-05,68,False
2019-05-12,66,False
2019-05-19,65,False
2019-05-26,60,False
2019-06-02,63,False
2019-06-09,61,False
2019-06-16,61,False
2019-06-23,62,False
2019-06-30,59,False
2019-07-07,60,False
2019-07-14,61,False
2019-07-21,61,False
2019-07-28,62,False
2019-08-04,59,False
2019-08-11,59,False
2019-08-18,64,False
2019-08-25,65,False
2019-09-01,66,False
2019-09-08,71,False
2019-09-15,71,False
2019-09-22,70,False
2019-09-29,70,False
2019-10-06,69,False
2019-10-13,70,False
2019-10-20,68,False
2019-10-27,69,False
2019-11-03,71,False
2019-11-10,72,False
2019-11-17,71,False
2019-11-24,62,False
2019-12-01,71,False
2019-12-08,70,False
2019-12-15,65,False
2019-12-22,60,False
2019-12-29,67,False
2020-01-05,70,False
2020-01-12,70,False
2020-01-19,72,False
2020-01-26,75,False
2020-02-02,76,False
2020-02-09,73,False
2020-02-16,76,False
2020-02-23,76,False
2020-03-01,77,False
2020-03-08,84,False
2020-03-15,96,False
2020-03-22,98,False
2020-03-29,96,False
2020-04-05,95,False
2020-04-12,94,False
2020-04-19,98,False
2020-04-26,98,False
2020-05-03,98,False
2020-05-10,97,False
2020-05-17,96,False
2020-05-24,86,False
2020-05-31,91,False
2020-06-07,88,False
2020-06-14,85,False
2020-06-21,83,False
2020-06-28,83,False
2020-07-05,80,False
2020-07-12,80,False
2020-07-19,81,False
2020-07-26,83,False
2020-08-02,77,False
2020-08-09,78,False
2020-08-16,77,False
2020-08-23,85,False
2020-08-30,85,False
2020-09-06,94,False
2020-09-13,100,False
2020-09-20,100,False
2020-09-27,96,False
2020-10-04,95,False
2020-10-11,91,False
2020-10-18,87,False
2020-10-25,83,False
2020-11-01,92,False
2020-11-08,83,False
2020-11-15,86,False
2020-11-22,82,False
2020-11-29,85,False
2020-12-06,87,False
2020-12-13,86,False
2020-12-20,78,False
2020-12-27,78,False
2021-01-03,84,False
2021-01-10,86,False
2021-01-17,88,False
2021-01-24,89,False
2021-01-31,89,False
2021-02-07,86,False
2021-02-14,89,False
2021-02-21,91,False
2021-02-28,91,False
2021-03-07,86,False
2021-03-14,90,False
2021-03-21,85,False
2021-03-28,85,False
2021-04-04,87,False
2021-04-11,86,False
2021-04-18,86,False
2021-04-25,88,False
2021-05-02,87,False
2021-05-09,84,False
2021-05-16,84,False
2021-05-23,82,False
2021-05-30,79,False
2021-06-06,81,False
2021-06-13,84,False
2021-06-20,80,False
2021-06-27,81,False
2021-07-04,80,False
2021-07-11,82,False
2021-07-18,80,False
2021-07-25,80,False
2021-08-01,82,False
2021-08-08,80,True
