date,ACN,isPartial
2016-08-21,81,False
2016-08-28,79,False
2016-09-04,89,False
2016-09-11,83,False
2016-09-18,82,False
2016-09-25,86,False
2016-10-02,87,False
2016-10-09,75,False
2016-10-16,72,False
2016-10-23,87,False
2016-10-30,73,False
2016-11-06,90,False
2016-11-13,75,False
2016-11-20,76,False
2016-11-27,87,False
2016-12-04,77,False
2016-12-11,82,False
2016-12-18,79,False
2016-12-25,62,False
2017-01-01,61,False
2017-01-08,75,False
2017-01-15,78,False
2017-01-22,90,False
2017-01-29,79,False
2017-02-05,84,False
2017-02-12,83,False
2017-02-19,89,False
2017-02-26,93,False
2017-03-05,77,False
2017-03-12,75,False
2017-03-19,100,False
2017-03-26,91,False
2017-04-02,100,False
2017-04-09,75,False
2017-04-16,77,False
2017-04-23,73,False
2017-04-30,73,False
2017-05-07,78,False
2017-05-14,77,False
2017-05-21,71,False
2017-05-28,73,False
2017-06-04,81,False
2017-06-11,66,False
2017-06-18,83,False
2017-06-25,73,False
2017-07-02,73,False
2017-07-09,73,False
2017-07-16,83,False
2017-07-23,74,False
2017-07-30,79,False
2017-08-06,69,False
2017-08-13,74,False
2017-08-20,66,False
2017-08-27,64,False
2017-09-03,79,False
2017-09-10,76,False
2017-09-17,91,False
2017-09-24,84,False
2017-10-01,78,False
2017-10-08,78,False
2017-10-15,82,False
2017-10-22,72,False
2017-10-29,83,False
2017-11-05,81,False
2017-11-12,81,False
2017-11-19,77,False
2017-11-26,68,False
2017-12-03,82,False
2017-12-10,81,False
2017-12-17,71,False
2017-12-24,51,False
2017-12-31,60,False
2018-01-07,77,False
2018-01-14,86,False
2018-01-21,70,False
2018-01-28,77,False
2018-02-04,97,False
2018-02-11,72,False
2018-02-18,83,False
2018-02-25,83,False
2018-03-04,70,False
2018-03-11,81,False
2018-03-18,81,False
2018-03-25,73,False
2018-04-01,80,False
2018-04-08,73,False
2018-04-15,70,False
2018-04-22,65,False
2018-04-29,82,False
2018-05-06,83,False
2018-05-13,79,False
2018-05-20,65,False
2018-05-27,67,False
2018-06-03,82,False
2018-06-10,67,False
2018-06-17,78,False
2018-06-24,77,False
2018-07-01,87,False
2018-07-08,79,False
2018-07-15,82,False
2018-07-22,73,False
2018-07-29,83,False
2018-08-05,66,False
2018-08-12,79,False
2018-08-19,67,False
2018-08-26,62,False
2018-09-02,79,False
2018-09-09,82,False
2018-09-16,80,False
2018-09-23,77,False
2018-09-30,78,False
2018-10-07,79,False
2018-10-14,77,False
2018-10-21,70,False
2018-10-28,78,False
2018-11-04,75,False
2018-11-11,71,False
2018-11-18,62,False
2018-11-25,77,False
2018-12-02,76,False
2018-12-09,70,False
2018-12-16,71,False
2018-12-23,47,False
2018-12-30,60,False
2019-01-06,71,False
2019-01-13,67,False
2019-01-20,78,False
2019-01-27,66,False
2019-02-03,73,False
2019-02-10,74,False
2019-02-17,76,False
2019-02-24,72,False
2019-03-03,75,False
2019-03-10,59,False
2019-03-17,66,False
2019-03-24,72,False
2019-03-31,78,False
2019-04-07,79,False
2019-04-14,65,False
2019-04-21,66,False
2019-04-28,67,False
2019-05-05,77,False
2019-05-12,69,False
2019-05-19,63,False
2019-05-26,65,False
2019-06-02,72,False
2019-06-09,73,False
2019-06-16,69,False
2019-06-23,71,False
2019-06-30,75,False
2019-07-07,74,False
2019-07-14,64,False
2019-07-21,62,False
2019-07-28,58,False
2019-08-04,66,False
2019-08-11,67,False
2019-08-18,72,False
2019-08-25,74,False
2019-09-01,72,False
2019-09-08,73,False
2019-09-15,75,False
2019-09-22,72,False
2019-09-29,64,False
2019-10-06,60,False
2019-10-13,67,False
2019-10-20,66,False
2019-10-27,71,False
2019-11-03,67,False
2019-11-10,69,False
2019-11-17,70,False
2019-11-24,70,False
2019-12-01,68,False
2019-12-08,57,False
2019-12-15,74,False
2019-12-22,49,False
2019-12-29,44,False
2020-01-05,63,False
2020-01-12,56,False
2020-01-19,62,False
2020-01-26,62,False
2020-02-02,67,False
2020-02-09,63,False
2020-02-16,65,False
2020-02-23,82,False
2020-03-01,77,False
2020-03-08,81,False
2020-03-15,69,False
2020-03-22,69,False
2020-03-29,72,False
2020-04-05,72,False
2020-04-12,65,False
2020-04-19,64,False
2020-04-26,60,False
2020-05-03,71,False
2020-05-10,78,False
2020-05-17,71,False
2020-05-24,65,False
