date,V,isPartial
2016-08-21,87,False
2016-08-28,83,False
2016-09-04,88,False
2016-09-11,87,False
2016-09-18,88,False
2016-09-25,88,False
2016-10-02,88,False
2016-10-09,92,False
2016-10-16,93,False
2016-10-23,91,False
2016-10-30,91,False
2016-11-06,94,False
2016-11-13,92,False
2016-11-20,88,False
2016-11-27,89,False
2016-12-04,89,False
2016-12-11,90,False
2016-12-18,86,False
2016-12-25,87,False
2017-01-01,90,False
2017-01-08,87,False
2017-01-15,90,False
2017-01-22,91,False
2017-01-29,94,False
2017-02-05,88,False
2017-02-12,89,False
2017-02-19,94,False
2017-02-26,100,False
2017-03-05,94,False
2017-03-12,93,False
2017-03-19,92,False
2017-03-26,88,False
2017-04-02,88,False
2017-04-09,87,False
2017-04-16,91,False
2017-04-23,97,False
2017-04-30,89,False
2017-05-07,89,False
2017-05-14,85,False
2017-05-21,84,False
2017-05-28,82,False
2017-06-04,87,False
2017-06-11,85,False
2017-06-18,84,False
2017-06-25,81,False
2017-07-02,84,False
2017-07-09,84,False
2017-07-16,80,False
2017-07-23,83,False
2017-07-30,82,False
2017-08-06,81,False
2017-08-13,85,False
2017-08-20,84,False
2017-08-27,87,False
2017-09-03,84,False
2017-09-10,81,False
2017-09-17,86,False
2017-09-24,83,False
2017-10-01,83,False
2017-10-08,83,False
2017-10-15,82,False
2017-10-22,87,False
2017-10-29,84,False
2017-11-05,88,False
2017-11-12,87,False
2017-11-19,86,False
2017-11-26,86,False
2017-12-03,83,False
2017-12-10,91,False
2017-12-17,80,False
2017-12-24,88,False
2017-12-31,90,False
2018-01-07,88,False
2018-01-14,91,False
2018-01-21,87,False
2018-01-28,87,False
2018-02-04,90,False
2018-02-11,90,False
2018-02-18,90,False
2018-02-25,84,False
2018-03-04,89,False
2018-03-11,88,False
2018-03-18,90,False
2018-03-25,88,False
2018-04-01,89,False
2018-04-08,86,False
2018-04-15,84,False
2018-04-22,84,False
2018-04-29,89,False
2018-05-06,88,False
2018-05-13,88,False
2018-05-20,88,False
2018-05-27,86,False
2018-06-03,86,False
2018-06-10,88,False
2018-06-17,88,False
2018-06-24,86,False
2018-07-01,94,False
2018-07-08,97,False
2018-07-15,82,False
2018-07-22,83,False
2018-07-29,87,False
2018-08-05,89,False
2018-08-12,86,False
2018-08-19,85,False
2018-08-26,88,False
2018-09-02,91,False
2018-09-09,88,False
2018-09-16,90,False
2018-09-23,94,False
2018-09-30,90,False
2018-10-07,91,False
2018-10-14,86,False
2018-10-21,88,False
