date,VMC,isPartial
2016-08-21,57,False
2016-08-28,49,False
2016-09-04,55,False
2016-09-11,59,False
2016-09-18,62,False
2016-09-25,59,False
2016-10-02,62,False
2016-10-09,59,False
2016-10-16,58,False
2016-10-23,63,False
2016-10-30,65,False
2016-11-06,62,False
2016-11-13,68,False
2016-11-20,56,False
2016-11-27,58,False
2016-12-04,57,False
2016-12-11,56,False
2016-12-18,59,False
2016-12-25,56,False
2017-01-01,77,False
2017-01-08,70,False
2017-01-15,69,False
2017-01-22,83,False
2017-01-29,60,False
2017-02-05,59,False
2017-02-12,76,False
2017-02-19,66,False
2017-02-26,62,False
2017-03-05,53,False
2017-03-12,52,False
2017-03-19,54,False
2017-03-26,61,False
2017-04-02,57,False
2017-04-09,64,False
2017-04-16,51,False
2017-04-23,63,False
2017-04-30,53,False
2017-05-07,48,False
2017-05-14,59,False
2017-05-21,57,False
2017-05-28,57,False
2017-06-04,61,False
2017-06-11,65,False
2017-06-18,62,False
2017-06-25,68,False
2017-07-02,65,False
2017-07-09,60,False
2017-07-16,65,False
2017-07-23,59,False
2017-07-30,60,False
2017-08-06,48,False
2017-08-13,55,False
2017-08-20,53,False
2017-08-27,60,False
2017-09-03,67,False
2017-09-10,73,False
2017-09-17,65,False
2017-09-24,61,False
2017-10-01,62,False
2017-10-08,62,False
2017-10-15,68,False
2017-10-22,62,False
2017-10-29,74,False
2017-11-05,84,False
2017-11-12,74,False
2017-11-19,66,False
2017-11-26,75,False
2017-12-03,59,False
2017-12-10,63,False
2017-12-17,57,False
2017-12-24,64,False
2017-12-31,64,False
2018-01-07,67,False
2018-01-14,72,False
2018-01-21,64,False
2018-01-28,67,False
2018-02-04,78,False
2018-02-11,72,False
2018-02-18,69,False
2018-02-25,74,False
2018-03-04,62,False
2018-03-11,64,False
2018-03-18,64,False
2018-03-25,73,False
2018-04-01,67,False
2018-04-08,73,False
2018-04-15,66,False
2018-04-22,64,False
2018-04-29,65,False
2018-05-06,58,False
2018-05-13,60,False
2018-05-20,63,False
2018-05-27,67,False
2018-06-03,72,False
2018-06-10,75,False
2018-06-17,71,False
2018-06-24,70,False
2018-07-01,71,False
2018-07-08,64,False
2018-07-15,66,False
2018-07-22,64,False
2018-07-29,65,False
2018-08-05,58,False
2018-08-12,63,False
2018-08-19,65,False
