date,DVA,isPartial
2016-08-21,56,False
2016-08-28,54,False
2016-09-04,53,False
2016-09-11,52,False
2016-09-18,46,False
2016-09-25,47,False
2016-10-02,52,False
2016-10-09,52,False
2016-10-16,48,False
2016-10-23,50,False
2016-10-30,50,False
2016-11-06,54,False
2016-11-13,55,False
2016-11-20,54,False
2016-11-27,53,False
2016-12-04,54,False
2016-12-11,58,False
2016-12-18,59,False
2016-12-25,53,False
2017-01-01,60,False
2017-01-08,56,False
2017-01-15,64,False
2017-01-22,65,False
2017-01-29,64,False
2017-02-05,57,False
2017-02-12,57,False
2017-02-19,56,False
2017-02-26,60,False
2017-03-05,63,False
2017-03-12,59,False
2017-03-19,60,False
2017-03-26,57,False
2017-04-02,54,False
2017-04-09,58,False
2017-04-16,55,False
2017-04-23,100,False
2017-04-30,91,False
2017-05-07,75,False
2017-05-14,58,False
2017-05-21,69,False
2017-05-28,62,False
2017-06-04,56,False
2017-06-11,59,False
2017-06-18,64,False
2017-06-25,60,False
2017-07-02,59,False
2017-07-09,52,False
2017-07-16,51,False
2017-07-23,52,False
2017-07-30,55,False
2017-08-06,57,False
2017-08-13,48,False
2017-08-20,60,False
2017-08-27,53,False
2017-09-03,51,False
2017-09-10,52,False
2017-09-17,62,False
2017-09-24,54,False
2017-10-01,57,False
2017-10-08,52,False
2017-10-15,53,False
2017-10-22,56,False
2017-10-29,55,False
2017-11-05,60,False
2017-11-12,59,False
2017-11-19,58,False
2017-11-26,50,False
2017-12-03,60,False
2017-12-10,58,False
2017-12-17,55,False
2017-12-24,60,False
2017-12-31,53,False
2018-01-07,58,False
2018-01-14,56,False
2018-01-21,77,False
2018-01-28,60,False
2018-02-04,61,False
2018-02-11,57,False
2018-02-18,58,False
2018-02-25,55,False
2018-03-04,57,False
2018-03-11,49,False
2018-03-18,53,False
2018-03-25,53,False
2018-04-01,51,False
2018-04-08,54,False
2018-04-15,49,False
2018-04-22,49,False
2018-04-29,47,False
2018-05-06,49,False
2018-05-13,48,False
2018-05-20,50,False
2018-05-27,54,False
2018-06-03,54,False
2018-06-10,47,False
2018-06-17,48,False
2018-06-24,48,False
2018-07-01,47,False
2018-07-08,49,False
2018-07-15,49,False
2018-07-22,48,False
2018-07-29,53,False
2018-08-05,55,False
2018-08-12,56,False
2018-08-19,71,False
2018-08-26,74,False
2018-09-02,59,False
2018-09-09,54,False
2018-09-16,50,False
2018-09-23,48,False
2018-09-30,45,False
2018-10-07,47,False
2018-10-14,49,False
2018-10-21,51,False
2018-10-28,51,False
2018-11-04,51,False
2018-11-11,52,False
