date,HBI,isPartial
2016-08-21,59,False
2016-08-28,89,False
2016-09-04,74,False
2016-09-11,64,False
2016-09-18,73,False
2016-09-25,41,False
2016-10-02,49,False
2016-10-09,43,False
2016-10-16,71,False
2016-10-23,72,False
2016-10-30,68,False
2016-11-06,46,False
2016-11-13,71,False
2016-11-20,63,False
2016-11-27,68,False
2016-12-04,44,False
2016-12-11,95,False
2016-12-18,68,False
2016-12-25,54,False
2017-01-01,94,False
2017-01-08,47,False
2017-01-15,73,False
2017-01-22,49,False
2017-01-29,73,False
2017-02-05,86,False
2017-02-12,69,False
2017-02-19,53,False
2017-02-26,83,False
2017-03-05,67,False
2017-03-12,64,False
2017-03-19,68,False
2017-03-26,63,False
2017-04-02,72,False
2017-04-09,70,False
2017-04-16,66,False
2017-04-23,76,False
2017-04-30,89,False
2017-05-07,73,False
2017-05-14,50,False
2017-05-21,80,False
2017-05-28,80,False
2017-06-04,62,False
2017-06-11,75,False
2017-06-18,61,False
2017-06-25,69,False
2017-07-02,41,False
2017-07-09,68,False
2017-07-16,84,False
2017-07-23,87,False
2017-07-30,87,False
2017-08-06,97,False
2017-08-13,59,False
2017-08-20,65,False
2017-08-27,74,False
2017-09-03,61,False
2017-09-10,81,False
2017-09-17,64,False
2017-09-24,73,False
2017-10-01,70,False
2017-10-08,61,False
2017-10-15,64,False
2017-10-22,50,False
2017-10-29,72,False
2017-11-05,61,False
2017-11-12,40,False
2017-11-19,60,False
2017-11-26,84,False
2017-12-03,68,False
2017-12-10,62,False
2017-12-17,71,False
2017-12-24,58,False
2017-12-31,65,False
2018-01-07,60,False
2018-01-14,52,False
2018-01-21,59,False
2018-01-28,86,False
2018-02-04,85,False
2018-02-11,51,False
2018-02-18,62,False
2018-02-25,54,False
2018-03-04,61,False
2018-03-11,73,False
2018-03-18,80,False
2018-03-25,64,False
2018-04-01,56,False
2018-04-08,60,False
2018-04-15,58,False
2018-04-22,67,False
2018-04-29,69,False
2018-05-06,73,False
2018-05-13,69,False
2018-05-20,67,False
2018-05-27,82,False
2018-06-03,77,False
2018-06-10,73,False
2018-06-17,56,False
2018-06-24,62,False
2018-07-01,62,False
2018-07-08,80,False
2018-07-15,45,False
2018-07-22,67,False
2018-07-29,87,False
2018-08-05,61,False
2018-08-12,65,False
2018-08-19,73,False
2018-08-26,81,False
2018-09-02,92,False
2018-09-09,72,False
2018-09-16,50,False
2018-09-23,64,False
2018-09-30,62,False
2018-10-07,55,False
2018-10-14,53,False
2018-10-21,55,False
2018-10-28,59,False
2018-11-04,76,False
2018-11-11,57,False
2018-11-18,47,False
2018-11-25,84,False
2018-12-02,67,False
2018-12-09,41,False
2018-12-16,65,False
2018-12-23,84,False
2018-12-30,62,False
2019-01-06,69,False
2019-01-13,80,False
2019-01-20,71,False
2019-01-27,61,False
2019-02-03,69,False
2019-02-10,85,False
2019-02-17,61,False
2019-02-24,71,False
2019-03-03,74,False
2019-03-10,75,False
2019-03-17,70,False
2019-03-24,78,False
2019-03-31,78,False
2019-04-07,94,False
2019-04-14,80,False
2019-04-21,74,False
2019-04-28,71,False
2019-05-05,84,False
2019-05-12,64,False
2019-05-19,71,False
2019-05-26,65,False
2019-06-02,85,False
2019-06-09,80,False
2019-06-16,90,False
2019-06-23,65,False
2019-06-30,52,False
2019-07-07,79,False
2019-07-14,61,False
2019-07-21,79,False
2019-07-28,86,False
2019-08-04,57,False
2019-08-11,78,False
2019-08-18,65,False
2019-08-25,61,False
2019-09-01,41,False
2019-09-08,74,False
2019-09-15,93,False
2019-09-22,64,False
2019-09-29,60,False
2019-10-06,62,False
2019-10-13,71,False
2019-10-20,60,False
2019-10-27,85,False
2019-11-03,83,False
2019-11-10,57,False
2019-11-17,65,False
2019-11-24,88,False
2019-12-01,45,False
2019-12-08,68,False
2019-12-15,70,False
2019-12-22,43,False
2019-12-29,53,False
2020-01-05,62,False
2020-01-12,76,False
2020-01-19,63,False
2020-01-26,55,False
2020-02-02,78,False
2020-02-09,82,False
2020-02-16,40,False
2020-02-23,60,False
2020-03-01,65,False
2020-03-08,71,False
2020-03-15,92,False
2020-03-22,100,False
2020-03-29,78,False
2020-04-05,49,False
2020-04-12,74,False
2020-04-19,60,False
2020-04-26,87,False
2020-05-03,59,False
2020-05-10,83,False
2020-05-17,77,False
2020-05-24,94,False
2020-05-31,85,False
2020-06-07,86,False
2020-06-14,87,False
2020-06-21,69,False
2020-06-28,48,False
2020-07-05,78,False
2020-07-12,96,False
2020-07-19,67,False
2020-07-26,70,False
2020-08-02,70,False
2020-08-09,83,False
2020-08-16,64,False
2020-08-23,65,False
2020-08-30,64,False
2020-09-06,47,False
2020-09-13,73,False
2020-09-20,58,False
2020-09-27,69,False
2020-10-04,62,False
2020-10-11,85,False
2020-10-18,74,False
2020-10-25,54,False
2020-11-01,67,False
2020-11-08,80,False
2020-11-15,84,False
2020-11-22,66,False
2020-11-29,81,False
2020-12-06,74,False
2020-12-13,51,False
2020-12-20,60,False
2020-12-27,55,False
2021-01-03,72,False
2021-01-10,76,False
2021-01-17,62,False
2021-01-24,68,False
2021-01-31,78,False
2021-02-07,98,False
2021-02-14,71,False
2021-02-21,80,False
2021-02-28,69,False
2021-03-07,67,False
2021-03-14,58,False
2021-03-21,92,False
2021-03-28,63,False
2021-04-04,55,False
2021-04-11,50,False
2021-04-18,66,False
2021-04-25,57,False
2021-05-02,65,False
2021-05-09,85,False
2021-05-16,69,False
2021-05-23,60,False
2021-05-30,50,False
2021-06-06,73,False
2021-06-13,69,False
2021-06-20,64,False
2021-06-27,71,False
2021-07-04,57,False
2021-07-11,70,False
2021-07-18,76,False
2021-07-25,72,False
2021-08-01,67,False
2021-08-08,51,True
