date,BEN,isPartial
2016-08-21,73,False
2016-08-28,69,False
2016-09-04,69,False
2016-09-11,68,False
2016-09-18,64,False
2016-09-25,64,False
2016-10-02,70,False
2016-10-09,68,False
2016-10-16,67,False
2016-10-23,62,False
2016-10-30,69,False
2016-11-06,65,False
2016-11-13,67,False
2016-11-20,63,False
2016-11-27,67,False
2016-12-04,66,False
2016-12-11,63,False
2016-12-18,64,False
2016-12-25,67,False
2017-01-01,66,False
2017-01-08,71,False
2017-01-15,69,False
2017-01-22,68,False
2017-01-29,62,False
2017-02-05,61,False
2017-02-12,61,False
2017-02-19,64,False
2017-02-26,68,False
2017-03-05,64,False
2017-03-12,61,False
2017-03-19,59,False
2017-03-26,58,False
2017-04-02,62,False
2017-04-09,60,False
2017-04-16,58,False
2017-04-23,57,False
2017-04-30,59,False
2017-05-07,59,False
2017-05-14,60,False
2017-05-21,59,False
2017-05-28,59,False
2017-06-04,59,False
2017-06-11,61,False
2017-06-18,57,False
2017-06-25,58,False
2017-07-02,58,False
2017-07-09,58,False
2017-07-16,59,False
2017-07-23,59,False
2017-07-30,57,False
2017-08-06,57,False
2017-08-13,55,False
2017-08-20,58,False
2017-08-27,54,False
2017-09-03,55,False
2017-09-10,55,False
2017-09-17,55,False
2017-09-24,60,False
2017-10-01,55,False
2017-10-08,64,False
2017-10-15,60,False
2017-10-22,58,False
2017-10-29,58,False
2017-11-05,54,False
2017-11-12,60,False
2017-11-19,62,False
2017-11-26,59,False
2017-12-03,61,False
2017-12-10,59,False
2017-12-17,59,False
2017-12-24,62,False
2017-12-31,63,False
2018-01-07,59,False
2018-01-14,61,False
2018-01-21,56,False
2018-01-28,60,False
2018-02-04,55,False
2018-02-11,55,False
2018-02-18,55,False
2018-02-25,55,False
2018-03-04,56,False
2018-03-11,57,False
2018-03-18,60,False
2018-03-25,61,False
2018-04-01,60,False
2018-04-08,62,False
2018-04-15,56,False
2018-04-22,56,False
2018-04-29,56,False
2018-05-06,55,False
2018-05-13,54,False
2018-05-20,53,False
2018-05-27,57,False
2018-06-03,56,False
2018-06-10,51,False
2018-06-17,53,False
2018-06-24,56,False
2018-07-01,51,False
2018-07-08,52,False
2018-07-15,53,False
2018-07-22,54,False
2018-07-29,54,False
2018-08-05,57,False
2018-08-12,60,False
2018-08-19,64,False
2018-08-26,62,False
2018-09-02,59,False
2018-09-09,58,False
2018-09-16,56,False
2018-09-23,54,False
2018-09-30,53,False
2018-10-07,53,False
2018-10-14,55,False
2018-10-21,56,False
2018-10-28,56,False
2018-11-04,59,False
2018-11-11,56,False
2018-11-18,54,False
2018-11-25,54,False
2018-12-02,55,False
2018-12-09,55,False
2018-12-16,56,False
2018-12-23,61,False
2018-12-30,63,False
2019-01-06,59,False
2019-01-13,56,False
2019-01-20,55,False
2019-01-27,56,False
2019-02-03,55,False
2019-02-10,56,False
2019-02-17,57,False
2019-02-24,53,False
2019-03-03,61,False
2019-03-10,62,False
2019-03-17,61,False
2019-03-24,56,False
2019-03-31,56,False
2019-04-07,59,False
2019-04-14,57,False
2019-04-21,56,False
2019-04-28,55,False
2019-05-05,56,False
2019-05-12,56,False
2019-05-19,53,False
2019-05-26,52,False
2019-06-02,53,False
2019-06-09,50,False
2019-06-16,50,False
2019-06-23,48,False
2019-06-30,50,False
2019-07-07,60,False
2019-07-14,60,False
2019-07-21,53,False
2019-07-28,54,False
2019-08-04,55,False
2019-08-11,52,False
2019-08-18,53,False
2019-08-25,57,False
2019-09-01,51,False
2019-09-08,50,False
2019-09-15,67,False
2019-09-22,48,False
2019-09-29,50,False
2019-10-06,51,False
2019-10-13,47,False
2019-10-20,47,False
2019-10-27,52,False
2019-11-03,49,False
2019-11-10,49,False
2019-11-17,50,False
2019-11-24,43,False
2019-12-01,45,False
2019-12-08,47,False
2019-12-15,51,False
2019-12-22,54,False
2019-12-29,53,False
2020-01-05,51,False
2020-01-12,50,False
2020-01-19,50,False
2020-01-26,51,False
2020-02-02,47,False
2020-02-09,48,False
2020-02-16,53,False
2020-02-23,51,False
2020-03-01,49,False
2020-03-08,48,False
2020-03-15,45,False
2020-03-22,50,False
2020-03-29,51,False
2020-04-05,52,False
2020-04-12,54,False
2020-04-19,50,False
2020-04-26,52,False
2020-05-03,50,False
2020-05-10,61,False
2020-05-17,55,False
2020-05-24,53,False
2020-05-31,58,False
2020-06-07,57,False
2020-06-14,54,False
2020-06-21,52,False
2020-06-28,50,False
2020-07-05,50,False
2020-07-12,50,False
2020-07-19,51,False
2020-07-26,51,False
2020-08-02,52,False
2020-08-09,57,False
2020-08-16,58,False
2020-08-23,54,False
2020-08-30,48,False
2020-09-06,48,False
2020-09-13,49,False
2020-09-20,47,False
2020-09-27,47,False
2020-10-04,48,False
2020-10-11,50,False
