date,MS,isPartial
2016-08-21,57,False
2016-08-28,59,False
2016-09-04,60,False
2016-09-11,61,False
2016-09-18,62,False
2016-09-25,88,False
2016-10-02,100,False
2016-10-09,74,False
2016-10-16,69,False
2016-10-23,66,False
2016-10-30,65,False
2016-11-06,59,False
2016-11-13,57,False
2016-11-20,54,False
2016-11-27,57,False
2016-12-04,57,False
2016-12-11,56,False
2016-12-18,57,False
2016-12-25,54,False
2017-01-01,61,False
2017-01-08,60,False
2017-01-15,60,False
2017-01-22,64,False
2017-01-29,63,False
2017-02-05,58,False
2017-02-12,58,False
2017-02-19,61,False
2017-02-26,61,False
2017-03-05,61,False
2017-03-12,59,False
2017-03-19,62,False
2017-03-26,63,False
2017-04-02,60,False
2017-04-09,60,False
2017-04-16,59,False
2017-04-23,60,False
2017-04-30,64,False
2017-05-07,67,False
2017-05-14,66,False
2017-05-21,59,False
2017-05-28,59,False
2017-06-04,57,False
2017-06-11,59,False
2017-06-18,60,False
2017-06-25,59,False
2017-07-02,61,False
2017-07-09,58,False
2017-07-16,57,False
2017-07-23,59,False
2017-07-30,58,False
2017-08-06,58,False
2017-08-13,56,False
2017-08-20,55,False
2017-08-27,56,False
2017-09-03,55,False
2017-09-10,54,False
2017-09-17,56,False
2017-09-24,53,False
2017-10-01,57,False
2017-10-08,57,False
2017-10-15,55,False
2017-10-22,55,False
2017-10-29,55,False
2017-11-05,56,False
2017-11-12,54,False
2017-11-19,52,False
2017-11-26,55,False
2017-12-03,55,False
2017-12-10,53,False
2017-12-17,53,False
2017-12-24,51,False
2017-12-31,54,False
2018-01-07,56,False
2018-01-14,54,False
2018-01-21,53,False
2018-01-28,55,False
2018-02-04,57,False
2018-02-11,56,False
2018-02-18,56,False
2018-02-25,57,False
2018-03-04,56,False
2018-03-11,55,False
2018-03-18,56,False
2018-03-25,56,False
2018-04-01,55,False
2018-04-08,57,False
2018-04-15,57,False
2018-04-22,57,False
2018-04-29,57,False
2018-05-06,65,False
2018-05-13,61,False
2018-05-20,57,False
2018-05-27,55,False
