date,LLY,isPartial
2016-08-21,40,False
2016-08-28,53,False
2016-09-04,67,False
2016-09-11,50,False
2016-09-18,67,False
2016-09-25,49,False
2016-10-02,63,False
2016-10-09,59,False
2016-10-16,66,False
2016-10-23,55,False
2016-10-30,66,False
2016-11-06,60,False
2016-11-13,70,False
2016-11-20,85,False
2016-11-27,93,False
2016-12-04,75,False
2016-12-11,66,False
2016-12-18,66,False
2016-12-25,74,False
2017-01-01,76,False
2017-01-08,87,False
2017-01-15,66,False
2017-01-22,78,False
2017-01-29,59,False
2017-02-05,80,False
2017-02-12,64,False
2017-02-19,64,False
2017-02-26,78,False
2017-03-05,73,False
2017-03-12,66,False
2017-03-19,81,False
2017-03-26,63,False
2017-04-02,61,False
2017-04-09,52,False
2017-04-16,72,False
2017-04-23,73,False
2017-04-30,56,False
2017-05-07,66,False
2017-05-14,58,False
2017-05-21,67,False
2017-05-28,50,False
2017-06-04,62,False
2017-06-11,80,False
2017-06-18,62,False
2017-06-25,69,False
2017-07-02,46,False
2017-07-09,70,False
2017-07-16,63,False
2017-07-23,76,False
2017-07-30,59,False
2017-08-06,45,False
2017-08-13,61,False
2017-08-20,78,False
2017-08-27,44,False
2017-09-03,56,False
2017-09-10,56,False
2017-09-17,68,False
2017-09-24,52,False
2017-10-01,70,False
2017-10-08,78,False
2017-10-15,66,False
2017-10-22,60,False
2017-10-29,54,False
2017-11-05,66,False
2017-11-12,55,False
2017-11-19,52,False
2017-11-26,45,False
2017-12-03,69,False
2017-12-10,64,False
2017-12-17,49,False
2017-12-24,75,False
2017-12-31,73,False
2018-01-07,64,False
2018-01-14,77,False
2018-01-21,57,False
2018-01-28,79,False
2018-02-04,75,False
2018-02-11,69,False
2018-02-18,76,False
2018-02-25,71,False
2018-03-04,64,False
2018-03-11,59,False
2018-03-18,49,False
2018-03-25,65,False
2018-04-01,70,False
2018-04-08,63,False
2018-04-15,65,False
2018-04-22,74,False
2018-04-29,64,False
2018-05-06,64,False
2018-05-13,58,False
2018-05-20,74,False
2018-05-27,59,False
2018-06-03,61,False
2018-06-10,70,False
2018-06-17,66,False
2018-06-24,50,False
2018-07-01,72,False
2018-07-08,57,False
2018-07-15,63,False
2018-07-22,67,False
2018-07-29,70,False
2018-08-05,58,False
2018-08-12,45,False
2018-08-19,66,False
2018-08-26,48,False
