date,VZ,isPartial
2016-08-21,85,False
2016-08-28,76,False
2016-09-04,77,False
2016-09-11,86,False
2016-09-18,82,False
2016-09-25,78,False
2016-10-02,84,False
2016-10-09,96,False
2016-10-16,91,False
2016-10-23,84,False
2016-10-30,75,False
2016-11-06,80,False
2016-11-13,76,False
2016-11-20,86,False
2016-11-27,80,False
2016-12-04,89,False
2016-12-11,83,False
2016-12-18,83,False
2016-12-25,71,False
2017-01-01,85,False
2017-01-08,79,False
2017-01-15,87,False
2017-01-22,91,False
2017-01-29,91,False
2017-02-05,85,False
2017-02-12,94,False
2017-02-19,100,False
2017-02-26,97,False
2017-03-05,78,False
2017-03-12,86,False
2017-03-19,89,False
2017-03-26,75,False
2017-04-02,87,False
2017-04-09,78,False
2017-04-16,92,False
2017-04-23,96,False
2017-04-30,87,False
2017-05-07,88,False
2017-05-14,84,False
2017-05-21,85,False
2017-05-28,86,False
2017-06-04,82,False
2017-06-11,83,False
2017-06-18,82,False
2017-06-25,83,False
2017-07-02,77,False
2017-07-09,85,False
2017-07-16,77,False
2017-07-23,99,False
2017-07-30,91,False
2017-08-06,81,False
2017-08-13,80,False
2017-08-20,82,False
2017-08-27,77,False
2017-09-03,80,False
2017-09-10,81,False
2017-09-17,73,False
2017-09-24,76,False
2017-10-01,76,False
2017-10-08,76,False
2017-10-15,90,False
2017-10-22,88,False
2017-10-29,83,False
2017-11-05,88,False
2017-11-12,80,False
2017-11-19,77,False
2017-11-26,84,False
2017-12-03,86,False
2017-12-10,81,False
2017-12-17,79,False
2017-12-24,71,False
2017-12-31,78,False
2018-01-07,79,False
2018-01-14,76,False
2018-01-21,86,False
2018-01-28,87,False
2018-02-04,90,False
2018-02-11,83,False
2018-02-18,82,False
2018-02-25,86,False
2018-03-04,77,False
2018-03-11,77,False
2018-03-18,75,False
2018-03-25,78,False
2018-04-01,89,False
2018-04-08,83,False
2018-04-15,81,False
2018-04-22,84,False
2018-04-29,79,False
2018-05-06,80,False
2018-05-13,80,False
2018-05-20,76,False
2018-05-27,73,False
2018-06-03,83,False
