date,PKI,isPartial
2016-08-21,5,False
2016-08-28,5,False
2016-09-04,5,False
2016-09-11,4,False
2016-09-18,4,False
2016-09-25,8,False
2016-10-02,7,False
2016-10-09,5,False
2016-10-16,4,False
2016-10-23,4,False
2016-10-30,4,False
2016-11-06,5,False
2016-11-13,6,False
2016-11-20,6,False
2016-11-27,6,False
2016-12-04,6,False
2016-12-11,5,False
2016-12-18,8,False
2016-12-25,7,False
2017-01-01,6,False
2017-01-08,7,False
2017-01-15,7,False
2017-01-22,11,False
2017-01-29,8,False
2017-02-05,8,False
2017-02-12,6,False
2017-02-19,6,False
2017-02-26,5,False
2017-03-05,5,False
2017-03-12,5,False
2017-03-19,4,False
2017-03-26,3,False
2017-04-02,4,False
2017-04-09,3,False
2017-04-16,4,False
2017-04-23,3,False
2017-04-30,4,False
2017-05-07,4,False
2017-05-14,4,False
2017-05-21,4,False
2017-05-28,4,False
2017-06-04,4,False
2017-06-11,3,False
2017-06-18,4,False
2017-06-25,3,False
2017-07-02,3,False
2017-07-09,4,False
2017-07-16,4,False
2017-07-23,5,False
2017-07-30,7,False
2017-08-06,5,False
2017-08-13,5,False
2017-08-20,5,False
2017-08-27,4,False
2017-09-03,5,False
2017-09-10,6,False
2017-09-17,49,False
2017-09-24,100,False
2017-10-01,56,False
2017-10-08,15,False
2017-10-15,9,False
2017-10-22,6,False
2017-10-29,5,False
2017-11-05,5,False
2017-11-12,4,False
2017-11-19,4,False
2017-11-26,5,False
2017-12-03,5,False
2017-12-10,3,False
2017-12-17,2,False
2017-12-24,2,False
2017-12-31,3,False
2018-01-07,3,False
2018-01-14,3,False
2018-01-21,3,False
2018-01-28,4,False
2018-02-04,6,False
2018-02-11,11,False
2018-02-18,13,False
2018-02-25,8,False
2018-03-04,6,False
2018-03-11,4,False
2018-03-18,4,False
2018-03-25,3,False
2018-04-01,4,False
2018-04-08,3,False
2018-04-15,3,False
2018-04-22,4,False
2018-04-29,3,False
2018-05-06,3,False
2018-05-13,3,False
2018-05-20,4,False
2018-05-27,3,False
2018-06-03,2,False
2018-06-10,3,False
2018-06-17,2,False
2018-06-24,3,False
2018-07-01,2,False
2018-07-08,3,False
2018-07-15,3,False
2018-07-22,6,False
2018-07-29,7,False
2018-08-05,6,False
2018-08-12,5,False
2018-08-19,4,False
2018-08-26,6,False
2018-09-02,6,False
2018-09-09,5,False
2018-09-16,7,False
2018-09-23,10,False
