date,TDG,isPartial
2016-08-21,78,False
2016-08-28,85,False
2016-09-04,82,False
2016-09-11,87,False
2016-09-18,79,False
2016-09-25,89,False
2016-10-02,79,False
2016-10-09,83,False
2016-10-16,89,False
2016-10-23,86,False
2016-10-30,88,False
2016-11-06,100,False
2016-11-13,71,False
2016-11-20,75,False
2016-11-27,78,False
2016-12-04,61,False
2016-12-11,65,False
2016-12-18,68,False
2016-12-25,55,False
2017-01-01,73,False
2017-01-08,63,False
2017-01-15,70,False
2017-01-22,82,False
2017-01-29,77,False
2017-02-05,65,False
2017-02-12,53,False
2017-02-19,77,False
2017-02-26,70,False
2017-03-05,66,False
2017-03-12,81,False
2017-03-19,80,False
2017-03-26,81,False
2017-04-02,79,False
2017-04-09,66,False
2017-04-16,63,False
2017-04-23,86,False
2017-04-30,78,False
2017-05-07,84,False
2017-05-14,64,False
2017-05-21,90,False
2017-05-28,57,False
2017-06-04,72,False
2017-06-11,76,False
2017-06-18,56,False
2017-06-25,65,False
2017-07-02,60,False
2017-07-09,64,False
2017-07-16,69,False
2017-07-23,67,False
2017-07-30,62,False
2017-08-06,54,False
2017-08-13,63,False
2017-08-20,61,False
2017-08-27,63,False
2017-09-03,65,False
2017-09-10,68,False
2017-09-17,58,False
2017-09-24,65,False
2017-10-01,71,False
2017-10-08,68,False
2017-10-15,57,False
2017-10-22,65,False
2017-10-29,65,False
2017-11-05,56,False
2017-11-12,63,False
2017-11-19,69,False
2017-11-26,65,False
2017-12-03,70,False
2017-12-10,49,False
2017-12-17,53,False
2017-12-24,56,False
2017-12-31,57,False
2018-01-07,60,False
2018-01-14,56,False
2018-01-21,52,False
2018-01-28,70,False
2018-02-04,51,False
2018-02-11,64,False
2018-02-18,55,False
2018-02-25,60,False
2018-03-04,72,False
2018-03-11,67,False
2018-03-18,68,False
2018-03-25,51,False
2018-04-01,49,False
2018-04-08,56,False
2018-04-15,55,False
2018-04-22,49,False
2018-04-29,45,False
2018-05-06,56,False
2018-05-13,55,False
2018-05-20,61,False
2018-05-27,48,False
2018-06-03,54,False
2018-06-10,59,False
2018-06-17,51,False
2018-06-24,46,False
2018-07-01,48,False
2018-07-08,66,False
2018-07-15,49,False
2018-07-22,36,False
2018-07-29,44,False
2018-08-05,57,False
2018-08-12,48,False
2018-08-19,53,False
2018-08-26,48,False
2018-09-02,39,False
2018-09-09,52,False
2018-09-16,41,False
2018-09-23,45,False
2018-09-30,43,False
2018-10-07,50,False
2018-10-14,46,False
2018-10-21,44,False
2018-10-28,51,False
2018-11-04,54,False
2018-11-11,42,False
2018-11-18,58,False
2018-11-25,49,False
2018-12-02,64,False
2018-12-09,48,False
2018-12-16,38,False
2018-12-23,36,False
2018-12-30,46,False
2019-01-06,46,False
2019-01-13,44,False
2019-01-20,53,False
2019-01-27,49,False
2019-02-03,40,False
2019-02-10,48,False
2019-02-17,39,False
2019-02-24,46,False
2019-03-03,51,False
2019-03-10,43,False
2019-03-17,52,False
2019-03-24,42,False
2019-03-31,35,False
2019-04-07,46,False
2019-04-14,49,False
2019-04-21,41,False
2019-04-28,44,False
2019-05-05,38,False
2019-05-12,55,False
2019-05-19,61,False
2019-05-26,47,False
2019-06-02,55,False
2019-06-09,55,False
2019-06-16,42,False
2019-06-23,52,False
2019-06-30,43,False
2019-07-07,49,False
2019-07-14,50,False
2019-07-21,43,False
2019-07-28,31,False
2019-08-04,40,False
2019-08-11,28,False
2019-08-18,46,False
2019-08-25,41,False
2019-09-01,36,False
2019-09-08,51,False
2019-09-15,45,False
2019-09-22,49,False
2019-09-29,48,False
2019-10-06,52,False
2019-10-13,56,False
2019-10-20,47,False
2019-10-27,47,False
2019-11-03,38,False
2019-11-10,47,False
2019-11-17,40,False
2019-11-24,46,False
2019-12-01,47,False
2019-12-08,41,False
2019-12-15,51,False
2019-12-22,29,False
2019-12-29,38,False
2020-01-05,42,False
2020-01-12,42,False
2020-01-19,47,False
2020-01-26,43,False
2020-02-02,42,False
2020-02-09,45,False
2020-02-16,53,False
2020-02-23,61,False
2020-03-01,49,False
2020-03-08,91,False
2020-03-15,85,False
2020-03-22,66,False
2020-03-29,65,False
2020-04-05,57,False
2020-04-12,59,False
2020-04-19,48,False
2020-04-26,89,False
2020-05-03,52,False
2020-05-10,59,False
2020-05-17,45,False
2020-05-24,44,False
2020-05-31,50,False
2020-06-07,46,False
2020-06-14,43,False
2020-06-21,51,False
2020-06-28,37,False
2020-07-05,41,False
2020-07-12,35,False
2020-07-19,42,False
2020-07-26,42,False
2020-08-02,39,False
2020-08-09,41,False
2020-08-16,35,False
2020-08-23,54,False
2020-08-30,45,False
2020-09-06,43,False
2020-09-13,46,False
2020-09-20,49,False
2020-09-27,47,False
2020-10-04,51,False
2020-10-11,47,False
2020-10-18,47,False
2020-10-25,57,False
2020-11-01,48,False
2020-11-08,55,False
2020-11-15,49,False
2020-11-22,44,False
2020-11-29,40,False
2020-12-06,44,False
2020-12-13,48,False
2020-12-20,32,False
2020-12-27,41,False
2021-01-03,52,False
2021-01-10,46,False
2021-01-17,50,False
2021-01-24,48,False
2021-01-31,38,False
2021-02-07,36,False
