date,GM,isPartial
2021-03-07,58,False
2021-03-14,58,False
2021-03-21,61,False
2021-03-28,57,False
2021-04-04,56,False
2021-04-11,56,False
2021-04-18,55,False
2021-04-25,55,False
2021-05-02,54,False
2021-05-09,53,False
2021-05-16,54,False
2021-05-23,56,False
2021-05-30,55,False
2021-06-06,54,False
2021-06-13,55,False
2021-06-20,55,False
2021-06-27,55,False
2021-07-04,54,False
2021-07-11,56,False
2021-07-18,55,False
2021-07-25,56,False
2021-08-01,55,False
2021-08-08,55,True
