date,VLO,isPartial
2016-08-21,36,False
2016-08-28,54,False
2016-09-04,50,False
2016-09-11,69,False
2016-09-18,56,False
2016-09-25,71,False
2016-10-02,54,False
2016-10-09,60,False
2016-10-16,62,False
2016-10-23,74,False
2016-10-30,66,False
2016-11-06,55,False
2016-11-13,69,False
2016-11-20,60,False
2016-11-27,46,False
2016-12-04,45,False
2016-12-11,53,False
2016-12-18,34,False
2016-12-25,28,False
2017-01-01,43,False
2017-01-08,56,False
2017-01-15,65,False
2017-01-22,46,False
2017-01-29,83,False
2017-02-05,50,False
2017-02-12,51,False
2017-02-19,57,False
2017-02-26,51,False
2017-03-05,62,False
2017-03-12,62,False
2017-03-19,44,False
2017-03-26,40,False
2017-04-02,63,False
2017-04-09,50,False
2017-04-16,72,False
2017-04-23,72,False
2017-04-30,57,False
2017-05-07,54,False
2017-05-14,67,False
2017-05-21,63,False
2017-05-28,51,False
2017-06-04,59,False
2017-06-11,59,False
2017-06-18,67,False
2017-06-25,50,False
2017-07-02,44,False
2017-07-09,51,False
2017-07-16,44,False
2017-07-23,38,False
2017-07-30,53,False
2017-08-06,57,False
2017-08-13,62,False
2017-08-20,57,False
2017-08-27,55,False
2017-09-03,68,False
2017-09-10,66,False
2017-09-17,54,False
2017-09-24,57,False
2017-10-01,37,False
2017-10-08,49,False
2017-10-15,71,False
2017-10-22,47,False
2017-10-29,58,False
2017-11-05,68,False
2017-11-12,55,False
2017-11-19,61,False
2017-11-26,37,False
2017-12-03,36,False
2017-12-10,66,False
2017-12-17,31,False
2017-12-24,51,False
2017-12-31,47,False
2018-01-07,41,False
2018-01-14,45,False
2018-01-21,50,False
2018-01-28,40,False
2018-02-04,48,False
2018-02-11,53,False
2018-02-18,39,False
2018-02-25,46,False
2018-03-04,58,False
2018-03-11,48,False
2018-03-18,51,False
2018-03-25,42,False
2018-04-01,35,False
2018-04-08,68,False
2018-04-15,70,False
2018-04-22,64,False
2018-04-29,51,False
2018-05-06,56,False
2018-05-13,67,False
2018-05-20,69,False
2018-05-27,63,False
2018-06-03,49,False
2018-06-10,69,False
2018-06-17,54,False
2018-06-24,52,False
2018-07-01,51,False
2018-07-08,46,False
2018-07-15,46,False
2018-07-22,56,False
2018-07-29,49,False
2018-08-05,57,False
2018-08-12,42,False
2018-08-19,51,False
2018-08-26,57,False
2018-09-02,46,False
2018-09-09,49,False
2018-09-16,52,False
2018-09-23,62,False
2018-09-30,49,False
2018-10-07,53,False
2018-10-14,56,False
2018-10-21,68,False
2018-10-28,50,False
2018-11-04,51,False
2018-11-11,53,False
2018-11-18,54,False
2018-11-25,52,False
2018-12-02,47,False
2018-12-09,76,False
2018-12-16,54,False
2018-12-23,48,False
2018-12-30,54,False
2019-01-06,43,False
2019-01-13,43,False
2019-01-20,54,False
2019-01-27,48,False
2019-02-03,47,False
2019-02-10,55,False
2019-02-17,53,False
2019-02-24,59,False
2019-03-03,46,False
2019-03-10,56,False
2019-03-17,69,False
2019-03-24,57,False
2019-03-31,59,False
2019-04-07,60,False
2019-04-14,66,False
2019-04-21,57,False
2019-04-28,52,False
2019-05-05,58,False
2019-05-12,62,False
2019-05-19,74,False
2019-05-26,61,False
2019-06-02,57,False
2019-06-09,45,False
2019-06-16,77,False
2019-06-23,58,False
2019-06-30,56,False
2019-07-07,66,False
2019-07-14,47,False
2019-07-21,41,False
2019-07-28,33,False
2019-08-04,61,False
2019-08-11,49,False
2019-08-18,46,False
2019-08-25,52,False
2019-09-01,72,False
2019-09-08,78,False
2019-09-15,63,False
2019-09-22,59,False
2019-09-29,53,False
2019-10-06,37,False
2019-10-13,60,False
2019-10-20,80,False
2019-10-27,70,False
2019-11-03,77,False
2019-11-10,52,False
2019-11-17,47,False
2019-11-24,38,False
2019-12-01,38,False
2019-12-08,42,False
2019-12-15,42,False
2019-12-22,44,False
2019-12-29,51,False
2020-01-05,47,False
2020-01-12,61,False
2020-01-19,47,False
2020-01-26,63,False
2020-02-02,71,False
2020-02-09,43,False
2020-02-16,63,False
2020-02-23,50,False
2020-03-01,73,False
2020-03-08,89,False
2020-03-15,82,False
2020-03-22,77,False
2020-03-29,96,False
2020-04-05,76,False
2020-04-12,76,False
2020-04-19,94,False
2020-04-26,89,False
2020-05-03,89,False
2020-05-10,80,False
2020-05-17,75,False
2020-05-24,58,False
2020-05-31,56,False
2020-06-07,76,False
2020-06-14,79,False
2020-06-21,76,False
2020-06-28,64,False
2020-07-05,72,False
2020-07-12,59,False
2020-07-19,57,False
2020-07-26,81,False
2020-08-02,50,False
2020-08-09,66,False
2020-08-16,63,False
2020-08-23,88,False
2020-08-30,100,False
2020-09-06,66,False
2020-09-13,71,False
2020-09-20,74,False
2020-09-27,83,False
2020-10-04,62,False
2020-10-11,60,False
2020-10-18,95,False
2020-10-25,71,False
2020-11-01,58,False
2020-11-08,95,False
2020-11-15,60,False
2020-11-22,63,False
2020-11-29,62,False
2020-12-06,57,False
2020-12-13,59,False
2020-12-20,57,False
2020-12-27,45,False
2021-01-03,56,False
2021-01-10,35,False
2021-01-17,62,False
2021-01-24,51,False
2021-01-31,55,False
2021-02-07,70,False
2021-02-14,55,False
2021-02-21,90,False
2021-02-28,69,False
2021-03-07,52,False
2021-03-14,80,False
2021-03-21,63,False
2021-03-28,56,False
2021-04-04,61,False
2021-04-11,61,False
2021-04-18,50,False
2021-04-25,56,False
2021-05-02,57,False
2021-05-09,64,False
2021-05-16,56,False
2021-05-23,63,False
2021-05-30,52,False
2021-06-06,58,False
2021-06-13,67,False
2021-06-20,54,False
2021-06-27,55,False
2021-07-04,58,False
2021-07-11,67,False
2021-07-18,65,False
2021-07-25,76,False
2021-08-01,70,False
2021-08-08,60,True
