date,BDX,isPartial
2016-08-21,44,False
2016-08-28,44,False
2016-09-04,21,False
2016-09-11,23,False
2016-09-18,47,False
2016-09-25,54,False
2016-10-02,51,False
2016-10-09,45,False
2016-10-16,35,False
2016-10-23,39,False
2016-10-30,42,False
2016-11-06,67,False
2016-11-13,37,False
2016-11-20,60,False
2016-11-27,37,False
2016-12-04,31,False
2016-12-11,58,False
2016-12-18,34,False
2016-12-25,44,False
2017-01-01,48,False
2017-01-08,33,False
2017-01-15,36,False
2017-01-22,43,False
2017-01-29,57,False
2017-02-05,47,False
2017-02-12,40,False
2017-02-19,43,False
2017-02-26,45,False
2017-03-05,36,False
2017-03-12,38,False
2017-03-19,53,False
2017-03-26,37,False
2017-04-02,44,False
2017-04-09,46,False
2017-04-16,44,False
2017-04-23,54,False
2017-04-30,40,False
2017-05-07,38,False
2017-05-14,32,False
2017-05-21,33,False
2017-05-28,44,False
2017-06-04,50,False
2017-06-11,47,False
2017-06-18,35,False
2017-06-25,39,False
2017-07-02,41,False
2017-07-09,53,False
2017-07-16,30,False
2017-07-23,35,False
2017-07-30,48,False
2017-08-06,45,False
2017-08-13,41,False
2017-08-20,33,False
2017-08-27,38,False
2017-09-03,51,False
2017-09-10,62,False
2017-09-17,38,False
2017-09-24,45,False
2017-10-01,57,False
2017-10-08,59,False
2017-10-15,60,False
2017-10-22,32,False
2017-10-29,48,False
2017-11-05,43,False
2017-11-12,38,False
2017-11-19,57,False
2017-11-26,62,False
2017-12-03,52,False
2017-12-10,38,False
2017-12-17,78,False
2017-12-24,28,False
2017-12-31,47,False
2018-01-07,54,False
2018-01-14,55,False
2018-01-21,45,False
2018-01-28,46,False
2018-02-04,71,False
2018-02-11,53,False
2018-02-18,51,False
2018-02-25,50,False
2018-03-04,52,False
2018-03-11,44,False
2018-03-18,57,False
2018-03-25,41,False
2018-04-01,45,False
2018-04-08,69,False
2018-04-15,40,False
2018-04-22,59,False
2018-04-29,50,False
2018-05-06,44,False
2018-05-13,59,False
2018-05-20,49,False
2018-05-27,47,False
2018-06-03,57,False
2018-06-10,63,False
2018-06-17,48,False
2018-06-24,50,False
2018-07-01,43,False
2018-07-08,32,False
2018-07-15,43,False
2018-07-22,48,False
2018-07-29,43,False
2018-08-05,49,False
2018-08-12,42,False
2018-08-19,69,False
2018-08-26,61,False
2018-09-02,65,False
2018-09-09,44,False
2018-09-16,58,False
2018-09-23,66,False
2018-09-30,53,False
2018-10-07,63,False
2018-10-14,56,False
2018-10-21,59,False
2018-10-28,59,False
2018-11-04,68,False
2018-11-11,63,False
2018-11-18,70,False
2018-11-25,68,False
2018-12-02,55,False
2018-12-09,83,False
2018-12-16,52,False
2018-12-23,51,False
2018-12-30,71,False
2019-01-06,70,False
2019-01-13,58,False
2019-01-20,63,False
2019-01-27,69,False
2019-02-03,54,False
2019-02-10,73,False
2019-02-17,71,False
2019-02-24,66,False
2019-03-03,64,False
2019-03-10,70,False
2019-03-17,69,False
2019-03-24,67,False
2019-03-31,69,False
2019-04-07,50,False
2019-04-14,75,False
2019-04-21,56,False
2019-04-28,55,False
