date,EQIX,isPartial
2016-08-21,37,False
2016-08-28,27,False
2016-09-04,18,False
2016-09-11,35,False
2016-09-18,35,False
2016-09-25,26,False
2016-10-02,17,False
2016-10-09,26,False
2016-10-16,26,False
2016-10-23,9,False
2016-10-30,43,False
2016-11-06,25,False
2016-11-13,8,False
2016-11-20,8,False
2016-11-27,24,False
2016-12-04,40,False
2016-12-11,25,False
2016-12-18,26,False
2016-12-25,0,False
2017-01-01,17,False
2017-01-08,24,False
2017-01-15,0,False
2017-01-22,16,False
2017-01-29,15,False
2017-02-05,8,False
2017-02-12,15,False
2017-02-19,16,False
2017-02-26,23,False
2017-03-05,38,False
2017-03-12,23,False
2017-03-19,39,False
2017-03-26,16,False
2017-04-02,39,False
2017-04-09,8,False
2017-04-16,23,False
2017-04-23,16,False
2017-04-30,8,False
2017-05-07,8,False
2017-05-14,25,False
2017-05-21,34,False
2017-05-28,42,False
2017-06-04,16,False
2017-06-11,17,False
2017-06-18,0,False
2017-06-25,9,False
2017-07-02,43,False
2017-07-09,34,False
2017-07-16,0,False
2017-07-23,17,False
2017-07-30,33,False
2017-08-06,16,False
2017-08-13,25,False
2017-08-20,48,False
2017-08-27,80,False
2017-09-03,8,False
2017-09-10,55,False
2017-09-17,32,False
2017-09-24,16,False
2017-10-01,8,False
2017-10-08,0,False
2017-10-15,24,False
2017-10-22,23,False
2017-10-29,16,False
2017-11-05,60,False
2017-11-12,15,False
2017-11-19,8,False
2017-11-26,23,False
2017-12-03,46,False
2017-12-10,15,False
2017-12-17,8,False
2017-12-24,9,False
2017-12-31,8,False
2018-01-07,30,False
2018-01-14,37,False
2018-01-21,22,False
2018-01-28,29,False
2018-02-04,37,False
2018-02-11,59,False
2018-02-18,51,False
2018-02-25,29,False
2018-03-04,15,False
2018-03-11,29,False
2018-03-18,37,False
2018-03-25,46,False
2018-04-01,30,False
2018-04-08,7,False
2018-04-15,30,False
2018-04-22,22,False
2018-04-29,52,False
2018-05-06,30,False
2018-05-13,7,False
2018-05-20,37,False
2018-05-27,30,False
2018-06-03,52,False
2018-06-10,14,False
2018-06-17,44,False
2018-06-24,22,False
2018-07-01,30,False
2018-07-08,37,False
2018-07-15,38,False
2018-07-22,23,False
2018-07-29,29,False
2018-08-05,44,False
2018-08-12,22,False
2018-08-19,37,False
2018-08-26,7,False
2018-09-02,36,False
2018-09-09,22,False
2018-09-16,64,False
2018-09-23,14,False
2018-09-30,14,False
2018-10-07,15,False
2018-10-14,44,False
2018-10-21,29,False
2018-10-28,36,False
2018-11-04,57,False
2018-11-11,14,False
2018-11-18,0,False
2018-11-25,7,False
2018-12-02,22,False
2018-12-09,22,False
2018-12-16,7,False
2018-12-23,16,False
2018-12-30,16,False
2019-01-06,14,False
2019-01-13,21,False
2019-01-20,14,False
2019-01-27,14,False
2019-02-03,14,False
2019-02-10,50,False
2019-02-17,28,False
2019-02-24,77,False
2019-03-03,29,False
2019-03-10,28,False
2019-03-17,43,False
2019-03-24,21,False
2019-03-31,43,False
2019-04-07,50,False
2019-04-14,37,False
