date,LKQ,isPartial
2016-08-21,66,False
2016-08-28,70,False
2016-09-04,76,False
2016-09-11,63,False
2016-09-18,78,False
2016-09-25,71,False
2016-10-02,60,False
2016-10-09,61,False
2016-10-16,71,False
2016-10-23,68,False
2016-10-30,55,False
2016-11-06,62,False
2016-11-13,73,False
2016-11-20,69,False
2016-11-27,67,False
2016-12-04,61,False
2016-12-11,59,False
2016-12-18,63,False
2016-12-25,56,False
2017-01-01,70,False
2017-01-08,64,False
2017-01-15,69,False
2017-01-22,66,False
2017-01-29,67,False
2017-02-05,65,False
2017-02-12,70,False
2017-02-19,71,False
2017-02-26,81,False
2017-03-05,73,False
2017-03-12,79,False
2017-03-19,79,False
2017-03-26,81,False
2017-04-02,73,False
2017-04-09,82,False
2017-04-16,77,False
2017-04-23,76,False
2017-04-30,64,False
2017-05-07,76,False
2017-05-14,72,False
2017-05-21,81,False
2017-05-28,77,False
2017-06-04,73,False
2017-06-11,81,False
2017-06-18,74,False
2017-06-25,72,False
2017-07-02,88,False
2017-07-09,71,False
2017-07-16,77,False
2017-07-23,72,False
2017-07-30,76,False
2017-08-06,78,False
2017-08-13,69,False
2017-08-20,77,False
2017-08-27,79,False
2017-09-03,64,False
2017-09-10,72,False
2017-09-17,69,False
2017-09-24,81,False
2017-10-01,72,False
2017-10-08,76,False
2017-10-15,76,False
2017-10-22,71,False
2017-10-29,73,False
2017-11-05,67,False
2017-11-12,62,False
2017-11-19,71,False
2017-11-26,71,False
2017-12-03,64,False
2017-12-10,74,False
2017-12-17,71,False
2017-12-24,67,False
2017-12-31,64,False
2018-01-07,77,False
2018-01-14,67,False
2018-01-21,76,False
2018-01-28,71,False
2018-02-04,74,False
2018-02-11,83,False
2018-02-18,81,False
2018-02-25,78,False
2018-03-04,83,False
2018-03-11,69,False
2018-03-18,85,False
2018-03-25,89,False
2018-04-01,71,False
2018-04-08,73,False
2018-04-15,77,False
2018-04-22,76,False
2018-04-29,69,False
2018-05-06,72,False
2018-05-13,73,False
2018-05-20,77,False
2018-05-27,77,False
2018-06-03,71,False
2018-06-10,78,False
2018-06-17,78,False
2018-06-24,78,False
2018-07-01,77,False
2018-07-08,82,False
2018-07-15,80,False
2018-07-22,85,False
2018-07-29,83,False
2018-08-05,80,False
2018-08-12,77,False
2018-08-19,84,False
2018-08-26,93,False
2018-09-02,80,False
2018-09-09,70,False
2018-09-16,79,False
2018-09-23,82,False
2018-09-30,78,False
2018-10-07,83,False
2018-10-14,79,False
2018-10-21,77,False
2018-10-28,80,False
2018-11-04,70,False
2018-11-11,77,False
2018-11-18,79,False
2018-11-25,71,False
2018-12-02,74,False
2018-12-09,77,False
2018-12-16,78,False
2018-12-23,77,False
2018-12-30,88,False
2019-01-06,91,False
2019-01-13,77,False
2019-01-20,79,False
2019-01-27,74,False
2019-02-03,85,False
2019-02-10,88,False
2019-02-17,88,False
2019-02-24,98,False
2019-03-03,99,False
2019-03-10,88,False
2019-03-17,98,False
2019-03-24,94,False
2019-03-31,76,False
2019-04-07,94,False
2019-04-14,94,False
2019-04-21,93,False
2019-04-28,90,False
2019-05-05,83,False
2019-05-12,86,False
2019-05-19,95,False
2019-05-26,88,False
2019-06-02,92,False
2019-06-09,97,False
2019-06-16,88,False
2019-06-23,86,False
2019-06-30,93,False
2019-07-07,95,False
2019-07-14,86,False
2019-07-21,98,False
2019-07-28,91,False
2019-08-04,92,False
2019-08-11,96,False
