date,NEM,isPartial
2016-08-21,79,False
2016-08-28,82,False
2016-09-04,82,False
2016-09-11,81,False
2016-09-18,80,False
2016-09-25,80,False
2016-10-02,82,False
2016-10-09,79,False
2016-10-16,80,False
2016-10-23,82,False
2016-10-30,79,False
2016-11-06,81,False
2016-11-13,78,False
2016-11-20,84,False
2016-11-27,88,False
2016-12-04,88,False
2016-12-11,81,False
2016-12-18,80,False
2016-12-25,88,False
2017-01-01,78,False
2017-01-08,83,False
2017-01-15,82,False
2017-01-22,84,False
2017-01-29,80,False
2017-02-05,83,False
2017-02-12,79,False
2017-02-19,81,False
2017-02-26,80,False
2017-03-05,81,False
2017-03-12,82,False
2017-03-19,81,False
2017-03-26,80,False
2017-04-02,81,False
2017-04-09,80,False
2017-04-16,79,False
2017-04-23,82,False
2017-04-30,81,False
2017-05-07,82,False
2017-05-14,85,False
2017-05-21,84,False
2017-05-28,100,False
2017-06-04,89,False
2017-06-11,85,False
2017-06-18,87,False
2017-06-25,81,False
2017-07-02,80,False
2017-07-09,79,False
2017-07-16,79,False
2017-07-23,79,False
2017-07-30,85,False
2017-08-06,81,False
2017-08-13,80,False
2017-08-20,82,False
2017-08-27,80,False
2017-09-03,82,False
2017-09-10,84,False
2017-09-17,84,False
2017-09-24,83,False
2017-10-01,81,False
2017-10-08,82,False
2017-10-15,81,False
2017-10-22,81,False
2017-10-29,81,False
2017-11-05,84,False
2017-11-12,86,False
2017-11-19,89,False
2017-11-26,86,False
2017-12-03,92,False
2017-12-10,96,False
2017-12-17,93,False
2017-12-24,96,False
2017-12-31,98,False
2018-01-07,89,False
2018-01-14,88,False
2018-01-21,99,False
2018-01-28,98,False
2018-02-04,83,False
2018-02-11,83,False
2018-02-18,87,False
2018-02-25,84,False
2018-03-04,86,False
2018-03-11,87,False
2018-03-18,86,False
2018-03-25,82,False
2018-04-01,83,False
2018-04-08,82,False
2018-04-15,83,False
2018-04-22,80,False
2018-04-29,82,False
2018-05-06,82,False
2018-05-13,78,False
2018-05-20,92,False
2018-05-27,90,False
2018-06-03,91,False
2018-06-10,85,False
2018-06-17,80,False
2018-06-24,83,False
2018-07-01,77,False
2018-07-08,78,False
2018-07-15,81,False
2018-07-22,79,False
2018-07-29,81,False
2018-08-05,82,False
2018-08-12,80,False
2018-08-19,78,False
2018-08-26,80,False
2018-09-02,78,False
2018-09-09,75,False
2018-09-16,77,False
2018-09-23,78,False
2018-09-30,80,False
2018-10-07,76,False
2018-10-14,80,False
2018-10-21,82,False
2018-10-28,78,False
2018-11-04,76,False
2018-11-11,79,False
2018-11-18,79,False
2018-11-25,73,False
2018-12-02,71,False
2018-12-09,70,False
2018-12-16,72,False
2018-12-23,79,False
2018-12-30,76,False
2019-01-06,77,False
2019-01-13,74,False
2019-01-20,80,False
2019-01-27,79,False
2019-02-03,77,False
2019-02-10,73,False
2019-02-17,77,False
2019-02-24,74,False
2019-03-03,78,False
2019-03-10,79,False
2019-03-17,86,False
2019-03-24,81,False
2019-03-31,77,False
2019-04-07,78,False
2019-04-14,78,False
2019-04-21,79,False
2019-04-28,76,False
2019-05-05,78,False
2019-05-12,76,False
2019-05-19,77,False
2019-05-26,89,False
2019-06-02,77,False
2019-06-09,83,False
2019-06-16,79,False
2019-06-23,80,False
2019-06-30,79,False
2019-07-07,77,False
2019-07-14,75,False
2019-07-21,78,False
2019-07-28,80,False
2019-08-04,77,False
2019-08-11,82,False
2019-08-18,78,False
2019-08-25,83,False
2019-09-01,74,False
2019-09-08,75,False
2019-09-15,77,False
2019-09-22,79,False
2019-09-29,79,False
2019-10-06,69,False
2019-10-13,76,False
2019-10-20,71,False
2019-10-27,82,False
2019-11-03,74,False
2019-11-10,75,False
2019-11-17,73,False
2019-11-24,73,False
2019-12-01,71,False
2019-12-08,75,False
2019-12-15,75,False
2019-12-22,76,False
2019-12-29,79,False
2020-01-05,79,False
2020-01-12,76,False
2020-01-19,75,False
2020-01-26,72,False
2020-02-02,75,False
2020-02-09,73,False
2020-02-16,77,False
2020-02-23,72,False
2020-03-01,77,False
2020-03-08,75,False
2020-03-15,75,False
2020-03-22,88,False
2020-03-29,92,False
2020-04-05,91,False
2020-04-12,90,False
2020-04-19,94,False
2020-04-26,94,False
