date,TDY,isPartial
2016-08-21,36,False
2016-08-28,29,False
2016-09-04,44,False
2016-09-11,36,False
2016-09-18,43,False
2016-09-25,39,False
2016-10-02,37,False
2016-10-09,46,False
2016-10-16,55,False
2016-10-23,93,False
2016-10-30,53,False
2016-11-06,31,False
2016-11-13,59,False
2016-11-20,38,False
2016-11-27,40,False
2016-12-04,39,False
2016-12-11,46,False
2016-12-18,25,False
2016-12-25,37,False
2017-01-01,21,False
2017-01-08,37,False
2017-01-15,47,False
2017-01-22,42,False
2017-01-29,50,False
2017-02-05,43,False
2017-02-12,36,False
2017-02-19,35,False
2017-02-26,38,False
2017-03-05,51,False
2017-03-12,34,False
2017-03-19,48,False
2017-03-26,39,False
2017-04-02,32,False
2017-04-09,53,False
2017-04-16,44,False
2017-04-23,61,False
2017-04-30,44,False
2017-05-07,43,False
2017-05-14,45,False
2017-05-21,47,False
2017-05-28,43,False
2017-06-04,42,False
2017-06-11,33,False
2017-06-18,40,False
2017-06-25,54,False
2017-07-02,44,False
2017-07-09,33,False
2017-07-16,41,False
2017-07-23,53,False
2017-07-30,49,False
2017-08-06,56,False
2017-08-13,36,False
2017-08-20,48,False
2017-08-27,36,False
2017-09-03,43,False
2017-09-10,24,False
2017-09-17,42,False
2017-09-24,52,False
2017-10-01,43,False
2017-10-08,52,False
2017-10-15,39,False
2017-10-22,47,False
2017-10-29,40,False
2017-11-05,35,False
2017-11-12,40,False
2017-11-19,34,False
2017-11-26,45,False
2017-12-03,39,False
2017-12-10,40,False
2017-12-17,38,False
2017-12-24,22,False
2017-12-31,55,False
2018-01-07,41,False
2018-01-14,48,False
2018-01-21,50,False
2018-01-28,50,False
2018-02-04,48,False
2018-02-11,48,False
2018-02-18,44,False
2018-02-25,40,False
2018-03-04,35,False
2018-03-11,34,False
2018-03-18,52,False
2018-03-25,45,False
2018-04-01,53,False
2018-04-08,65,False
2018-04-15,43,False
2018-04-22,57,False
2018-04-29,80,False
2018-05-06,59,False
2018-05-13,39,False
2018-05-20,46,False
2018-05-27,50,False
2018-06-03,33,False
2018-06-10,49,False
2018-06-17,48,False
2018-06-24,44,False
2018-07-01,43,False
2018-07-08,49,False
2018-07-15,36,False
2018-07-22,44,False
2018-07-29,43,False
2018-08-05,46,False
2018-08-12,52,False
2018-08-19,37,False
2018-08-26,52,False
2018-09-02,51,False
2018-09-09,33,False
2018-09-16,40,False
2018-09-23,45,False
2018-09-30,39,False
2018-10-07,37,False
2018-10-14,38,False
2018-10-21,41,False
2018-10-28,36,False
2018-11-04,35,False
2018-11-11,40,False
2018-11-18,34,False
2018-11-25,30,False
2018-12-02,51,False
2018-12-09,45,False
2018-12-16,44,False
2018-12-23,21,False
2018-12-30,31,False
2019-01-06,54,False
2019-01-13,39,False
2019-01-20,43,False
2019-01-27,40,False
2019-02-03,51,False
2019-02-10,53,False
2019-02-17,40,False
2019-02-24,42,False
