date,NSC,isPartial
2019-03-03,58,False
2019-03-10,52,False
2019-03-17,53,False
2019-03-24,53,False
2019-03-31,49,False
2019-04-07,44,False
2019-04-14,48,False
2019-04-21,50,False
2019-04-28,46,False
2019-05-05,45,False
2019-05-12,46,False
2019-05-19,49,False
2019-05-26,56,False
2019-06-02,49,False
2019-06-09,58,False
2019-06-16,50,False
2019-06-23,49,False
2019-06-30,50,False
2019-07-07,52,False
2019-07-14,43,False
2019-07-21,54,False
2019-07-28,53,False
2019-08-04,48,False
2019-08-11,53,False
2019-08-18,56,False
2019-08-25,53,False
2019-09-01,52,False
2019-09-08,53,False
2019-09-15,51,False
2019-09-22,48,False
2019-09-29,52,False
2019-10-06,50,False
2019-10-13,55,False
2019-10-20,53,False
2019-10-27,59,False
2019-11-03,49,False
2019-11-10,49,False
2019-11-17,60,False
2019-11-24,40,False
2019-12-01,42,False
2019-12-08,43,False
2019-12-15,45,False
2019-12-22,43,False
2019-12-29,52,False
2020-01-05,71,False
2020-01-12,52,False
2020-01-19,53,False
2020-01-26,54,False
2020-02-02,55,False
2020-02-09,52,False
2020-02-16,50,False
2020-02-23,51,False
2020-03-01,52,False
2020-03-08,61,False
2020-03-15,100,False
2020-03-22,72,False
2020-03-29,71,False
2020-04-05,67,False
2020-04-12,54,False
2020-04-19,45,False
2020-04-26,52,False
2020-05-03,52,False
2020-05-10,48,False
2020-05-17,49,False
2020-05-24,47,False
2020-05-31,41,False
2020-06-07,43,False
2020-06-14,47,False
2020-06-21,45,False
2020-06-28,60,False
2020-07-05,60,False
2020-07-12,55,False
2020-07-19,51,False
2020-07-26,55,False
2020-08-02,56,False
2020-08-09,53,False
2020-08-16,56,False
2020-08-23,50,False
2020-08-30,51,False
2020-09-06,45,False
2020-09-13,57,False
2020-09-20,46,False
2020-09-27,49,False
2020-10-04,47,False
2020-10-11,43,False
2020-10-18,49,False
2020-10-25,49,False
2020-11-01,49,False
2020-11-08,47,False
2020-11-15,59,False
2020-11-22,49,False
2020-11-29,49,False
2020-12-06,50,False
2020-12-13,43,False
2020-12-20,46,False
2020-12-27,46,False
2021-01-03,49,False
2021-01-10,45,False
2021-01-17,51,False
2021-01-24,48,False
2021-01-31,45,False
2021-02-07,50,False
2021-02-14,54,False
2021-02-21,64,False
2021-02-28,56,False
2021-03-07,54,False
2021-03-14,62,False
2021-03-21,47,False
2021-03-28,48,False
2021-04-04,46,False
2021-04-11,39,False
2021-04-18,44,False
2021-04-25,43,False
2021-05-02,46,False
2021-05-09,56,False
2021-05-16,45,False
2021-05-23,47,False
2021-05-30,47,False
2021-06-06,50,False
2021-06-13,49,False
2021-06-20,46,False
2021-06-27,50,False
2021-07-04,47,False
2021-07-11,41,False
2021-07-18,44,False
2021-07-25,40,False
2021-08-01,45,False
2021-08-08,40,True
