date,WAB,isPartial
2016-08-21,92,False
2016-08-28,86,False
2016-09-04,81,False
2016-09-11,92,False
2016-09-18,90,False
2016-09-25,100,False
2016-10-02,94,False
2016-10-09,90,False
2016-10-16,88,False
2016-10-23,89,False
2016-10-30,87,False
2016-11-06,84,False
2016-11-13,86,False
2016-11-20,90,False
2016-11-27,79,False
2016-12-04,83,False
2016-12-11,89,False
2016-12-18,90,False
2016-12-25,92,False
2017-01-01,91,False
2017-01-08,80,False
2017-01-15,85,False
2017-01-22,86,False
2017-01-29,84,False
2017-02-05,77,False
2017-02-12,80,False
2017-02-19,72,False
2017-02-26,91,False
2017-03-05,84,False
2017-03-12,72,False
2017-03-19,70,False
2017-03-26,72,False
2017-04-02,79,False
2017-04-09,72,False
2017-04-16,74,False
2017-04-23,72,False
2017-04-30,80,False
2017-05-07,80,False
2017-05-14,64,False
2017-05-21,72,False
2017-05-28,64,False
2017-06-04,62,False
2017-06-11,64,False
2017-06-18,61,False
2017-06-25,70,False
2017-07-02,66,False
2017-07-09,56,False
2017-07-16,78,False
2017-07-23,63,False
2017-07-30,68,False
2017-08-06,69,False
2017-08-13,67,False
2017-08-20,68,False
2017-08-27,67,False
2017-09-03,64,False
2017-09-10,71,False
2017-09-17,72,False
2017-09-24,57,False
2017-10-01,61,False
2017-10-08,60,False
2017-10-15,52,False
2017-10-22,64,False
2017-10-29,55,False
2017-11-05,50,False
2017-11-12,55,False
2017-11-19,50,False
2017-11-26,45,False
2017-12-03,51,False
2017-12-10,45,False
2017-12-17,45,False
2017-12-24,53,False
2017-12-31,52,False
2018-01-07,52,False
2018-01-14,54,False
2018-01-21,49,False
2018-01-28,48,False
2018-02-04,43,False
2018-02-11,43,False
2018-02-18,48,False
2018-02-25,44,False
2018-03-04,50,False
2018-03-11,47,False
2018-03-18,42,False
2018-03-25,51,False
2018-04-01,52,False
2018-04-08,47,False
2018-04-15,44,False
2018-04-22,43,False
2018-04-29,48,False
2018-05-06,48,False
2018-05-13,40,False
2018-05-20,48,False
2018-05-27,56,False
2018-06-03,48,False
2018-06-10,45,False
2018-06-17,45,False
2018-06-24,50,False
2018-07-01,46,False
2018-07-08,45,False
2018-07-15,48,False
2018-07-22,43,False
2018-07-29,44,False
2018-08-05,43,False
2018-08-12,48,False
2018-08-19,47,False
2018-08-26,43,False
2018-09-02,47,False
2018-09-09,49,False
2018-09-16,48,False
2018-09-23,42,False
2018-09-30,46,False
2018-10-07,39,False
2018-10-14,43,False
2018-10-21,39,False
2018-10-28,42,False
2018-11-04,44,False
2018-11-11,41,False
2018-11-18,47,False
2018-11-25,47,False
2018-12-02,53,False
2018-12-09,49,False
2018-12-16,55,False
2018-12-23,52,False
2018-12-30,42,False
2019-01-06,49,False
2019-01-13,44,False
2019-01-20,41,False
2019-01-27,40,False
