date,BBY,isPartial
2016-08-21,72,False
2016-08-28,53,False
2016-09-04,54,False
2016-09-11,59,False
2016-09-18,64,False
2016-09-25,65,False
2016-10-02,60,False
2016-10-09,55,False
2016-10-16,57,False
2016-10-23,57,False
2016-10-30,46,False
2016-11-06,57,False
2016-11-13,65,False
2016-11-20,61,False
2016-11-27,56,False
2016-12-04,59,False
2016-12-11,71,False
2016-12-18,65,False
2016-12-25,63,False
2017-01-01,57,False
2017-01-08,70,False
2017-01-15,60,False
2017-01-22,63,False
2017-01-29,53,False
2017-02-05,51,False
2017-02-12,67,False
2017-02-19,54,False
2017-02-26,57,False
2017-03-05,47,False
2017-03-12,44,False
2017-03-19,63,False
2017-03-26,69,False
2017-04-02,55,False
2017-04-09,60,False
2017-04-16,61,False
2017-04-23,56,False
2017-04-30,62,False
2017-05-07,71,False
2017-05-14,56,False
2017-05-21,82,False
2017-05-28,63,False
2017-06-04,69,False
2017-06-11,60,False
2017-06-18,60,False
2017-06-25,57,False
2017-07-02,63,False
2017-07-09,68,False
2017-07-16,52,False
2017-07-23,57,False
2017-07-30,62,False
2017-08-06,62,False
2017-08-13,58,False
2017-08-20,56,False
2017-08-27,76,False
2017-09-03,64,False
2017-09-10,54,False
2017-09-17,71,False
2017-09-24,65,False
2017-10-01,63,False
2017-10-08,51,False
2017-10-15,51,False
2017-10-22,51,False
2017-10-29,58,False
2017-11-05,63,False
2017-11-12,71,False
2017-11-19,55,False
2017-11-26,46,False
2017-12-03,62,False
2017-12-10,58,False
2017-12-17,67,False
2017-12-24,64,False
2017-12-31,61,False
2018-01-07,52,False
2018-01-14,54,False
2018-01-21,58,False
2018-01-28,54,False
2018-02-04,55,False
2018-02-11,54,False
2018-02-18,47,False
2018-02-25,65,False
2018-03-04,51,False
2018-03-11,55,False
2018-03-18,53,False
2018-03-25,57,False
2018-04-01,59,False
2018-04-08,65,False
2018-04-15,59,False
2018-04-22,62,False
2018-04-29,71,False
2018-05-06,67,False
2018-05-13,63,False
2018-05-20,68,False
2018-05-27,64,False
2018-06-03,60,False
2018-06-10,66,False
2018-06-17,54,False
2018-06-24,55,False
2018-07-01,55,False
2018-07-08,57,False
2018-07-15,63,False
2018-07-22,59,False
2018-07-29,61,False
2018-08-05,58,False
2018-08-12,60,False
2018-08-19,57,False
2018-08-26,77,False
2018-09-02,59,False
2018-09-09,52,False
2018-09-16,53,False
2018-09-23,57,False
2018-09-30,52,False
2018-10-07,53,False
2018-10-14,56,False
2018-10-21,43,False
2018-10-28,53,False
2018-11-04,50,False
2018-11-11,52,False
2018-11-18,58,False
2018-11-25,51,False
2018-12-02,55,False
2018-12-09,60,False
2018-12-16,69,False
2018-12-23,52,False
2018-12-30,55,False
2019-01-06,44,False
2019-01-13,54,False
2019-01-20,53,False
2019-01-27,58,False
2019-02-03,52,False
2019-02-10,53,False
2019-02-17,51,False
2019-02-24,68,False
