date,CLX,isPartial
2016-08-21,63,False
2016-08-28,59,False
2016-09-04,69,False
2016-09-11,76,False
2016-09-18,80,False
2016-09-25,66,False
2016-10-02,67,False
2016-10-09,94,False
2016-10-16,91,False
2016-10-23,100,False
2016-10-30,89,False
2016-11-06,80,False
2016-11-13,75,False
2016-11-20,71,False
2016-11-27,80,False
2016-12-04,67,False
2016-12-11,79,False
2016-12-18,69,False
2016-12-25,61,False
2017-01-01,71,False
2017-01-08,71,False
2017-01-15,61,False
2017-01-22,67,False
2017-01-29,58,False
2017-02-05,60,False
2017-02-12,63,False
2017-02-19,77,False
2017-02-26,67,False
2017-03-05,55,False
2017-03-12,61,False
2017-03-19,67,False
2017-03-26,61,False
2017-04-02,76,False
2017-04-09,64,False
2017-04-16,54,False
2017-04-23,69,False
2017-04-30,68,False
2017-05-07,70,False
2017-05-14,68,False
2017-05-21,54,False
2017-05-28,53,False
2017-06-04,63,False
2017-06-11,49,False
2017-06-18,58,False
2017-06-25,66,False
2017-07-02,68,False
2017-07-09,62,False
2017-07-16,57,False
2017-07-23,45,False
2017-07-30,65,False
2017-08-06,49,False
2017-08-13,63,False
2017-08-20,49,False
2017-08-27,52,False
2017-09-03,56,False
2017-09-10,55,False
2017-09-17,51,False
2017-09-24,58,False
2017-10-01,58,False
2017-10-08,68,False
2017-10-15,56,False
2017-10-22,64,False
2017-10-29,58,False
2017-11-05,65,False
2017-11-12,58,False
2017-11-19,59,False
2017-11-26,59,False
2017-12-03,58,False
2017-12-10,51,False
2017-12-17,57,False
2017-12-24,41,False
2017-12-31,54,False
2018-01-07,61,False
2018-01-14,50,False
2018-01-21,61,False
2018-01-28,56,False
2018-02-04,76,False
2018-02-11,52,False
2018-02-18,60,False
2018-02-25,59,False
2018-03-04,59,False
2018-03-11,59,False
2018-03-18,64,False
2018-03-25,58,False
2018-04-01,56,False
2018-04-08,50,False
2018-04-15,66,False
2018-04-22,55,False
2018-04-29,55,False
2018-05-06,66,False
2018-05-13,60,False
2018-05-20,53,False
2018-05-27,68,False
2018-06-03,50,False
2018-06-10,55,False
2018-06-17,46,False
2018-06-24,46,False
2018-07-01,54,False
2018-07-08,60,False
2018-07-15,68,False
2018-07-22,58,False
2018-07-29,51,False
2018-08-05,43,False
2018-08-12,47,False
2018-08-19,55,False
2018-08-26,64,False
2018-09-02,46,False
2018-09-09,65,False
2018-09-16,59,False
2018-09-23,61,False
2018-09-30,59,False
2018-10-07,46,False
2018-10-14,53,False
2018-10-21,63,False
2018-10-28,53,False
2018-11-04,68,False
2018-11-11,60,False
2018-11-18,52,False
2018-11-25,57,False
2018-12-02,66,False
2018-12-09,54,False
2018-12-16,58,False
2018-12-23,51,False
2018-12-30,55,False
2019-01-06,63,False
2019-01-13,65,False
2019-01-20,59,False
2019-01-27,55,False
2019-02-03,69,False
2019-02-10,60,False
2019-02-17,61,False
2019-02-24,64,False
2019-03-03,56,False
2019-03-10,61,False
2019-03-17,52,False
2019-03-24,45,False
2019-03-31,44,False
2019-04-07,58,False
2019-04-14,53,False
2019-04-21,60,False
2019-04-28,46,False
2019-05-05,50,False
2019-05-12,53,False
2019-05-19,64,False
2019-05-26,60,False
2019-06-02,44,False
2019-06-09,43,False
2019-06-16,53,False
2019-06-23,60,False
2019-06-30,46,False
2019-07-07,47,False
2019-07-14,54,False
2019-07-21,57,False
2019-07-28,60,False
2019-08-04,57,False
2019-08-11,52,False
2019-08-18,52,False
2019-08-25,49,False
2019-09-01,50,False
2019-09-08,54,False
2019-09-15,48,False
2019-09-22,54,False
2019-09-29,52,False
2019-10-06,63,False
2019-10-13,45,False
2019-10-20,47,False
2019-10-27,41,False
2019-11-03,54,False
2019-11-10,62,False
2019-11-17,50,False
2019-11-24,54,False
2019-12-01,53,False
2019-12-08,58,False
2019-12-15,52,False
2019-12-22,41,False
2019-12-29,40,False
2020-01-05,54,False
2020-01-12,55,False
2020-01-19,48,False
2020-01-26,56,False
2020-02-02,48,False
2020-02-09,51,False
2020-02-16,49,False
2020-02-23,73,False
