date,DG,isPartial
2016-08-21,75,False
2016-08-28,71,False
2016-09-04,76,False
2016-09-11,75,False
2016-09-18,75,False
2016-09-25,74,False
2016-10-02,78,False
2016-10-09,76,False
2016-10-16,72,False
2016-10-23,75,False
2016-10-30,72,False
2016-11-06,71,False
2016-11-13,79,False
2016-11-20,74,False
2016-11-27,73,False
2016-12-04,71,False
2016-12-11,71,False
2016-12-18,68,False
2016-12-25,74,False
2017-01-01,69,False
2017-01-08,77,False
2017-01-15,73,False
2017-01-22,72,False
2017-01-29,72,False
2017-02-05,70,False
2017-02-12,75,False
2017-02-19,73,False
2017-02-26,73,False
2017-03-05,71,False
2017-03-12,70,False
2017-03-19,71,False
2017-03-26,78,False
2017-04-02,75,False
2017-04-09,74,False
2017-04-16,72,False
2017-04-23,74,False
2017-04-30,75,False
2017-05-07,78,False
2017-05-14,71,False
2017-05-21,74,False
2017-05-28,70,False
2017-06-04,74,False
2017-06-11,68,False
2017-06-18,71,False
2017-06-25,66,False
2017-07-02,70,False
2017-07-09,71,False
2017-07-16,69,False
2017-07-23,81,False
2017-07-30,74,False
2017-08-06,66,False
2017-08-13,72,False
2017-08-20,69,False
2017-08-27,69,False
2017-09-03,70,False
2017-09-10,79,False
2017-09-17,71,False
2017-09-24,74,False
2017-10-01,75,False
2017-10-08,81,False
2017-10-15,71,False
2017-10-22,73,False
2017-10-29,71,False
2017-11-05,73,False
2017-11-12,78,False
2017-11-19,75,False
2017-11-26,71,False
2017-12-03,76,False
2017-12-10,70,False
2017-12-17,70,False
2017-12-24,69,False
2017-12-31,69,False
2018-01-07,73,False
2018-01-14,68,False
2018-01-21,71,False
2018-01-28,71,False
2018-02-04,67,False
2018-02-11,68,False
2018-02-18,70,False
2018-02-25,70,False
2018-03-04,68,False
2018-03-11,68,False
2018-03-18,72,False
2018-03-25,76,False
2018-04-01,68,False
2018-04-08,72,False
2018-04-15,70,False
2018-04-22,71,False
2018-04-29,68,False
2018-05-06,67,False
2018-05-13,71,False
2018-05-20,71,False
2018-05-27,75,False
2018-06-03,70,False
2018-06-10,64,False
2018-06-17,65,False
2018-06-24,71,False
2018-07-01,67,False
2018-07-08,67,False
2018-07-15,76,False
2018-07-22,73,False
2018-07-29,72,False
2018-08-05,70,False
2018-08-12,66,False
2018-08-19,72,False
2018-08-26,71,False
2018-09-02,68,False
2018-09-09,74,False
2018-09-16,66,False
2018-09-23,69,False
2018-09-30,74,False
2018-10-07,72,False
2018-10-14,64,False
2018-10-21,67,False
2018-10-28,66,False
2018-11-04,64,False
2018-11-11,66,False
2018-11-18,80,False
2018-11-25,71,False
2018-12-02,71,False
2018-12-09,64,False
2018-12-16,64,False
2018-12-23,60,False
2018-12-30,63,False
2019-01-06,65,False
2019-01-13,64,False
2019-01-20,68,False
2019-01-27,67,False
2019-02-03,66,False
2019-02-10,69,False
2019-02-17,65,False
2019-02-24,68,False
2019-03-03,67,False
