date,CNC,isPartial
2018-05-20,78,False
2018-05-27,72,False
2018-06-03,75,False
2018-06-10,79,False
2018-06-17,79,False
2018-06-24,82,False
2018-07-01,75,False
2018-07-08,79,False
2018-07-15,79,False
2018-07-22,77,False
2018-07-29,74,False
2018-08-05,74,False
2018-08-12,79,False
2018-08-19,79,False
2018-08-26,78,False
2018-09-02,79,False
2018-09-09,83,False
2018-09-16,83,False
2018-09-23,82,False
2018-09-30,79,False
2018-10-07,84,False
2018-10-14,83,False
2018-10-21,84,False
2018-10-28,85,False
2018-11-04,82,False
2018-11-11,86,False
2018-11-18,81,False
2018-11-25,89,False
2018-12-02,87,False
2018-12-09,84,False
2018-12-16,81,False
2018-12-23,75,False
2018-12-30,76,False
2019-01-06,87,False
2019-01-13,84,False
2019-01-20,83,False
2019-01-27,87,False
2019-02-03,85,False
2019-02-10,81,False
2019-02-17,84,False
2019-02-24,83,False
2019-03-03,85,False
2019-03-10,85,False
2019-03-17,86,False
2019-03-24,90,False
2019-03-31,81,False
2019-04-07,82,False
2019-04-14,81,False
2019-04-21,80,False
2019-04-28,78,False
2019-05-05,79,False
2019-05-12,79,False
2019-05-19,78,False
2019-05-26,76,False
2019-06-02,79,False
2019-06-09,83,False
2019-06-16,79,False
2019-06-23,82,False
2019-06-30,74,False
2019-07-07,80,False
2019-07-14,75,False
2019-07-21,78,False
2019-07-28,78,False
2019-08-04,76,False
2019-08-11,73,False
2019-08-18,78,False
2019-08-25,80,False
2019-09-01,80,False
2019-09-08,84,False
2019-09-15,80,False
2019-09-22,78,False
2019-09-29,83,False
2019-10-06,83,False
2019-10-13,84,False
2019-10-20,83,False
2019-10-27,79,False
2019-11-03,87,False
2019-11-10,84,False
2019-11-17,87,False
2019-11-24,82,False
2019-12-01,86,False
2019-12-08,85,False
2019-12-15,81,False
2019-12-22,74,False
2019-12-29,73,False
2020-01-05,89,False
2020-01-12,85,False
2020-01-19,82,False
2020-01-26,87,False
2020-02-02,89,False
2020-02-09,83,False
2020-02-16,88,False
2020-02-23,86,False
2020-03-01,86,False
2020-03-08,82,False
2020-03-15,68,False
2020-03-22,66,False
2020-03-29,68,False
2020-04-05,71,False
2020-04-12,70,False
2020-04-19,73,False
2020-04-26,69,False
2020-05-03,76,False
2020-05-10,77,False
2020-05-17,77,False
2020-05-24,74,False
2020-05-31,76,False
2020-06-07,83,False
2020-06-14,81,False
2020-06-21,75,False
2020-06-28,83,False
2020-07-05,82,False
2020-07-12,79,False
2020-07-19,78,False
2020-07-26,78,False
2020-08-02,78,False
2020-08-09,80,False
2020-08-16,80,False
2020-08-23,81,False
2020-08-30,84,False
2020-09-06,80,False
2020-09-13,80,False
2020-09-20,86,False
2020-09-27,81,False
2020-10-04,81,False
2020-10-11,79,False
2020-10-18,80,False
2020-10-25,84,False
2020-11-01,78,False
2020-11-08,83,False
2020-11-15,84,False
2020-11-22,84,False
2020-11-29,96,False
2020-12-06,88,False
2020-12-13,85,False
2020-12-20,83,False
2020-12-27,80,False
2021-01-03,87,False
2021-01-10,88,False
2021-01-17,87,False
2021-01-24,93,False
2021-01-31,94,False
2021-02-07,93,False
2021-02-14,88,False
2021-02-21,89,False
2021-02-28,89,False
2021-03-07,85,False
2021-03-14,91,False
2021-03-21,88,False
2021-03-28,80,False
2021-04-04,82,False
2021-04-11,94,False
2021-04-18,87,False
2021-04-25,91,False
2021-05-02,83,False
2021-05-09,99,False
2021-05-16,91,False
2021-05-23,92,False
2021-05-30,86,False
2021-06-06,84,False
2021-06-13,95,False
2021-06-20,90,False
2021-06-27,100,False
2021-07-04,90,False
2021-07-11,97,False
2021-07-18,90,False
2021-07-25,91,False
2021-08-01,88,False
2021-08-08,86,True
