date,LH,isPartial
2016-08-21,82,False
2016-08-28,81,False
2016-09-04,82,False
2016-09-11,82,False
2016-09-18,69,False
2016-09-25,80,False
2016-10-02,74,False
2016-10-09,80,False
2016-10-16,80,False
2016-10-23,79,False
2016-10-30,84,False
2016-11-06,78,False
2016-11-13,77,False
2016-11-20,83,False
2016-11-27,77,False
2016-12-04,79,False
2016-12-11,81,False
2016-12-18,74,False
2016-12-25,62,False
2017-01-01,73,False
2017-01-08,78,False
2017-01-15,78,False
2017-01-22,77,False
2017-01-29,76,False
2017-02-05,74,False
2017-02-12,80,False
2017-02-19,79,False
2017-02-26,80,False
2017-03-05,80,False
2017-03-12,82,False
2017-03-19,80,False
2017-03-26,78,False
2017-04-02,82,False
2017-04-09,74,False
2017-04-16,87,False
2017-04-23,84,False
2017-04-30,83,False
2017-05-07,86,False
2017-05-14,79,False
2017-05-21,81,False
2017-05-28,78,False
2017-06-04,82,False
2017-06-11,87,False
2017-06-18,84,False
2017-06-25,83,False
2017-07-02,82,False
2017-07-09,86,False
2017-07-16,80,False
2017-07-23,84,False
2017-07-30,82,False
2017-08-06,83,False
2017-08-13,79,False
2017-08-20,86,False
2017-08-27,84,False
2017-09-03,78,False
2017-09-10,87,False
2017-09-17,85,False
2017-09-24,82,False
2017-10-01,88,False
2017-10-08,80,False
2017-10-15,85,False
2017-10-22,82,False
2017-10-29,79,False
2017-11-05,82,False
2017-11-12,83,False
2017-11-19,84,False
2017-11-26,79,False
2017-12-03,83,False
2017-12-10,81,False
2017-12-17,79,False
2017-12-24,67,False
2017-12-31,75,False
2018-01-07,82,False
2018-01-14,81,False
2018-01-21,77,False
2018-01-28,85,False
2018-02-04,79,False
2018-02-11,74,False
2018-02-18,79,False
2018-02-25,82,False
2018-03-04,84,False
2018-03-11,89,False
2018-03-18,88,False
2018-03-25,82,False
2018-04-01,79,False
2018-04-08,92,False
2018-04-15,90,False
2018-04-22,90,False
2018-04-29,82,False
2018-05-06,83,False
2018-05-13,98,False
2018-05-20,87,False
2018-05-27,84,False
2018-06-03,91,False
2018-06-10,90,False
2018-06-17,90,False
2018-06-24,80,False
2018-07-01,87,False
2018-07-08,85,False
2018-07-15,87,False
2018-07-22,85,False
2018-07-29,90,False
2018-08-05,86,False
2018-08-12,85,False
2018-08-19,82,False
2018-08-26,91,False
2018-09-02,90,False
2018-09-09,90,False
2018-09-16,82,False
2018-09-23,88,False
2018-09-30,82,False
2018-10-07,79,False
2018-10-14,89,False
2018-10-21,85,False
2018-10-28,82,False
2018-11-04,80,False
2018-11-11,86,False
2018-11-18,78,False
2018-11-25,85,False
2018-12-02,86,False
2018-12-09,87,False
2018-12-16,86,False
2018-12-23,64,False
2018-12-30,75,False
2019-01-06,91,False
2019-01-13,82,False
2019-01-20,84,False
2019-01-27,85,False
2019-02-03,89,False
2019-02-10,84,False
2019-02-17,91,False
2019-02-24,82,False
2019-03-03,85,False
2019-03-10,89,False
2019-03-17,87,False
2019-03-24,92,False
2019-03-31,86,False
2019-04-07,93,False
2019-04-14,84,False
2019-04-21,89,False
2019-04-28,88,False
2019-05-05,100,False
2019-05-12,90,False
2019-05-19,93,False
2019-05-26,87,False
2019-06-02,89,False
2019-06-09,88,False
2019-06-16,98,False
2019-06-23,89,False
2019-06-30,83,False
2019-07-07,89,False
2019-07-14,78,False
2019-07-21,86,False
2019-07-28,87,False
2019-08-04,78,False
2019-08-11,86,False
2019-08-18,83,False
2019-08-25,92,False
2019-09-01,94,False
2019-09-08,93,False
2019-09-15,90,False
2019-09-22,96,False
2019-09-29,84,False
2019-10-06,91,False
2019-10-13,92,False
2019-10-20,95,False
2019-10-27,85,False
2019-11-03,98,False
2019-11-10,92,False
2019-11-17,86,False
2019-11-24,83,False
2019-12-01,88,False
2019-12-08,89,False
2019-12-15,81,False
2019-12-22,70,False
2019-12-29,68,False
2020-01-05,85,False
2020-01-12,88,False
2020-01-19,91,False
2020-01-26,85,False
2020-02-02,89,False
2020-02-09,92,False
2020-02-16,85,False
2020-02-23,85,False
2020-03-01,84,False
2020-03-08,92,False
2020-03-15,78,False
2020-03-22,67,False
2020-03-29,63,False
2020-04-05,59,False
2020-04-12,68,False
2020-04-19,71,False
2020-04-26,73,False
2020-05-03,75,False
2020-05-10,80,False
2020-05-17,77,False
2020-05-24,76,False
2020-05-31,73,False
2020-06-07,79,False
2020-06-14,79,False
2020-06-21,82,False
2020-06-28,80,False
2020-07-05,79,False
2020-07-12,79,False
2020-07-19,80,False
2020-07-26,78,False
2020-08-02,80,False
2020-08-09,82,False
2020-08-16,76,False
2020-08-23,81,False
2020-08-30,84,False
2020-09-06,83,False
2020-09-13,77,False
2020-09-20,79,False
2020-09-27,76,False
2020-10-04,79,False
2020-10-11,70,False
2020-10-18,78,False
2020-10-25,72,False
2020-11-01,73,False
2020-11-08,77,False
2020-11-15,79,False
2020-11-22,73,False
2020-11-29,78,False
2020-12-06,75,False
2020-12-13,73,False
2020-12-20,65,False
2020-12-27,66,False
2021-01-03,74,False
2021-01-10,76,False
2021-01-17,86,False
2021-01-24,81,False
2021-01-31,80,False
2021-02-07,72,False
2021-02-14,77,False
2021-02-21,74,False
2021-02-28,88,False
2021-03-07,100,False
2021-03-14,85,False
2021-03-21,85,False
2021-03-28,78,False
2021-04-04,82,False
2021-04-11,83,False
2021-04-18,85,False
2021-04-25,78,False
2021-05-02,78,False
2021-05-09,74,False
2021-05-16,81,False
2021-05-23,86,False
2021-05-30,77,False
2021-06-06,81,False
2021-06-13,82,False
2021-06-20,85,False
2021-06-27,81,False
2021-07-04,86,False
2021-07-11,80,False
2021-07-18,80,False
2021-07-25,87,False
2021-08-01,83,False
2021-08-08,83,True
