date,CNP,isPartial
2020-04-05,49,False
2020-04-12,54,False
2020-04-19,49,False
2020-04-26,57,False
2020-05-03,59,False
2020-05-10,56,False
2020-05-17,52,False
2020-05-24,57,False
2020-05-31,55,False
2020-06-07,62,False
2020-06-14,53,False
2020-06-21,56,False
2020-06-28,58,False
2020-07-05,57,False
2020-07-12,54,False
2020-07-19,60,False
2020-07-26,60,False
2020-08-02,55,False
2020-08-09,55,False
2020-08-16,55,False
2020-08-23,52,False
2020-08-30,68,False
2020-09-06,55,False
2020-09-13,60,False
2020-09-20,58,False
2020-09-27,56,False
2020-10-04,61,False
2020-10-11,59,False
2020-10-18,61,False
2020-10-25,57,False
2020-11-01,56,False
2020-11-08,69,False
2020-11-15,60,False
2020-11-22,63,False
2020-11-29,61,False
2020-12-06,57,False
2020-12-13,64,False
2020-12-20,38,False
2020-12-27,54,False
2021-01-03,56,False
2021-01-10,79,False
2021-01-17,100,False
2021-01-24,65,False
2021-01-31,68,False
2021-02-07,63,False
2021-02-14,66,False
2021-02-21,67,False
2021-02-28,73,False
2021-03-07,75,False
2021-03-14,78,False
2021-03-21,76,False
2021-03-28,69,False
2021-04-04,64,False
2021-04-11,70,False
2021-04-18,69,False
2021-04-25,61,False
2021-05-02,61,False
2021-05-09,61,False
2021-05-16,73,False
2021-05-23,66,False
2021-05-30,67,False
2021-06-06,71,False
2021-06-13,75,False
2021-06-20,72,False
2021-06-27,71,False
2021-07-04,63,False
2021-07-11,61,False
2021-07-18,65,False
2021-07-25,64,False
2021-08-01,64,False
2021-08-08,72,True
