date,ESS,isPartial
2016-08-21,66,False
2016-08-28,68,False
2016-09-04,65,False
2016-09-11,68,False
2016-09-18,66,False
2016-09-25,73,False
2016-10-02,67,False
2016-10-09,61,False
2016-10-16,73,False
2016-10-23,66,False
2016-10-30,69,False
2016-11-06,68,False
2016-11-13,72,False
2016-11-20,66,False
2016-11-27,70,False
2016-12-04,67,False
2016-12-11,74,False
2016-12-18,68,False
2016-12-25,68,False
2017-01-01,66,False
2017-01-08,75,False
2017-01-15,75,False
2017-01-22,73,False
2017-01-29,73,False
2017-02-05,70,False
2017-02-12,67,False
2017-02-19,77,False
2017-02-26,76,False
2017-03-05,72,False
2017-03-12,64,False
2017-03-19,68,False
2017-03-26,71,False
2017-04-02,73,False
2017-04-09,70,False
2017-04-16,71,False
2017-04-23,74,False
2017-04-30,79,False
2017-05-07,70,False
2017-05-14,74,False
2017-05-21,70,False
2017-05-28,72,False
2017-06-04,69,False
2017-06-11,80,False
2017-06-18,69,False
2017-06-25,82,False
2017-07-02,72,False
2017-07-09,77,False
2017-07-16,67,False
2017-07-23,68,False
2017-07-30,71,False
2017-08-06,68,False
2017-08-13,69,False
2017-08-20,66,False
2017-08-27,68,False
2017-09-03,69,False
2017-09-10,68,False
2017-09-17,75,False
2017-09-24,70,False
2017-10-01,77,False
2017-10-08,71,False
2017-10-15,75,False
2017-10-22,75,False
2017-10-29,82,False
2017-11-05,76,False
2017-11-12,77,False
2017-11-19,71,False
2017-11-26,81,False
2017-12-03,72,False
2017-12-10,77,False
2017-12-17,72,False
2017-12-24,71,False
2017-12-31,80,False
2018-01-07,80,False
2018-01-14,78,False
2018-01-21,87,False
2018-01-28,87,False
2018-02-04,73,False
2018-02-11,74,False
2018-02-18,73,False
2018-02-25,77,False
2018-03-04,78,False
2018-03-11,73,False
2018-03-18,77,False
2018-03-25,80,False
2018-04-01,83,False
2018-04-08,78,False
2018-04-15,78,False
2018-04-22,86,False
2018-04-29,78,False
2018-05-06,76,False
2018-05-13,83,False
2018-05-20,74,False
2018-05-27,77,False
2018-06-03,76,False
2018-06-10,79,False
2018-06-17,73,False
2018-06-24,77,False
2018-07-01,77,False
2018-07-08,74,False
2018-07-15,81,False
2018-07-22,79,False
2018-07-29,76,False
2018-08-05,77,False
2018-08-12,78,False
2018-08-19,80,False
2018-08-26,85,False
2018-09-02,80,False
2018-09-09,84,False
2018-09-16,95,False
2018-09-23,93,False
2018-09-30,86,False
2018-10-07,78,False
2018-10-14,81,False
2018-10-21,89,False
2018-10-28,83,False
2018-11-04,80,False
2018-11-11,91,False
2018-11-18,80,False
2018-11-25,86,False
2018-12-02,80,False
2018-12-09,91,False
2018-12-16,83,False
2018-12-23,79,False
2018-12-30,79,False
2019-01-06,88,False
2019-01-13,88,False
2019-01-20,100,False
2019-01-27,94,False
2019-02-03,92,False
2019-02-10,75,False
2019-02-17,83,False
2019-02-24,88,False
2019-03-03,84,False
2019-03-10,79,False
2019-03-17,83,False
2019-03-24,85,False
2019-03-31,79,False
2019-04-07,80,False
2019-04-14,85,False
2019-04-21,83,False
2019-04-28,84,False
2019-05-05,83,False
2019-05-12,85,False
2019-05-19,75,False
2019-05-26,85,False
2019-06-02,80,False
2019-06-09,79,False
2019-06-16,80,False
2019-06-23,85,False
2019-06-30,81,False
2019-07-07,78,False
2019-07-14,92,False
2019-07-21,81,False
2019-07-28,76,False
2019-08-04,73,False
2019-08-11,84,False
2019-08-18,83,False
2019-08-25,87,False
2019-09-01,85,False
2019-09-08,76,False
2019-09-15,88,False
2019-09-22,83,False
2019-09-29,85,False
2019-10-06,77,False
2019-10-13,75,False
2019-10-20,81,False
2019-10-27,81,False
2019-11-03,97,False
2019-11-10,91,False
2019-11-17,80,False
2019-11-24,91,False
2019-12-01,80,False
2019-12-08,86,False
2019-12-15,87,False
2019-12-22,77,False
2019-12-29,79,False
2020-01-05,89,False
2020-01-12,89,False
2020-01-19,84,False
2020-01-26,96,False
2020-02-02,86,False
2020-02-09,80,False
2020-02-16,80,False
2020-02-23,87,False
2020-03-01,90,False
2020-03-08,78,False
2020-03-15,83,False
2020-03-22,88,False
2020-03-29,88,False
2020-04-05,73,False
2020-04-12,80,False
2020-04-19,73,False
2020-04-26,86,False
2020-05-03,76,False
2020-05-10,80,False
2020-05-17,77,False
2020-05-24,81,False
2020-05-31,80,False
2020-06-07,79,False
2020-06-14,75,False
2020-06-21,80,False
2020-06-28,89,False
2020-07-05,82,False
2020-07-12,83,False
2020-07-19,79,False
2020-07-26,82,False
