date,AOS,isPartial
2016-08-21,54,False
2016-08-28,61,False
2016-09-04,55,False
2016-09-11,57,False
2016-09-18,58,False
2016-09-25,59,False
2016-10-02,53,False
2016-10-09,57,False
2016-10-16,59,False
2016-10-23,58,False
2016-10-30,57,False
2016-11-06,57,False
2016-11-13,56,False
2016-11-20,62,False
2016-11-27,65,False
2016-12-04,56,False
2016-12-11,53,False
2016-12-18,43,False
2016-12-25,39,False
2017-01-01,37,False
2017-01-08,43,False
2017-01-15,46,False
2017-01-22,45,False
2017-01-29,47,False
2017-02-05,50,False
2017-02-12,50,False
2017-02-19,51,False
2017-02-26,47,False
2017-03-05,55,False
2017-03-12,59,False
2017-03-19,58,False
2017-03-26,58,False
2017-04-02,59,False
2017-04-09,59,False
2017-04-16,59,False
2017-04-23,60,False
2017-04-30,59,False
2017-05-07,63,False
2017-05-14,60,False
2017-05-21,60,False
2017-05-28,60,False
2017-06-04,57,False
2017-06-11,52,False
2017-06-18,54,False
2017-06-25,50,False
2017-07-02,46,False
2017-07-09,45,False
2017-07-16,47,False
2017-07-23,47,False
2017-07-30,51,False
2017-08-06,60,False
2017-08-13,59,False
2017-08-20,55,False
2017-08-27,59,False
2017-09-03,52,False
2017-09-10,60,False
2017-09-17,60,False
2017-09-24,60,False
2017-10-01,64,False
2017-10-08,52,False
2017-10-15,75,False
2017-10-22,63,False
2017-10-29,57,False
2017-11-05,58,False
2017-11-12,55,False
2017-11-19,60,False
2017-11-26,60,False
2017-12-03,55,False
2017-12-10,50,False
2017-12-17,43,False
2017-12-24,36,False
2017-12-31,41,False
2018-01-07,42,False
2018-01-14,43,False
2018-01-21,41,False
2018-01-28,45,False
2018-02-04,42,False
2018-02-11,41,False
2018-02-18,51,False
2018-02-25,53,False
2018-03-04,53,False
2018-03-11,58,False
2018-03-18,57,False
2018-03-25,55,False
2018-04-01,60,False
2018-04-08,65,False
2018-04-15,66,False
2018-04-22,62,False
2018-04-29,59,False
2018-05-06,60,False
2018-05-13,62,False
2018-05-20,62,False
2018-05-27,53,False
2018-06-03,60,False
2018-06-10,61,False
2018-06-17,56,False
2018-06-24,54,False
2018-07-01,49,False
2018-07-08,47,False
2018-07-15,45,False
2018-07-22,46,False
2018-07-29,53,False
2018-08-05,57,False
2018-08-12,61,False
2018-08-19,60,False
2018-08-26,59,False
2018-09-02,55,False
2018-09-09,60,False
2018-09-16,60,False
2018-09-23,62,False
2018-09-30,57,False
2018-10-07,54,False
2018-10-14,60,False
2018-10-21,59,False
2018-10-28,58,False
2018-11-04,58,False
2018-11-11,52,False
2018-11-18,65,False
2018-11-25,58,False
2018-12-02,60,False
2018-12-09,47,False
2018-12-16,42,False
2018-12-23,39,False
2018-12-30,38,False
2019-01-06,44,False
2019-01-13,41,False
2019-01-20,44,False
2019-01-27,40,False
2019-02-03,45,False
2019-02-10,49,False
2019-02-17,50,False
2019-02-24,50,False
2019-03-03,45,False
2019-03-10,59,False
2019-03-17,62,False
2019-03-24,75,False
2019-03-31,63,False
2019-04-07,59,False
2019-04-14,60,False
2019-04-21,63,False
2019-04-28,57,False
2019-05-05,60,False
2019-05-12,57,False
2019-05-19,57,False
2019-05-26,63,False
2019-06-02,66,False
2019-06-09,58,False
2019-06-16,58,False
2019-06-23,58,False
2019-06-30,56,False
2019-07-07,48,False
2019-07-14,45,False
2019-07-21,46,False
2019-07-28,50,False
2019-08-04,54,False
2019-08-11,66,False
2019-08-18,58,False
2019-08-25,56,False
2019-09-01,60,False
2019-09-08,62,False
2019-09-15,64,False
2019-09-22,63,False
2019-09-29,62,False
2019-10-06,54,False
2019-10-13,59,False
2019-10-20,61,False
2019-10-27,60,False
2019-11-03,59,False
2019-11-10,58,False
2019-11-17,63,False
2019-11-24,59,False
2019-12-01,60,False
2019-12-08,55,False
2019-12-15,47,False
2019-12-22,38,False
2019-12-29,40,False
2020-01-05,44,False
2020-01-12,43,False
2020-01-19,46,False
2020-01-26,45,False
2020-02-02,45,False
2020-02-09,44,False
2020-02-16,50,False
2020-02-23,47,False
2020-03-01,58,False
2020-03-08,61,False
