date,MLM,isPartial
2016-08-21,56,False
2016-08-28,51,False
2016-09-04,59,False
2016-09-11,56,False
2016-09-18,56,False
2016-09-25,61,False
2016-10-02,53,False
2016-10-09,56,False
2016-10-16,60,False
2016-10-23,58,False
2016-10-30,59,False
2016-11-06,62,False
2016-11-13,59,False
2016-11-20,55,False
2016-11-27,60,False
2016-12-04,55,False
2016-12-11,57,False
2016-12-18,54,False
2016-12-25,60,False
2017-01-01,56,False
2017-01-08,59,False
2017-01-15,60,False
2017-01-22,61,False
2017-01-29,54,False
2017-02-05,54,False
2017-02-12,63,False
2017-02-19,55,False
2017-02-26,61,False
2017-03-05,61,False
2017-03-12,61,False
2017-03-19,56,False
2017-03-26,58,False
2017-04-02,59,False
2017-04-09,63,False
2017-04-16,61,False
2017-04-23,59,False
2017-04-30,73,False
2017-05-07,64,False
2017-05-14,59,False
2017-05-21,52,False
2017-05-28,50,False
2017-06-04,51,False
2017-06-11,53,False
2017-06-18,52,False
2017-06-25,47,False
2017-07-02,50,False
2017-07-09,53,False
2017-07-16,55,False
2017-07-23,51,False
2017-07-30,53,False
2017-08-06,59,False
2017-08-13,57,False
2017-08-20,54,False
2017-08-27,56,False
2017-09-03,54,False
2017-09-10,55,False
2017-09-17,57,False
2017-09-24,55,False
2017-10-01,54,False
2017-10-08,53,False
2017-10-15,53,False
2017-10-22,56,False
2017-10-29,58,False
2017-11-05,56,False
2017-11-12,52,False
2017-11-19,52,False
2017-11-26,56,False
2017-12-03,55,False
2017-12-10,58,False
2017-12-17,57,False
2017-12-24,57,False
2017-12-31,58,False
2018-01-07,55,False
2018-01-14,53,False
2018-01-21,54,False
2018-01-28,52,False
2018-02-04,57,False
2018-02-11,55,False
2018-02-18,61,False
2018-02-25,51,False
2018-03-04,60,False
2018-03-11,57,False
2018-03-18,59,False
2018-03-25,64,False
2018-04-01,57,False
2018-04-08,61,False
2018-04-15,57,False
2018-04-22,60,False
2018-04-29,61,False
2018-05-06,55,False
2018-05-13,51,False
2018-05-20,50,False
2018-05-27,49,False
2018-06-03,55,False
2018-06-10,53,False
2018-06-17,67,False
2018-06-24,74,False
2018-07-01,67,False
2018-07-08,64,False
2018-07-15,58,False
2018-07-22,56,False
2018-07-29,57,False
2018-08-05,60,False
2018-08-12,63,False
2018-08-19,55,False
2018-08-26,59,False
2018-09-02,56,False
2018-09-09,55,False
2018-09-16,63,False
2018-09-23,59,False
2018-09-30,54,False
2018-10-07,59,False
2018-10-14,61,False
2018-10-21,64,False
2018-10-28,62,False
2018-11-04,61,False
2018-11-11,63,False
2018-11-18,56,False
2018-11-25,56,False
2018-12-02,58,False
2018-12-09,58,False
2018-12-16,59,False
2018-12-23,66,False
2018-12-30,67,False
2019-01-06,62,False
2019-01-13,68,False
2019-01-20,62,False
2019-01-27,64,False
2019-02-03,66,False
2019-02-10,62,False
2019-02-17,65,False
2019-02-24,57,False
2019-03-03,65,False
2019-03-10,59,False
2019-03-17,59,False
2019-03-24,56,False
2019-03-31,61,False
2019-04-07,59,False
2019-04-14,59,False
2019-04-21,57,False
2019-04-28,56,False
2019-05-05,60,False
