date,CHD,isPartial
2016-08-21,81,False
2016-08-28,83,False
2016-09-04,72,False
2016-09-11,67,False
2016-09-18,69,False
2016-09-25,66,False
2016-10-02,67,False
2016-10-09,60,False
2016-10-16,75,False
2016-10-23,73,False
2016-10-30,77,False
2016-11-06,74,False
2016-11-13,87,False
2016-11-20,80,False
2016-11-27,86,False
2016-12-04,80,False
2016-12-11,74,False
2016-12-18,79,False
2016-12-25,76,False
2017-01-01,61,False
2017-01-08,71,False
2017-01-15,67,False
2017-01-22,75,False
2017-01-29,89,False
2017-02-05,82,False
2017-02-12,78,False
2017-02-19,71,False
2017-02-26,72,False
2017-03-05,77,False
2017-03-12,74,False
2017-03-19,78,False
2017-03-26,77,False
2017-04-02,88,False
2017-04-09,79,False
2017-04-16,82,False
2017-04-23,89,False
2017-04-30,95,False
2017-05-07,80,False
2017-05-14,85,False
2017-05-21,87,False
2017-05-28,100,False
2017-06-04,89,False
2017-06-11,82,False
2017-06-18,90,False
2017-06-25,87,False
2017-07-02,92,False
2017-07-09,99,False
2017-07-16,98,False
2017-07-23,90,False
2017-07-30,78,False
2017-08-06,91,False
2017-08-13,81,False
2017-08-20,79,False
2017-08-27,72,False
2017-09-03,73,False
2017-09-10,69,False
2017-09-17,74,False
2017-09-24,65,False
2017-10-01,64,False
2017-10-08,69,False
2017-10-15,65,False
2017-10-22,65,False
2017-10-29,68,False
2017-11-05,76,False
2017-11-12,79,False
2017-11-19,71,False
2017-11-26,67,False
2017-12-03,76,False
2017-12-10,68,False
2017-12-17,73,False
2017-12-24,66,False
2017-12-31,64,False
2018-01-07,66,False
2018-01-14,68,False
2018-01-21,73,False
2018-01-28,75,False
2018-02-04,84,False
2018-02-11,78,False
2018-02-18,80,False
2018-02-25,76,False
2018-03-04,79,False
2018-03-11,71,False
2018-03-18,75,False
2018-03-25,77,False
2018-04-01,82,False
2018-04-08,81,False
2018-04-15,84,False
2018-04-22,74,False
2018-04-29,88,False
2018-05-06,81,False
2018-05-13,72,False
2018-05-20,78,False
2018-05-27,79,False
2018-06-03,83,False
2018-06-10,77,False
2018-06-17,69,False
2018-06-24,83,False
2018-07-01,86,False
2018-07-08,90,False
