date,TEL,isPartial
2016-08-21,80,False
2016-08-28,79,False
2016-09-04,83,False
2016-09-11,74,False
2016-09-18,79,False
2016-09-25,78,False
2016-10-02,74,False
2016-10-09,74,False
2016-10-16,78,False
2016-10-23,78,False
2016-10-30,75,False
2016-11-06,77,False
2016-11-13,78,False
2016-11-20,78,False
2016-11-27,77,False
2016-12-04,78,False
2016-12-11,79,False
2016-12-18,80,False
2016-12-25,77,False
2017-01-01,76,False
2017-01-08,78,False
2017-01-15,75,False
2017-01-22,78,False
2017-01-29,76,False
2017-02-05,75,False
2017-02-12,74,False
2017-02-19,76,False
2017-02-26,74,False
2017-03-05,77,False
2017-03-12,77,False
2017-03-19,76,False
2017-03-26,77,False
2017-04-02,74,False
2017-04-09,72,False
2017-04-16,72,False
2017-04-23,77,False
2017-04-30,73,False
2017-05-07,78,False
2017-05-14,77,False
2017-05-21,75,False
2017-05-28,77,False
2017-06-04,78,False
2017-06-11,79,False
2017-06-18,81,False
2017-06-25,79,False
2017-07-02,83,False
2017-07-09,83,False
2017-07-16,81,False
2017-07-23,78,False
2017-07-30,75,False
2017-08-06,77,False
2017-08-13,76,False
2017-08-20,75,False
2017-08-27,71,False
2017-09-03,78,False
2017-09-10,78,False
2017-09-17,75,False
2017-09-24,75,False
2017-10-01,75,False
2017-10-08,73,False
2017-10-15,78,False
2017-10-22,74,False
2017-10-29,75,False
2017-11-05,77,False
2017-11-12,75,False
2017-11-19,78,False
2017-11-26,73,False
2017-12-03,81,False
2017-12-10,79,False
2017-12-17,79,False
2017-12-24,75,False
2017-12-31,77,False
2018-01-07,76,False
2018-01-14,78,False
2018-01-21,74,False
2018-01-28,75,False
2018-02-04,77,False
2018-02-11,73,False
2018-02-18,74,False
2018-02-25,73,False
2018-03-04,80,False
2018-03-11,75,False
2018-03-18,78,False
2018-03-25,74,False
2018-04-01,75,False
2018-04-08,73,False
2018-04-15,75,False
2018-04-22,76,False
2018-04-29,73,False
2018-05-06,77,False
2018-05-13,77,False
2018-05-20,72,False
2018-05-27,74,False
2018-06-03,77,False
2018-06-10,75,False
2018-06-17,73,False
2018-06-24,74,False
2018-07-01,74,False
2018-07-08,78,False
2018-07-15,76,False
2018-07-22,76,False
2018-07-29,76,False
2018-08-05,79,False
2018-08-12,73,False
2018-08-19,65,False
2018-08-26,73,False
2018-09-02,73,False
2018-09-09,73,False
2018-09-16,80,False
2018-09-23,73,False
2018-09-30,71,False
2018-10-07,70,False
2018-10-14,73,False
