date,IPG,isPartial
2016-08-21,28,False
2016-08-28,28,False
2016-09-04,23,False
2016-09-11,32,False
2016-09-18,39,False
2016-09-25,26,False
2016-10-02,37,False
2016-10-09,35,False
2016-10-16,31,False
2016-10-23,37,False
2016-10-30,29,False
2016-11-06,33,False
2016-11-13,30,False
2016-11-20,34,False
2016-11-27,34,False
2016-12-04,32,False
2016-12-11,32,False
2016-12-18,32,False
2016-12-25,26,False
2017-01-01,29,False
2017-01-08,25,False
2017-01-15,32,False
2017-01-22,31,False
2017-01-29,33,False
2017-02-05,36,False
2017-02-12,30,False
2017-02-19,28,False
2017-02-26,33,False
2017-03-05,28,False
2017-03-12,49,False
2017-03-19,69,False
2017-03-26,40,False
2017-04-02,65,False
2017-04-09,34,False
2017-04-16,40,False
2017-04-23,32,False
2017-04-30,38,False
2017-05-07,39,False
2017-05-14,100,False
2017-05-21,45,False
2017-05-28,28,False
2017-06-04,32,False
2017-06-11,34,False
2017-06-18,36,False
2017-06-25,37,False
2017-07-02,41,False
2017-07-09,32,False
2017-07-16,35,False
2017-07-23,34,False
2017-07-30,32,False
2017-08-06,29,False
2017-08-13,28,False
2017-08-20,24,False
2017-08-27,25,False
2017-09-03,30,False
2017-09-10,30,False
2017-09-17,35,False
2017-09-24,32,False
2017-10-01,33,False
2017-10-08,32,False
2017-10-15,24,False
2017-10-22,30,False
2017-10-29,34,False
2017-11-05,34,False
2017-11-12,33,False
2017-11-19,27,False
2017-11-26,32,False
2017-12-03,33,False
2017-12-10,30,False
2017-12-17,29,False
2017-12-24,20,False
2017-12-31,23,False
2018-01-07,38,False
2018-01-14,28,False
2018-01-21,34,False
2018-01-28,35,False
2018-02-04,27,False
2018-02-11,34,False
2018-02-18,28,False
2018-02-25,31,False
2018-03-04,38,False
2018-03-11,43,False
2018-03-18,53,False
2018-03-25,49,False
2018-04-01,38,False
2018-04-08,59,False
2018-04-15,48,False
2018-04-22,41,False
2018-04-29,31,False
2018-05-06,49,False
2018-05-13,39,False
2018-05-20,35,False
2018-05-27,26,False
2018-06-03,36,False
2018-06-10,40,False
2018-06-17,40,False
2018-06-24,35,False
2018-07-01,38,False
2018-07-08,40,False
2018-07-15,37,False
2018-07-22,38,False
2018-07-29,35,False
2018-08-05,26,False
2018-08-12,41,False
2018-08-19,33,False
2018-08-26,31,False
2018-09-02,28,False
2018-09-09,37,False
2018-09-16,41,False
2018-09-23,38,False
2018-09-30,37,False
2018-10-07,34,False
2018-10-14,32,False
2018-10-21,33,False
2018-10-28,28,False
2018-11-04,28,False
2018-11-11,32,False
