date,MOS,isPartial
2021-04-11,48,False
2021-04-18,50,False
2021-04-25,50,False
2021-05-02,47,False
2021-05-09,48,False
2021-05-16,47,False
2021-05-23,49,False
2021-05-30,49,False
2021-06-06,47,False
2021-06-13,51,False
2021-06-20,50,False
2021-06-27,47,False
2021-07-04,53,False
2021-07-11,52,False
2021-07-18,48,False
2021-07-25,49,False
2021-08-01,50,False
2021-08-08,47,True
