date,ZTS,isPartial
2016-08-21,60,False
2016-08-28,73,False
2016-09-04,40,False
2016-09-11,47,False
2016-09-18,46,False
2016-09-25,71,False
2016-10-02,74,False
2016-10-09,82,False
2016-10-16,74,False
2016-10-23,74,False
2016-10-30,60,False
2016-11-06,58,False
2016-11-13,59,False
2016-11-20,51,False
2016-11-27,30,False
2016-12-04,72,False
2016-12-11,60,False
2016-12-18,47,False
2016-12-25,33,False
2017-01-01,79,False
2017-01-08,36,False
2017-01-15,52,False
2017-01-22,52,False
2017-01-29,52,False
2017-02-05,64,False
2017-02-12,63,False
2017-02-19,74,False
2017-02-26,44,False
2017-03-05,50,False
2017-03-12,91,False
2017-03-19,48,False
2017-03-26,93,False
2017-04-02,58,False
2017-04-09,59,False
2017-04-16,74,False
2017-04-23,92,False
2017-04-30,81,False
2017-05-07,45,False
2017-05-14,62,False
2017-05-21,70,False
2017-05-28,35,False
2017-06-04,78,False
2017-06-11,51,False
2017-06-18,50,False
2017-06-25,66,False
2017-07-02,53,False
2017-07-09,63,False
2017-07-16,38,False
2017-07-23,38,False
2017-07-30,54,False
2017-08-06,59,False
2017-08-13,61,False
2017-08-20,67,False
2017-08-27,57,False
2017-09-03,83,False
2017-09-10,52,False
2017-09-17,72,False
2017-09-24,49,False
2017-10-01,42,False
2017-10-08,52,False
2017-10-15,75,False
2017-10-22,77,False
2017-10-29,64,False
2017-11-05,60,False
2017-11-12,79,False
2017-11-19,60,False
2017-11-26,59,False
2017-12-03,47,False
2017-12-10,54,False
2017-12-17,68,False
2017-12-24,35,False
2017-12-31,62,False
2018-01-07,83,False
2018-01-14,61,False
2018-01-21,54,False
2018-01-28,58,False
2018-02-04,61,False
2018-02-11,64,False
2018-02-18,54,False
2018-02-25,59,False
2018-03-04,57,False
2018-03-11,63,False
2018-03-18,42,False
2018-03-25,81,False
2018-04-01,28,False
2018-04-08,69,False
2018-04-15,67,False
2018-04-22,42,False
2018-04-29,25,False
2018-05-06,49,False
2018-05-13,65,False
2018-05-20,40,False
2018-05-27,80,False
2018-06-03,86,False
2018-06-10,51,False
2018-06-17,40,False
2018-06-24,79,False
2018-07-01,52,False
2018-07-08,49,False
2018-07-15,37,False
2018-07-22,37,False
2018-07-29,61,False
2018-08-05,51,False
2018-08-12,43,False
2018-08-19,56,False
2018-08-26,69,False
2018-09-02,72,False
2018-09-09,50,False
2018-09-16,59,False
2018-09-23,53,False
2018-09-30,48,False
2018-10-07,66,False
2018-10-14,55,False
2018-10-21,71,False
2018-10-28,64,False
2018-11-04,50,False
2018-11-11,66,False
2018-11-18,48,False
2018-11-25,53,False
2018-12-02,63,False
2018-12-09,58,False
2018-12-16,37,False
2018-12-23,34,False
2018-12-30,58,False
2019-01-06,42,False
2019-01-13,53,False
2019-01-20,59,False
2019-01-27,52,False
2019-02-03,52,False
2019-02-10,60,False
2019-02-17,46,False
2019-02-24,52,False
2019-03-03,62,False
2019-03-10,50,False
2019-03-17,76,False
2019-03-24,65,False
2019-03-31,56,False
2019-04-07,59,False
2019-04-14,49,False
2019-04-21,73,False
2019-04-28,53,False
2019-05-05,86,False
2019-05-12,47,False
2019-05-19,50,False
