date,AME,isPartial
2016-08-21,54,False
2016-08-28,61,False
2016-09-04,60,False
2016-09-11,60,False
2016-09-18,59,False
2016-09-25,58,False
2016-10-02,56,False
2016-10-09,60,False
2016-10-16,60,False
2016-10-23,60,False
2016-10-30,64,False
2016-11-06,59,False
2016-11-13,63,False
2016-11-20,56,False
2016-11-27,61,False
2016-12-04,62,False
2016-12-11,62,False
2016-12-18,52,False
2016-12-25,53,False
2017-01-01,53,False
2017-01-08,58,False
2017-01-15,59,False
2017-01-22,59,False
2017-01-29,54,False
2017-02-05,57,False
2017-02-12,63,False
2017-02-19,63,False
2017-02-26,58,False
2017-03-05,60,False
2017-03-12,67,False
2017-03-19,61,False
2017-03-26,64,False
2017-04-02,61,False
2017-04-09,62,False
2017-04-16,66,False
2017-04-23,68,False
2017-04-30,66,False
2017-05-07,62,False
2017-05-14,55,False
2017-05-21,63,False
2017-05-28,61,False
2017-06-04,58,False
2017-06-11,61,False
2017-06-18,63,False
2017-06-25,63,False
2017-07-02,63,False
2017-07-09,61,False
2017-07-16,67,False
2017-07-23,57,False
2017-07-30,62,False
2017-08-06,66,False
2017-08-13,61,False
2017-08-20,59,False
2017-08-27,62,False
2017-09-03,57,False
2017-09-10,55,False
2017-09-17,59,False
2017-09-24,52,False
2017-10-01,61,False
2017-10-08,56,False
2017-10-15,56,False
2017-10-22,57,False
2017-10-29,56,False
2017-11-05,58,False
2017-11-12,52,False
2017-11-19,53,False
2017-11-26,53,False
2017-12-03,100,False
2017-12-10,86,False
2017-12-17,55,False
2017-12-24,53,False
2017-12-31,54,False
2018-01-07,55,False
2018-01-14,62,False
2018-01-21,61,False
2018-01-28,59,False
2018-02-04,61,False
2018-02-11,57,False
2018-02-18,62,False
2018-02-25,62,False
2018-03-04,59,False
2018-03-11,54,False
2018-03-18,56,False
2018-03-25,59,False
2018-04-01,55,False
2018-04-08,63,False
2018-04-15,55,False
2018-04-22,56,False
2018-04-29,56,False
2018-05-06,58,False
2018-05-13,57,False
2018-05-20,55,False
2018-05-27,56,False
2018-06-03,60,False
2018-06-10,58,False
2018-06-17,58,False
2018-06-24,55,False
2018-07-01,54,False
2018-07-08,55,False
2018-07-15,69,False
2018-07-22,59,False
2018-07-29,64,False
2018-08-05,56,False
2018-08-12,66,False
2018-08-19,61,False
2018-08-26,60,False
2018-09-02,52,False
2018-09-09,63,False
2018-09-16,61,False
2018-09-23,55,False
2018-09-30,61,False
2018-10-07,57,False
2018-10-14,56,False
2018-10-21,57,False
2018-10-28,58,False
2018-11-04,63,False
2018-11-11,55,False
2018-11-18,59,False
2018-11-25,59,False
2018-12-02,53,False
2018-12-09,61,False
2018-12-16,58,False
2018-12-23,55,False
2018-12-30,54,False
2019-01-06,58,False
2019-01-13,59,False
2019-01-20,58,False
2019-01-27,59,False
2019-02-03,57,False
2019-02-10,65,False
2019-02-17,61,False
2019-02-24,57,False
2019-03-03,54,False
2019-03-10,60,False
2019-03-17,61,False
2019-03-24,64,False
2019-03-31,62,False
2019-04-07,62,False
2019-04-14,69,False
2019-04-21,76,False
2019-04-28,63,False
2019-05-05,62,False
2019-05-12,62,False
2019-05-19,63,False
2019-05-26,64,False
2019-06-02,60,False
2019-06-09,59,False
2019-06-16,59,False
2019-06-23,60,False
2019-06-30,60,False
2019-07-07,61,False
2019-07-14,60,False
2019-07-21,59,False
2019-07-28,59,False
2019-08-04,58,False
2019-08-11,62,False
2019-08-18,63,False
2019-08-25,61,False
2019-09-01,59,False
2019-09-08,65,False
2019-09-15,58,False
2019-09-22,63,False
2019-09-29,61,False
2019-10-06,57,False
2019-10-13,59,False
2019-10-20,60,False
2019-10-27,61,False
2019-11-03,63,False
2019-11-10,62,False
2019-11-17,62,False
2019-11-24,82,False
2019-12-01,66,False
2019-12-08,63,False
2019-12-15,61,False
2019-12-22,62,False
2019-12-29,60,False
2020-01-05,66,False
2020-01-12,63,False
2020-01-19,60,False
2020-01-26,62,False
2020-02-02,67,False
2020-02-09,62,False
2020-02-16,69,False
2020-02-23,64,False
2020-03-01,64,False
2020-03-08,60,False
