date,ED,isPartial
2016-08-21,35,False
2016-08-28,36,False
2016-09-04,37,False
2016-09-11,37,False
2016-09-18,37,False
2016-09-25,38,False
2016-10-02,36,False
2016-10-09,36,False
2016-10-16,38,False
2016-10-23,38,False
2016-10-30,37,False
2016-11-06,35,False
2016-11-13,37,False
2016-11-20,34,False
2016-11-27,38,False
2016-12-04,35,False
2016-12-11,36,False
2016-12-18,33,False
2016-12-25,30,False
2017-01-01,50,False
2017-01-08,53,False
2017-01-15,50,False
2017-01-22,68,False
2017-01-29,81,False
2017-02-05,58,False
2017-02-12,67,False
2017-02-19,66,False
2017-02-26,81,False
2017-03-05,100,False
2017-03-12,89,False
2017-03-19,78,False
2017-03-26,68,False
2017-04-02,63,False
2017-04-09,61,False
2017-04-16,60,False
2017-04-23,59,False
2017-04-30,59,False
2017-05-07,62,False
2017-05-14,60,False
2017-05-21,60,False
2017-05-28,53,False
2017-06-04,56,False
2017-06-11,52,False
2017-06-18,50,False
2017-06-25,63,False
2017-07-02,71,False
2017-07-09,57,False
2017-07-16,76,False
2017-07-23,53,False
2017-07-30,48,False
2017-08-06,47,False
2017-08-13,46,False
2017-08-20,45,False
2017-08-27,51,False
2017-09-03,46,False
2017-09-10,47,False
2017-09-17,48,False
2017-09-24,48,False
2017-10-01,48,False
2017-10-08,51,False
2017-10-15,58,False
2017-10-22,55,False
2017-10-29,53,False
2017-11-05,68,False
2017-11-12,61,False
2017-11-19,58,False
2017-11-26,62,False
2017-12-03,66,False
2017-12-10,73,False
2017-12-17,68,False
2017-12-24,64,False
2017-12-31,62,False
2018-01-07,65,False
2018-01-14,66,False
2018-01-21,72,False
2018-01-28,63,False
2018-02-04,56,False
2018-02-11,56,False
2018-02-18,58,False
2018-02-25,56,False
2018-03-04,58,False
2018-03-11,56,False
2018-03-18,53,False
2018-03-25,50,False
2018-04-01,48,False
2018-04-08,50,False
2018-04-15,49,False
2018-04-22,50,False
2018-04-29,51,False
2018-05-06,50,False
2018-05-13,51,False
2018-05-20,53,False
2018-05-27,48,False
2018-06-03,47,False
2018-06-10,47,False
2018-06-17,45,False
2018-06-24,48,False
2018-07-01,46,False
2018-07-08,45,False
2018-07-15,46,False
2018-07-22,47,False
2018-07-29,45,False
2018-08-05,45,False
2018-08-12,43,False
2018-08-19,47,False
2018-08-26,48,False
2018-09-02,59,False
2018-09-09,49,False
2018-09-16,52,False
2018-09-23,58,False
2018-09-30,46,False
2018-10-07,43,False
2018-10-14,43,False
2018-10-21,45,False
2018-10-28,44,False
2018-11-04,45,False
2018-11-11,43,False
2018-11-18,37,False
2018-11-25,40,False
2018-12-02,41,False
2018-12-09,39,False
2018-12-16,38,False
2018-12-23,37,False
2018-12-30,39,False
2019-01-06,42,False
2019-01-13,42,False
2019-01-20,40,False
2019-01-27,42,False
2019-02-03,43,False
