date,D,isPartial
2016-08-21,81,False
2016-08-28,84,False
2016-09-04,86,False
2016-09-11,86,False
2016-09-18,88,False
2016-09-25,82,False
2016-10-02,87,False
2016-10-09,87,False
2016-10-16,88,False
2016-10-23,86,False
2016-10-30,88,False
2016-11-06,84,False
2016-11-13,85,False
2016-11-20,83,False
2016-11-27,84,False
2016-12-04,85,False
2016-12-11,86,False
2016-12-18,81,False
2016-12-25,81,False
2017-01-01,82,False
2017-01-08,87,False
2017-01-15,87,False
2017-01-22,89,False
2017-01-29,84,False
2017-02-05,85,False
2017-02-12,87,False
2017-02-19,87,False
2017-02-26,83,False
2017-03-05,88,False
2017-03-12,86,False
2017-03-19,88,False
2017-03-26,86,False
2017-04-02,85,False
2017-04-09,82,False
2017-04-16,86,False
2017-04-23,84,False
2017-04-30,86,False
2017-05-07,87,False
2017-05-14,86,False
2017-05-21,85,False
2017-05-28,86,False
2017-06-04,83,False
2017-06-11,81,False
2017-06-18,85,False
2017-06-25,84,False
2017-07-02,82,False
2017-07-09,82,False
2017-07-16,82,False
2017-07-23,81,False
2017-07-30,79,False
2017-08-06,80,False
2017-08-13,83,False
2017-08-20,77,False
2017-08-27,80,False
2017-09-03,78,False
2017-09-10,82,False
2017-09-17,82,False
2017-09-24,80,False
2017-10-01,84,False
2017-10-08,81,False
2017-10-15,83,False
2017-10-22,85,False
2017-10-29,81,False
2017-11-05,85,False
2017-11-12,85,False
2017-11-19,83,False
2017-11-26,81,False
2017-12-03,89,False
2017-12-10,82,False
2017-12-17,80,False
2017-12-24,81,False
2017-12-31,81,False
2018-01-07,83,False
2018-01-14,84,False
2018-01-21,82,False
2018-01-28,83,False
2018-02-04,87,False
2018-02-11,86,False
2018-02-18,90,False
2018-02-25,85,False
2018-03-04,90,False
2018-03-11,87,False
2018-03-18,92,False
2018-03-25,91,False
2018-04-01,86,False
2018-04-08,87,False
2018-04-15,82,False
2018-04-22,86,False
2018-04-29,88,False
2018-05-06,89,False
2018-05-13,89,False
2018-05-20,89,False
2018-05-27,87,False
2018-06-03,89,False
2018-06-10,83,False
2018-06-17,85,False
2018-06-24,85,False
2018-07-01,81,False
2018-07-08,88,False
2018-07-15,87,False
2018-07-22,83,False
2018-07-29,85,False
2018-08-05,86,False
2018-08-12,83,False
2018-08-19,84,False
2018-08-26,85,False
2018-09-02,86,False
2018-09-09,100,False
2018-09-16,95,False
2018-09-23,91,False
2018-09-30,90,False
2018-10-07,84,False
2018-10-14,87,False
2018-10-21,84,False
2018-10-28,87,False
2018-11-04,82,False
2018-11-11,87,False
2018-11-18,82,False
2018-11-25,83,False
2018-12-02,85,False
2018-12-09,83,False
2018-12-16,80,False
2018-12-23,78,False
2018-12-30,81,False
2019-01-06,88,False
2019-01-13,86,False
2019-01-20,86,False
2019-01-27,82,False
2019-02-03,84,False
2019-02-10,85,False
2019-02-17,90,False
2019-02-24,88,False
2019-03-03,93,False
2019-03-10,82,False
2019-03-17,82,False
2019-03-24,84,False
2019-03-31,84,False
2019-04-07,83,False
2019-04-14,83,False
2019-04-21,77,False
2019-04-28,80,False
2019-05-05,78,False
2019-05-12,81,False
2019-05-19,80,False
2019-05-26,79,False
2019-06-02,90,False
2019-06-09,77,False
2019-06-16,78,False
2019-06-23,76,False
2019-06-30,78,False
2019-07-07,77,False
2019-07-14,80,False
2019-07-21,77,False
2019-07-28,77,False
2019-08-04,72,False
2019-08-11,74,False
2019-08-18,75,False
2019-08-25,75,False
2019-09-01,77,False
2019-09-08,79,False
2019-09-15,78,False
2019-09-22,77,False
2019-09-29,79,False
2019-10-06,75,False
2019-10-13,75,False
2019-10-20,77,False
2019-10-27,78,False
2019-11-03,77,False
2019-11-10,77,False
2019-11-17,78,False
2019-11-24,72,False
2019-12-01,81,False
2019-12-08,77,False
2019-12-15,75,False
2019-12-22,72,False
2019-12-29,73,False
2020-01-05,74,False
2020-01-12,76,False
2020-01-19,76,False
2020-01-26,75,False
2020-02-02,75,False
2020-02-09,77,False
2020-02-16,77,False
2020-02-23,76,False
2020-03-01,77,False
2020-03-08,74,False
2020-03-15,74,False
2020-03-22,78,False
2020-03-29,80,False
2020-04-05,80,False
2020-04-12,76,False
2020-04-19,73,False
2020-04-26,75,False
2020-05-03,76,False
2020-05-10,82,False
2020-05-17,77,False
2020-05-24,76,False
2020-05-31,77,False
2020-06-07,77,False
2020-06-14,76,False
2020-06-21,72,False
2020-06-28,74,False
2020-07-05,74,False
2020-07-12,75,False
2020-07-19,75,False
2020-07-26,74,False
2020-08-02,75,False
2020-08-09,77,False
2020-08-16,73,False
2020-08-23,78,False
2020-08-30,75,False
2020-09-06,76,False
2020-09-13,77,False
2020-09-20,80,False
2020-09-27,83,False
2020-10-04,80,False
2020-10-11,81,False
2020-10-18,80,False
2020-10-25,82,False
2020-11-01,77,False
2020-11-08,81,False
2020-11-15,82,False
2020-11-22,82,False
2020-11-29,83,False
2020-12-06,79,False
2020-12-13,79,False
2020-12-20,74,False
2020-12-27,73,False
2021-01-03,76,False
2021-01-10,78,False
2021-01-17,77,False
2021-01-24,79,False
2021-01-31,76,False
2021-02-07,76,False
2021-02-14,77,False
2021-02-21,77,False
2021-02-28,77,False
2021-03-07,76,False
2021-03-14,78,False
2021-03-21,77,False
2021-03-28,77,False
2021-04-04,77,False
2021-04-11,76,False
2021-04-18,77,False
2021-04-25,78,False
2021-05-02,78,False
2021-05-09,76,False
2021-05-16,77,False
2021-05-23,77,False
2021-05-30,77,False
2021-06-06,77,False
2021-06-13,77,False
2021-06-20,73,False
2021-06-27,72,False
2021-07-04,73,False
2021-07-11,76,False
2021-07-18,73,False
2021-07-25,73,False
2021-08-01,75,False
2021-08-08,75,True
