date,PNC,isPartial
2016-08-21,63,False
2016-08-28,64,False
2016-09-04,62,False
2016-09-11,60,False
2016-09-18,57,False
2016-09-25,60,False
2016-10-02,59,False
2016-10-09,58,False
2016-10-16,57,False
2016-10-23,52,False
2016-10-30,65,False
2016-11-06,56,False
2016-11-13,59,False
2016-11-20,52,False
2016-11-27,62,False
2016-12-04,60,False
2016-12-11,62,False
2016-12-18,64,False
2016-12-25,62,False
2017-01-01,61,False
2017-01-08,60,False
2017-01-15,59,False
2017-01-22,59,False
2017-01-29,65,False
2017-02-05,58,False
2017-02-12,60,False
2017-02-19,63,False
2017-02-26,65,False
2017-03-05,62,False
2017-03-12,62,False
2017-03-19,58,False
2017-03-26,60,False
2017-04-02,65,False
2017-04-09,62,False
2017-04-16,60,False
2017-04-23,60,False
2017-04-30,64,False
2017-05-07,60,False
2017-05-14,61,False
2017-05-21,63,False
2017-05-28,63,False
2017-06-04,66,False
2017-06-11,66,False
2017-06-18,69,False
2017-06-25,71,False
2017-07-02,68,False
2017-07-09,70,False
2017-07-16,70,False
2017-07-23,66,False
2017-07-30,72,False
2017-08-06,67,False
2017-08-13,67,False
2017-08-20,63,False
2017-08-27,65,False
2017-09-03,63,False
2017-09-10,61,False
2017-09-17,60,False
2017-09-24,63,False
2017-10-01,63,False
2017-10-08,63,False
2017-10-15,59,False
2017-10-22,58,False
2017-10-29,60,False
2017-11-05,61,False
2017-11-12,60,False
2017-11-19,55,False
2017-11-26,62,False
2017-12-03,63,False
2017-12-10,63,False
2017-12-17,66,False
2017-12-24,58,False
2017-12-31,65,False
2018-01-07,61,False
2018-01-14,59,False
2018-01-21,57,False
2018-01-28,65,False
2018-02-04,61,False
2018-02-11,62,False
2018-02-18,63,False
2018-02-25,62,False
2018-03-04,62,False
2018-03-11,59,False
2018-03-18,61,False
2018-03-25,62,False
2018-04-01,63,False
2018-04-08,62,False
2018-04-15,60,False
2018-04-22,60,False
2018-04-29,62,False
2018-05-06,60,False
2018-05-13,62,False
2018-05-20,60,False
2018-05-27,61,False
2018-06-03,64,False
2018-06-10,64,False
2018-06-17,63,False
2018-06-24,67,False
2018-07-01,67,False
2018-07-08,69,False
2018-07-15,71,False
2018-07-22,68,False
2018-07-29,73,False
2018-08-05,67,False
2018-08-12,67,False
2018-08-19,65,False
2018-08-26,68,False
2018-09-02,61,False
2018-09-09,59,False
2018-09-16,60,False
2018-09-23,61,False
2018-09-30,63,False
2018-10-07,65,False
2018-10-14,61,False
2018-10-21,55,False
2018-10-28,61,False
2018-11-04,59,False
2018-11-11,61,False
2018-11-18,54,False
2018-11-25,62,False
2018-12-02,65,False
2018-12-09,63,False
2018-12-16,71,False
2018-12-23,63,False
2018-12-30,69,False
2019-01-06,64,False
2019-01-13,61,False
2019-01-20,59,False
2019-01-27,64,False
2019-02-03,62,False
2019-02-10,62,False
2019-02-17,66,False
2019-02-24,70,False
2019-03-03,63,False
2019-03-10,61,False
2019-03-17,63,False
2019-03-24,63,False
2019-03-31,67,False
2019-04-07,64,False
2019-04-14,67,False
2019-04-21,61,False
2019-04-28,69,False
2019-05-05,62,False
2019-05-12,63,False
2019-05-19,60,False
2019-05-26,66,False
2019-06-02,67,False
2019-06-09,64,False
2019-06-16,67,False
2019-06-23,66,False
2019-06-30,64,False
2019-07-07,70,False
2019-07-14,68,False
2019-07-21,69,False
2019-07-28,70,False
2019-08-04,67,False
