date,JCI,isPartial
2016-08-21,99,False
2016-08-28,78,False
2016-09-04,89,False
2016-09-11,92,False
2016-09-18,88,False
2016-09-25,83,False
2016-10-02,70,False
2016-10-09,77,False
2016-10-16,76,False
2016-10-23,78,False
2016-10-30,72,False
2016-11-06,68,False
2016-11-13,71,False
2016-11-20,75,False
2016-11-27,79,False
2016-12-04,72,False
2016-12-11,69,False
2016-12-18,73,False
2016-12-25,45,False
2017-01-01,67,False
2017-01-08,64,False
2017-01-15,86,False
2017-01-22,74,False
2017-01-29,72,False
2017-02-05,69,False
2017-02-12,88,False
2017-02-19,75,False
2017-02-26,75,False
2017-03-05,74,False
2017-03-12,79,False
2017-03-19,90,False
2017-03-26,77,False
2017-04-02,79,False
2017-04-09,73,False
2017-04-16,79,False
2017-04-23,85,False
2017-04-30,66,False
2017-05-07,88,False
2017-05-14,72,False
2017-05-21,71,False
2017-05-28,73,False
2017-06-04,68,False
2017-06-11,65,False
2017-06-18,83,False
2017-06-25,83,False
2017-07-02,52,False
2017-07-09,60,False
2017-07-16,67,False
2017-07-23,67,False
2017-07-30,64,False
2017-08-06,60,False
2017-08-13,64,False
2017-08-20,56,False
2017-08-27,69,False
2017-09-03,57,False
2017-09-10,78,False
2017-09-17,70,False
2017-09-24,64,False
2017-10-01,71,False
2017-10-08,66,False
2017-10-15,81,False
2017-10-22,71,False
2017-10-29,70,False
2017-11-05,92,False
2017-11-12,100,False
2017-11-19,77,False
2017-11-26,72,False
2017-12-03,69,False
2017-12-10,74,False
2017-12-17,64,False
2017-12-24,43,False
2017-12-31,52,False
2018-01-07,98,False
2018-01-14,85,False
2018-01-21,74,False
2018-01-28,85,False
2018-02-04,83,False
2018-02-11,70,False
2018-02-18,75,False
2018-02-25,73,False
2018-03-04,79,False
2018-03-11,82,False
2018-03-18,82,False
2018-03-25,70,False
2018-04-01,59,False
2018-04-08,90,False
2018-04-15,74,False
2018-04-22,86,False
2018-04-29,75,False
2018-05-06,69,False
2018-05-13,73,False
2018-05-20,72,False
2018-05-27,68,False
2018-06-03,68,False
2018-06-10,66,False
2018-06-17,87,False
2018-06-24,79,False
2018-07-01,61,False
2018-07-08,66,False
2018-07-15,63,False
2018-07-22,66,False
2018-07-29,73,False
2018-08-05,54,False
2018-08-12,68,False
2018-08-19,56,False
2018-08-26,80,False
2018-09-02,82,False
2018-09-09,87,False
2018-09-16,76,False
2018-09-23,70,False
2018-09-30,72,False
2018-10-07,67,False
2018-10-14,70,False
2018-10-21,88,False
2018-10-28,89,False
2018-11-04,85,False
2018-11-11,74,False
2018-11-18,55,False
2018-11-25,69,False
2018-12-02,74,False
2018-12-09,68,False
2018-12-16,65,False
2018-12-23,61,False
2018-12-30,71,False
2019-01-06,90,False
2019-01-13,68,False
2019-01-20,64,False
2019-01-27,98,False
2019-02-03,70,False
2019-02-10,78,False
2019-02-17,95,False
2019-02-24,70,False
2019-03-03,64,False
2019-03-10,79,False
