date,WRK,isPartial
2016-08-21,82,False
2016-08-28,55,False
2016-09-04,68,False
2016-09-11,60,False
2016-09-18,73,False
2016-09-25,36,False
2016-10-02,88,False
2016-10-09,77,False
2016-10-16,45,False
2016-10-23,94,False
2016-10-30,51,False
2016-11-06,66,False
2016-11-13,72,False
2016-11-20,61,False
2016-11-27,43,False
2016-12-04,61,False
2016-12-11,86,False
2016-12-18,66,False
2016-12-25,50,False
2017-01-01,57,False
2017-01-08,52,False
2017-01-15,74,False
2017-01-22,81,False
2017-01-29,58,False
2017-02-05,78,False
2017-02-12,98,False
2017-02-19,95,False
2017-02-26,84,False
2017-03-05,64,False
2017-03-12,58,False
2017-03-19,100,False
2017-03-26,92,False
2017-04-02,82,False
2017-04-09,84,False
2017-04-16,55,False
2017-04-23,71,False
2017-04-30,63,False
2017-05-07,66,False
2017-05-14,58,False
2017-05-21,72,False
2017-05-28,52,False
2017-06-04,31,False
2017-06-11,80,False
2017-06-18,67,False
2017-06-25,47,False
2017-07-02,68,False
2017-07-09,39,False
2017-07-16,79,False
2017-07-23,54,False
2017-07-30,67,False
2017-08-06,67,False
2017-08-13,45,False
2017-08-20,72,False
2017-08-27,75,False
2017-09-03,61,False
2017-09-10,70,False
2017-09-17,67,False
2017-09-24,70,False
2017-10-01,58,False
2017-10-08,56,False
2017-10-15,60,False
2017-10-22,62,False
2017-10-29,90,False
2017-11-05,63,False
2017-11-12,70,False
2017-11-19,59,False
2017-11-26,65,False
2017-12-03,67,False
2017-12-10,52,False
2017-12-17,68,False
2017-12-24,48,False
2017-12-31,63,False
2018-01-07,61,False
2018-01-14,74,False
2018-01-21,54,False
2018-01-28,74,False
2018-02-04,76,False
2018-02-11,62,False
2018-02-18,56,False
2018-02-25,62,False
2018-03-04,54,False
2018-03-11,53,False
2018-03-18,62,False
2018-03-25,64,False
2018-04-01,79,False
2018-04-08,58,False
2018-04-15,56,False
2018-04-22,57,False
2018-04-29,42,False
2018-05-06,81,False
2018-05-13,66,False
2018-05-20,76,False
2018-05-27,69,False
2018-06-03,64,False
2018-06-10,59,False
2018-06-17,60,False
2018-06-24,45,False
2018-07-01,67,False
2018-07-08,74,False
2018-07-15,60,False
2018-07-22,57,False
2018-07-29,66,False
2018-08-05,73,False
2018-08-12,55,False
2018-08-19,65,False
2018-08-26,56,False
2018-09-02,55,False
2018-09-09,53,False
2018-09-16,54,False
2018-09-23,73,False
2018-09-30,70,False
2018-10-07,75,False
2018-10-14,54,False
