date,RJF,isPartial
2016-08-21,66,False
2016-08-28,64,False
2016-09-04,56,False
2016-09-11,48,False
2016-09-18,78,False
2016-09-25,62,False
2016-10-02,30,False
2016-10-09,61,False
2016-10-16,84,False
2016-10-23,69,False
2016-10-30,31,False
2016-11-06,82,False
2016-11-13,23,False
2016-11-20,45,False
2016-11-27,15,False
2016-12-04,29,False
2016-12-11,67,False
2016-12-18,31,False
2016-12-25,79,False
2017-01-01,61,False
2017-01-08,79,False
2017-01-15,57,False
2017-01-22,100,False
2017-01-29,69,False
2017-02-05,28,False
2017-02-12,28,False
2017-02-19,50,False
2017-02-26,48,False
2017-03-05,34,False
2017-03-12,75,False
2017-03-19,42,False
2017-03-26,35,False
2017-04-02,21,False
2017-04-09,44,False
2017-04-16,42,False
2017-04-23,35,False
2017-04-30,36,False
2017-05-07,35,False
2017-05-14,52,False
2017-05-21,30,False
2017-05-28,53,False
2017-06-04,44,False
2017-06-11,30,False
2017-06-18,15,False
2017-06-25,31,False
2017-07-02,23,False
2017-07-09,38,False
2017-07-16,23,False
2017-07-23,45,False
2017-07-30,44,False
2017-08-06,58,False
2017-08-13,44,False
2017-08-20,80,False
2017-08-27,58,False
2017-09-03,22,False
2017-09-10,42,False
2017-09-17,36,False
2017-09-24,43,False
2017-10-01,43,False
2017-10-08,63,False
2017-10-15,43,False
2017-10-22,70,False
2017-10-29,21,False
2017-11-05,27,False
2017-11-12,0,False
2017-11-19,41,False
2017-11-26,27,False
2017-12-03,34,False
2017-12-10,14,False
2017-12-17,22,False
2017-12-24,15,False
2017-12-31,22,False
2018-01-07,27,False
2018-01-14,53,False
2018-01-21,59,False
2018-01-28,66,False
2018-02-04,40,False
2018-02-11,53,False
2018-02-18,46,False
2018-02-25,45,False
2018-03-04,46,False
2018-03-11,59,False
2018-03-18,33,False
2018-03-25,41,False
2018-04-01,54,False
2018-04-08,33,False
2018-04-15,20,False
2018-04-22,54,False
2018-04-29,33,False
2018-05-06,34,False
2018-05-13,54,False
2018-05-20,34,False
2018-05-27,27,False
2018-06-03,40,False
2018-06-10,52,False
2018-06-17,27,False
2018-06-24,27,False
2018-07-01,33,False
2018-07-08,26,False
2018-07-15,27,False
2018-07-22,47,False
2018-07-29,53,False
2018-08-05,33,False
2018-08-12,34,False
2018-08-19,47,False
2018-08-26,40,False
2018-09-02,53,False
2018-09-09,26,False
2018-09-16,19,False
2018-09-23,39,False
2018-09-30,26,False
2018-10-07,33,False
2018-10-14,46,False
2018-10-21,52,False
2018-10-28,39,False
2018-11-04,13,False
2018-11-11,59,False
2018-11-18,33,False
2018-11-25,39,False
2018-12-02,46,False
2018-12-09,13,False
2018-12-16,40,False
2018-12-23,22,False
2018-12-30,21,False
2019-01-06,59,False
2019-01-13,58,False
2019-01-20,51,False
2019-01-27,32,False
2019-02-03,25,False
2019-02-10,32,False
2019-02-17,25,False
2019-02-24,50,False
2019-03-03,45,False
2019-03-10,38,False
2019-03-17,26,False
2019-03-24,39,False
2019-03-31,45,False
2019-04-07,39,False
2019-04-14,20,False
2019-04-21,33,False
2019-04-28,20,False
2019-05-05,32,False
2019-05-12,26,False
2019-05-19,45,False
