date,BIO,isPartial
2016-08-21,73,False
2016-08-28,80,False
2016-09-04,80,False
2016-09-11,77,False
2016-09-18,81,False
2016-09-25,79,False
2016-10-02,79,False
2016-10-09,81,False
2016-10-16,82,False
2016-10-23,82,False
2016-10-30,86,False
2016-11-06,80,False
2016-11-13,82,False
2016-11-20,75,False
2016-11-27,76,False
2016-12-04,74,False
2016-12-11,78,False
2016-12-18,72,False
2016-12-25,76,False
2017-01-01,83,False
2017-01-08,82,False
2017-01-15,82,False
2017-01-22,90,False
2017-01-29,89,False
2017-02-05,86,False
2017-02-12,85,False
2017-02-19,86,False
2017-02-26,87,False
2017-03-05,85,False
2017-03-12,86,False
2017-03-19,85,False
2017-03-26,82,False
2017-04-02,81,False
2017-04-09,82,False
2017-04-16,83,False
2017-04-23,85,False
2017-04-30,84,False
2017-05-07,84,False
2017-05-14,77,False
2017-05-21,78,False
2017-05-28,79,False
2017-06-04,79,False
2017-06-11,78,False
2017-06-18,76,False
2017-06-25,78,False
2017-07-02,76,False
2017-07-09,78,False
2017-07-16,79,False
2017-07-23,78,False
2017-07-30,80,False
2017-08-06,77,False
2017-08-13,75,False
2017-08-20,77,False
2017-08-27,77,False
2017-09-03,81,False
2017-09-10,83,False
2017-09-17,84,False
2017-09-24,82,False
2017-10-01,81,False
2017-10-08,84,False
2017-10-15,83,False
2017-10-22,82,False
2017-10-29,85,False
2017-11-05,84,False
2017-11-12,82,False
2017-11-19,80,False
2017-11-26,82,False
2017-12-03,81,False
2017-12-10,83,False
2017-12-17,79,False
2017-12-24,82,False
2017-12-31,86,False
2018-01-07,89,False
2018-01-14,86,False
2018-01-21,87,False
2018-01-28,91,False
2018-02-04,90,False
2018-02-11,90,False
2018-02-18,90,False
2018-02-25,88,False
2018-03-04,89,False
2018-03-11,87,False
2018-03-18,88,False
2018-03-25,88,False
2018-04-01,86,False
2018-04-08,87,False
2018-04-15,84,False
2018-04-22,87,False
2018-04-29,85,False
2018-05-06,83,False
2018-05-13,83,False
2018-05-20,79,False
2018-05-27,83,False
2018-06-03,82,False
2018-06-10,78,False
2018-06-17,78,False
2018-06-24,76,False
2018-07-01,75,False
2018-07-08,81,False
2018-07-15,81,False
2018-07-22,79,False
2018-07-29,83,False
2018-08-05,82,False
2018-08-12,81,False
2018-08-19,86,False
2018-08-26,83,False
2018-09-02,84,False
2018-09-09,87,False
2018-09-16,83,False
2018-09-23,87,False
2018-09-30,85,False
2018-10-07,84,False
2018-10-14,84,False
2018-10-21,85,False
2018-10-28,88,False
2018-11-04,88,False
2018-11-11,87,False
2018-11-18,82,False
2018-11-25,82,False
2018-12-02,85,False
2018-12-09,82,False
2018-12-16,84,False
2018-12-23,84,False
2018-12-30,88,False
2019-01-06,88,False
2019-01-13,88,False
2019-01-20,90,False
2019-01-27,89,False
2019-02-03,95,False
2019-02-10,92,False
2019-02-17,91,False
2019-02-24,91,False
2019-03-03,89,False
2019-03-10,88,False
2019-03-17,90,False
2019-03-24,88,False
2019-03-31,89,False
2019-04-07,90,False
2019-04-14,84,False
2019-04-21,87,False
2019-04-28,90,False
2019-05-05,90,False
2019-05-12,88,False
