date,PAYC,isPartial
2016-08-21,48,False
2016-08-28,31,False
2016-09-04,23,False
2016-09-11,23,False
2016-09-18,53,False
2016-09-25,15,False
2016-10-02,15,False
2016-10-09,15,False
2016-10-16,15,False
2016-10-23,15,False
2016-10-30,38,False
2016-11-06,36,False
2016-11-13,15,False
2016-11-20,22,False
2016-11-27,35,False
2016-12-04,28,False
2016-12-11,22,False
2016-12-18,15,False
2016-12-25,8,False
2017-01-01,22,False
2017-01-08,21,False
2017-01-15,0,False
2017-01-22,28,False
2017-01-29,13,False
2017-02-05,61,False
2017-02-12,27,False
2017-02-19,21,False
2017-02-26,13,False
2017-03-05,39,False
2017-03-12,40,False
2017-03-19,34,False
2017-03-26,27,False
2017-04-02,14,False
2017-04-09,7,False
2017-04-16,41,False
2017-04-23,20,False
2017-04-30,34,False
2017-05-07,27,False
2017-05-14,71,False
2017-05-21,29,False
2017-05-28,22,False
2017-06-04,21,False
2017-06-11,29,False
2017-06-18,35,False
2017-06-25,52,False
2017-07-02,45,False
2017-07-09,29,False
2017-07-16,52,False
2017-07-23,22,False
2017-07-30,64,False
2017-08-06,21,False
2017-08-13,28,False
2017-08-20,21,False
2017-08-27,7,False
2017-09-03,7,False
2017-09-10,7,False
2017-09-17,27,False
2017-09-24,34,False
2017-10-01,48,False
2017-10-08,74,False
2017-10-15,14,False
2017-10-22,27,False
2017-10-29,75,False
2017-11-05,33,False
2017-11-12,20,False
2017-11-19,27,False
2017-11-26,39,False
2017-12-03,13,False
2017-12-10,20,False
2017-12-17,28,False
2017-12-24,30,False
2017-12-31,42,False
2018-01-07,52,False
2018-01-14,26,False
2018-01-21,64,False
2018-01-28,38,False
2018-02-04,19,False
2018-02-11,45,False
2018-02-18,58,False
2018-02-25,50,False
2018-03-04,57,False
2018-03-11,31,False
2018-03-18,57,False
2018-03-25,40,False
2018-04-01,19,False
2018-04-08,51,False
2018-04-15,52,False
2018-04-22,20,False
2018-04-29,45,False
2018-05-06,39,False
2018-05-13,45,False
2018-05-20,33,False
2018-05-27,7,False
2018-06-03,65,False
2018-06-10,44,False
2018-06-17,45,False
2018-06-24,58,False
2018-07-01,45,False
2018-07-08,38,False
2018-07-15,33,False
2018-07-22,26,False
2018-07-29,45,False
2018-08-05,57,False
2018-08-12,39,False
2018-08-19,46,False
2018-08-26,52,False
2018-09-02,32,False
2018-09-09,88,False
2018-09-16,31,False
2018-09-23,50,False
2018-09-30,44,False
2018-10-07,76,False
2018-10-14,64,False
2018-10-21,38,False
2018-10-28,19,False
2018-11-04,25,False
2018-11-11,13,False
2018-11-18,25,False
2018-11-25,31,False
2018-12-02,32,False
2018-12-09,45,False
2018-12-16,32,False
2018-12-23,14,False
2018-12-30,7,False
2019-01-06,19,False
2019-01-13,25,False
2019-01-20,6,False
2019-01-27,43,False
2019-02-03,92,False
2019-02-10,37,False
2019-02-17,86,False
2019-02-24,30,False
2019-03-03,50,False
2019-03-10,31,False
2019-03-17,44,False
2019-03-24,62,False
2019-03-31,50,False
2019-04-07,50,False
2019-04-14,39,False
2019-04-21,64,False
2019-04-28,57,False
2019-05-05,62,False
2019-05-12,56,False
2019-05-19,37,False
2019-05-26,25,False
2019-06-02,43,False
2019-06-09,24,False
2019-06-16,56,False
2019-06-23,37,False
2019-06-30,31,False
2019-07-07,43,False
2019-07-14,44,False
2019-07-21,45,False
2019-07-28,70,False
2019-08-04,44,False
2019-08-11,31,False
2019-08-18,55,False
2019-08-25,49,False
2019-09-01,18,False
2019-09-08,71,False
2019-09-15,47,False
2019-09-22,35,False
2019-09-29,53,False
2019-10-06,41,False
2019-10-13,52,False
2019-10-20,23,False
2019-10-27,41,False
2019-11-03,40,False
2019-11-10,23,False
2019-11-17,58,False
2019-11-24,17,False
2019-12-01,29,False
2019-12-08,41,False
2019-12-15,29,False
2019-12-22,38,False
2019-12-29,49,False
2020-01-05,17,False
2020-01-12,76,False
2020-01-19,95,False
2020-01-26,50,False
2020-02-02,100,False
2020-02-09,76,False
2020-02-16,55,False
2020-02-23,75,False
2020-03-01,58,False
2020-03-08,68,False
2020-03-15,56,False
2020-03-22,65,False
2020-03-29,65,False
2020-04-05,41,False
2020-04-12,55,False
2020-04-19,74,False
2020-04-26,79,False
2020-05-03,45,False
2020-05-10,91,False
2020-05-17,91,False
2020-05-24,56,False
2020-05-31,35,False
2020-06-07,61,False
2020-06-14,26,False
2020-06-21,57,False
2020-06-28,53,False
2020-07-05,76,False
2020-07-12,82,False
2020-07-19,33,False
2020-07-26,62,False
2020-08-02,76,False
2020-08-09,38,False
2020-08-16,21,False
2020-08-23,27,False
2020-08-30,26,False
2020-09-06,31,False
2020-09-13,31,False
2020-09-20,21,False
2020-09-27,37,False
2020-10-04,32,False
2020-10-11,56,False
2020-10-18,50,False
2020-10-25,56,False
2020-11-01,63,False
2020-11-08,39,False
2020-11-15,33,False
2020-11-22,22,False
2020-11-29,5,False
2020-12-06,33,False
2020-12-13,22,False
2020-12-20,12,False
2020-12-27,41,False
2021-01-03,27,False
2021-01-10,22,False
2021-01-17,27,False
2021-01-24,22,False
2021-01-31,39,False
2021-02-07,33,False
2021-02-14,28,False
2021-02-21,27,False
2021-02-28,16,False
