date,GIS,isPartial
2016-08-21,60,False
2016-08-28,57,False
2016-09-04,56,False
2016-09-11,54,False
2016-09-18,59,False
2016-09-25,67,False
2016-10-02,60,False
2016-10-09,60,False
2016-10-16,77,False
2016-10-23,79,False
2016-10-30,76,False
2016-11-06,74,False
2016-11-13,94,False
2016-11-20,86,False
2016-11-27,69,False
2016-12-04,74,False
2016-12-11,70,False
2016-12-18,65,False
2016-12-25,55,False
2017-01-01,66,False
2017-01-08,63,False
2017-01-15,60,False
2017-01-22,60,False
2017-01-29,60,False
2017-02-05,67,False
2017-02-12,75,False
2017-02-19,76,False
2017-02-26,70,False
2017-03-05,71,False
2017-03-12,74,False
2017-03-19,70,False
2017-03-26,76,False
2017-04-02,74,False
2017-04-09,71,False
2017-04-16,81,False
2017-04-23,79,False
2017-04-30,75,False
2017-05-07,90,False
2017-05-14,81,False
2017-05-21,100,False
2017-05-28,84,False
2017-06-04,67,False
2017-06-11,67,False
2017-06-18,65,False
2017-06-25,58,False
2017-07-02,59,False
2017-07-09,64,False
2017-07-16,66,False
2017-07-23,53,False
2017-07-30,55,False
2017-08-06,56,False
2017-08-13,50,False
2017-08-20,54,False
2017-08-27,53,False
2017-09-03,53,False
2017-09-10,57,False
2017-09-17,54,False
2017-09-24,57,False
2017-10-01,54,False
2017-10-08,55,False
2017-10-15,56,False
2017-10-22,56,False
2017-10-29,63,False
2017-11-05,67,False
2017-11-12,76,False
2017-11-19,61,False
2017-11-26,57,False
2017-12-03,61,False
2017-12-10,55,False
2017-12-17,59,False
2017-12-24,48,False
2017-12-31,61,False
2018-01-07,67,False
2018-01-14,53,False
2018-01-21,57,False
2018-01-28,59,False
2018-02-04,62,False
2018-02-11,59,False
2018-02-18,59,False
2018-02-25,66,False
2018-03-04,66,False
2018-03-11,63,False
2018-03-18,73,False
2018-03-25,66,False
2018-04-01,70,False
2018-04-08,74,False
2018-04-15,69,False
2018-04-22,68,False
2018-04-29,66,False
2018-05-06,69,False
2018-05-13,81,False
2018-05-20,82,False
2018-05-27,75,False
2018-06-03,69,False
2018-06-10,60,False
2018-06-17,63,False
2018-06-24,72,False
2018-07-01,76,False
2018-07-08,73,False
2018-07-15,70,False
2018-07-22,67,False
2018-07-29,60,False
2018-08-05,58,False
2018-08-12,55,False
2018-08-19,53,False
2018-08-26,60,False
2018-09-02,55,False
2018-09-09,62,False
2018-09-16,67,False
2018-09-23,65,False
2018-09-30,64,False
2018-10-07,66,False
2018-10-14,64,False
2018-10-21,68,False
2018-10-28,63,False
2018-11-04,63,False
2018-11-11,67,False
2018-11-18,56,False
2018-11-25,60,False
2018-12-02,59,False
2018-12-09,59,False
2018-12-16,57,False
