date,L,isPartial
2016-08-21,88,False
2016-08-28,92,False
2016-09-04,96,False
2016-09-11,96,False
2016-09-18,93,False
2016-09-25,94,False
2016-10-02,90,False
2016-10-09,93,False
2016-10-16,91,False
2016-10-23,93,False
2016-10-30,94,False
2016-11-06,95,False
2016-11-13,93,False
2016-11-20,94,False
2016-11-27,94,False
2016-12-04,95,False
2016-12-11,95,False
2016-12-18,92,False
2016-12-25,88,False
2017-01-01,91,False
2017-01-08,95,False
2017-01-15,94,False
2017-01-22,98,False
2017-01-29,94,False
2017-02-05,94,False
2017-02-12,96,False
2017-02-19,97,False
2017-02-26,95,False
2017-03-05,98,False
2017-03-12,96,False
2017-03-19,95,False
2017-03-26,93,False
2017-04-02,94,False
2017-04-09,92,False
2017-04-16,97,False
2017-04-23,96,False
2017-04-30,97,False
2017-05-07,98,False
2017-05-14,94,False
2017-05-21,91,False
2017-05-28,93,False
2017-06-04,91,False
2017-06-11,91,False
2017-06-18,92,False
2017-06-25,90,False
2017-07-02,89,False
2017-07-09,90,False
2017-07-16,91,False
2017-07-23,88,False
2017-07-30,88,False
2017-08-06,86,False
2017-08-13,86,False
2017-08-20,87,False
2017-08-27,90,False
2017-09-03,93,False
2017-09-10,89,False
2017-09-17,92,False
2017-09-24,90,False
2017-10-01,90,False
2017-10-08,88,False
2017-10-15,89,False
2017-10-22,90,False
2017-10-29,91,False
2017-11-05,92,False
2017-11-12,90,False
2017-11-19,92,False
2017-11-26,92,False
2017-12-03,94,False
2017-12-10,93,False
2017-12-17,88,False
2017-12-24,87,False
2017-12-31,89,False
2018-01-07,91,False
2018-01-14,93,False
2018-01-21,93,False
2018-01-28,95,False
2018-02-04,97,False
2018-02-11,91,False
2018-02-18,98,False
2018-02-25,96,False
2018-03-04,95,False
2018-03-11,90,False
2018-03-18,92,False
2018-03-25,94,False
2018-04-01,94,False
2018-04-08,98,False
2018-04-15,96,False
2018-04-22,94,False
2018-04-29,93,False
2018-05-06,95,False
2018-05-13,96,False
2018-05-20,92,False
2018-05-27,94,False
2018-06-03,92,False
2018-06-10,94,False
2018-06-17,95,False
2018-06-24,91,False
2018-07-01,90,False
2018-07-08,87,False
2018-07-15,94,False
2018-07-22,90,False
2018-07-29,90,False
2018-08-05,91,False
2018-08-12,96,False
2018-08-19,93,False
2018-08-26,98,False
2018-09-02,92,False
2018-09-09,95,False
2018-09-16,94,False
2018-09-23,96,False
2018-09-30,93,False
2018-10-07,93,False
2018-10-14,94,False
2018-10-21,93,False
2018-10-28,95,False
2018-11-04,95,False
2018-11-11,94,False
2018-11-18,93,False
2018-11-25,93,False
2018-12-02,96,False
2018-12-09,94,False
2018-12-16,94,False
2018-12-23,87,False
2018-12-30,95,False
2019-01-06,93,False
2019-01-13,96,False
2019-01-20,97,False
2019-01-27,98,False
2019-02-03,98,False
2019-02-10,98,False
2019-02-17,94,False
2019-02-24,95,False
2019-03-03,96,False
2019-03-10,97,False
2019-03-17,94,False
2019-03-24,96,False
2019-03-31,95,False
2019-04-07,95,False
2019-04-14,92,False
2019-04-21,94,False
2019-04-28,97,False
2019-05-05,93,False
2019-05-12,95,False
2019-05-19,93,False
2019-05-26,95,False
2019-06-02,93,False
2019-06-09,91,False
2019-06-16,94,False
2019-06-23,91,False
2019-06-30,90,False
2019-07-07,89,False
2019-07-14,89,False
2019-07-21,90,False
2019-07-28,87,False
2019-08-04,86,False
2019-08-11,91,False
2019-08-18,89,False
2019-08-25,94,False
2019-09-01,94,False
2019-09-08,91,False
2019-09-15,92,False
2019-09-22,95,False
2019-09-29,96,False
2019-10-06,92,False
2019-10-13,91,False
2019-10-20,92,False
2019-10-27,91,False
2019-11-03,93,False
2019-11-10,96,False
2019-11-17,94,False
2019-11-24,92,False
2019-12-01,94,False
2019-12-08,95,False
2019-12-15,92,False
2019-12-22,89,False
2019-12-29,87,False
2020-01-05,93,False
2020-01-12,95,False
2020-01-19,95,False
2020-01-26,94,False
2020-02-02,94,False
2020-02-09,94,False
2020-02-16,96,False
2020-02-23,92,False
2020-03-01,94,False
2020-03-08,93,False
2020-03-15,92,False
2020-03-22,93,False
2020-03-29,96,False
2020-04-05,90,False
2020-04-12,95,False
2020-04-19,95,False
2020-04-26,94,False
2020-05-03,98,False
2020-05-10,97,False
2020-05-17,94,False
2020-05-24,95,False
2020-05-31,96,False
2020-06-07,96,False
2020-06-14,95,False
2020-06-21,90,False
2020-06-28,92,False
2020-07-05,92,False
2020-07-12,91,False
2020-07-19,90,False
2020-07-26,94,False
2020-08-02,92,False
2020-08-09,93,False
2020-08-16,93,False
2020-08-23,92,False
2020-08-30,95,False
2020-09-06,94,False
2020-09-13,98,False
2020-09-20,99,False
2020-09-27,98,False
2020-10-04,96,False
2020-10-11,100,False
2020-10-18,96,False
2020-10-25,96,False
2020-11-01,93,False
2020-11-08,99,False
2020-11-15,99,False
2020-11-22,99,False
2020-11-29,96,False
2020-12-06,95,False
2020-12-13,92,False
2020-12-20,90,False
2020-12-27,90,False
2021-01-03,89,False
2021-01-10,92,False
2021-01-17,95,False
2021-01-24,96,False
2021-01-31,95,False
2021-02-07,92,False
2021-02-14,98,False
2021-02-21,97,False
2021-02-28,94,False
2021-03-07,98,False
2021-03-14,100,False
2021-03-21,98,False
2021-03-28,97,False
2021-04-04,96,False
2021-04-11,97,False
2021-04-18,100,False
2021-04-25,100,False
2021-05-02,97,False
2021-05-09,97,False
2021-05-16,95,False
2021-05-23,97,False
2021-05-30,97,False
2021-06-06,96,False
2021-06-13,97,False
2021-06-20,95,False
2021-06-27,93,False
2021-07-04,97,False
2021-07-11,97,False
2021-07-18,91,False
2021-07-25,94,False
2021-08-01,95,False
2021-08-08,94,True
