date,HSY,isPartial
2016-08-21,50,False
2016-08-28,60,False
2016-09-04,43,False
2016-09-11,53,False
2016-09-18,36,False
2016-09-25,57,False
2016-10-02,60,False
2016-10-09,48,False
2016-10-16,45,False
2016-10-23,39,False
2016-10-30,54,False
2016-11-06,47,False
2016-11-13,48,False
2016-11-20,39,False
2016-11-27,54,False
2016-12-04,52,False
2016-12-11,39,False
2016-12-18,63,False
2016-12-25,34,False
2017-01-01,49,False
2017-01-08,49,False
2017-01-15,51,False
2017-01-22,63,False
2017-01-29,45,False
2017-02-05,46,False
2017-02-12,59,False
2017-02-19,60,False
2017-02-26,50,False
2017-03-05,57,False
2017-03-12,73,False
2017-03-19,68,False
2017-03-26,77,False
2017-04-02,92,False
2017-04-09,65,False
2017-04-16,76,False
2017-04-23,81,False
2017-04-30,84,False
2017-05-07,63,False
2017-05-14,80,False
2017-05-21,66,False
2017-05-28,79,False
2017-06-04,68,False
2017-06-11,67,False
2017-06-18,54,False
2017-06-25,63,False
2017-07-02,59,False
2017-07-09,54,False
2017-07-16,39,False
2017-07-23,71,False
2017-07-30,53,False
2017-08-06,48,False
2017-08-13,50,False
2017-08-20,69,False
2017-08-27,44,False
2017-09-03,58,False
2017-09-10,50,False
2017-09-17,47,False
2017-09-24,45,False
2017-10-01,58,False
2017-10-08,43,False
2017-10-15,47,False
2017-10-22,58,False
2017-10-29,46,False
2017-11-05,47,False
2017-11-12,38,False
2017-11-19,47,False
2017-11-26,49,False
2017-12-03,46,False
2017-12-10,37,False
2017-12-17,35,False
2017-12-24,72,False
2017-12-31,50,False
2018-01-07,50,False
2018-01-14,44,False
2018-01-21,51,False
2018-01-28,46,False
2018-02-04,63,False
2018-02-11,68,False
2018-02-18,43,False
2018-02-25,50,False
2018-03-04,40,False
2018-03-11,46,False
2018-03-18,57,False
2018-03-25,53,False
2018-04-01,59,False
2018-04-08,54,False
2018-04-15,51,False
2018-04-22,62,False
2018-04-29,72,False
2018-05-06,62,False
2018-05-13,57,False
2018-05-20,53,False
2018-05-27,52,False
2018-06-03,62,False
2018-06-10,46,False
2018-06-17,58,False
2018-06-24,60,False
2018-07-01,71,False
2018-07-08,47,False
2018-07-15,57,False
