date,EMN,isPartial
2016-08-21,75,False
2016-08-28,96,False
2016-09-04,86,False
2016-09-11,77,False
2016-09-18,82,False
2016-09-25,93,False
2016-10-02,78,False
2016-10-09,83,False
2016-10-16,79,False
2016-10-23,74,False
2016-10-30,62,False
2016-11-06,77,False
2016-11-13,67,False
2016-11-20,70,False
2016-11-27,74,False
2016-12-04,71,False
2016-12-11,85,False
2016-12-18,67,False
2016-12-25,53,False
2017-01-01,86,False
2017-01-08,57,False
2017-01-15,62,False
2017-01-22,96,False
2017-01-29,59,False
2017-02-05,77,False
2017-02-12,100,False
2017-02-19,66,False
2017-02-26,60,False
2017-03-05,77,False
2017-03-12,60,False
2017-03-19,53,False
2017-03-26,76,False
2017-04-02,51,False
2017-04-09,74,False
2017-04-16,58,False
2017-04-23,63,False
2017-04-30,77,False
2017-05-07,83,False
2017-05-14,56,False
2017-05-21,80,False
2017-05-28,60,False
2017-06-04,54,False
2017-06-11,77,False
2017-06-18,51,False
2017-06-25,65,False
2017-07-02,61,False
2017-07-09,64,False
2017-07-16,52,False
2017-07-23,55,False
2017-07-30,75,False
2017-08-06,61,False
2017-08-13,65,False
2017-08-20,72,False
2017-08-27,66,False
2017-09-03,55,False
2017-09-10,66,False
2017-09-17,58,False
2017-09-24,58,False
2017-10-01,62,False
2017-10-08,45,False
2017-10-15,73,False
2017-10-22,84,False
2017-10-29,68,False
2017-11-05,56,False
2017-11-12,52,False
2017-11-19,71,False
2017-11-26,54,False
2017-12-03,52,False
2017-12-10,77,False
2017-12-17,63,False
2017-12-24,64,False
2017-12-31,57,False
2018-01-07,63,False
2018-01-14,58,False
2018-01-21,52,False
2018-01-28,72,False
2018-02-04,92,False
2018-02-11,70,False
2018-02-18,56,False
2018-02-25,77,False
2018-03-04,57,False
2018-03-11,73,False
2018-03-18,68,False
2018-03-25,50,False
2018-04-01,63,False
2018-04-08,76,False
2018-04-15,72,False
2018-04-22,67,False
2018-04-29,88,False
2018-05-06,59,False
2018-05-13,95,False
2018-05-20,61,False
2018-05-27,57,False
2018-06-03,51,False
2018-06-10,59,False
2018-06-17,59,False
2018-06-24,62,False
2018-07-01,58,False
2018-07-08,40,False
2018-07-15,64,False
2018-07-22,53,False
2018-07-29,64,False
2018-08-05,54,False
2018-08-12,53,False
2018-08-19,75,False
2018-08-26,59,False
2018-09-02,62,False
2018-09-09,55,False
2018-09-16,72,False
2018-09-23,59,False
2018-09-30,38,False
2018-10-07,69,False
2018-10-14,54,False
2018-10-21,75,False
2018-10-28,63,False
2018-11-04,47,False
2018-11-11,50,False
2018-11-18,50,False
2018-11-25,70,False
2018-12-02,52,False
2018-12-09,58,False
2018-12-16,59,False
2018-12-23,28,False
2018-12-30,42,False
2019-01-06,63,False
2019-01-13,64,False
2019-01-20,56,False
2019-01-27,48,False
2019-02-03,63,False
2019-02-10,60,False
2019-02-17,60,False
2019-02-24,61,False
2019-03-03,51,False
2019-03-10,54,False
2019-03-17,44,False
2019-03-24,51,False
2019-03-31,68,False
2019-04-07,53,False
2019-04-14,55,False
2019-04-21,58,False
2019-04-28,42,False
2019-05-05,61,False
2019-05-12,55,False
2019-05-19,62,False
2019-05-26,84,False
2019-06-02,56,False
2019-06-09,70,False
2019-06-16,56,False
2019-06-23,73,False
2019-06-30,45,False
2019-07-07,47,False
2019-07-14,38,False
2019-07-21,37,False
2019-07-28,44,False
2019-08-04,48,False
2019-08-11,34,False
2019-08-18,52,False
2019-08-25,63,False
2019-09-01,49,False
2019-09-08,59,False
2019-09-15,83,False
2019-09-22,48,False
2019-09-29,48,False
2019-10-06,46,False
2019-10-13,49,False
2019-10-20,40,False
2019-10-27,52,False
2019-11-03,73,False
2019-11-10,59,False
2019-11-17,76,False
2019-11-24,48,False
2019-12-01,60,False
2019-12-08,78,False
2019-12-15,52,False
2019-12-22,33,False
2019-12-29,46,False
2020-01-05,63,False
2020-01-12,52,False
2020-01-19,51,False
2020-01-26,69,False
2020-02-02,52,False
2020-02-09,91,False
2020-02-16,64,False
2020-02-23,48,False
2020-03-01,55,False
2020-03-08,88,False
2020-03-15,84,False
2020-03-22,70,False
2020-03-29,54,False
2020-04-05,59,False
2020-04-12,82,False
2020-04-19,40,False
2020-04-26,58,False
2020-05-03,67,False
2020-05-10,79,False
2020-05-17,66,False
2020-05-24,59,False
2020-05-31,56,False
2020-06-07,41,False
2020-06-14,56,False
2020-06-21,63,False
2020-06-28,66,False
2020-07-05,51,False
2020-07-12,55,False
2020-07-19,57,False
2020-07-26,59,False
2020-08-02,64,False
2020-08-09,59,False
2020-08-16,41,False
2020-08-23,52,False
2020-08-30,46,False
2020-09-06,54,False
2020-09-13,57,False
2020-09-20,69,False
2020-09-27,55,False
2020-10-04,50,False
2020-10-11,43,False
2020-10-18,56,False
2020-10-25,57,False
2020-11-01,46,False
2020-11-08,75,False
2020-11-15,69,False
2020-11-22,54,False
2020-11-29,74,False
2020-12-06,58,False
2020-12-13,58,False
2020-12-20,40,False
2020-12-27,29,False
2021-01-03,44,False
2021-01-10,55,False
2021-01-17,85,False
2021-01-24,62,False
2021-01-31,63,False
2021-02-07,84,False
2021-02-14,62,False
2021-02-21,59,False
2021-02-28,53,False
2021-03-07,53,False
2021-03-14,66,False
2021-03-21,60,False
2021-03-28,40,False
2021-04-04,42,False
2021-04-11,45,False
2021-04-18,49,False
2021-04-25,36,False
2021-05-02,77,False
2021-05-09,46,False
2021-05-16,39,False
2021-05-23,37,False
2021-05-30,46,False
2021-06-06,52,False
2021-06-13,63,False
2021-06-20,55,False
2021-06-27,50,False
2021-07-04,56,False
2021-07-11,47,False
2021-07-18,72,False
2021-07-25,45,False
2021-08-01,51,False
2021-08-08,47,True
