date,FCX,isPartial
2016-08-21,56,False
2016-08-28,64,False
2016-09-04,53,False
2016-09-11,60,False
2016-09-18,75,False
2016-09-25,40,False
2016-10-02,33,False
2016-10-09,65,False
2016-10-16,43,False
2016-10-23,74,False
2016-10-30,43,False
2016-11-06,63,False
2016-11-13,51,False
2016-11-20,70,False
2016-11-27,70,False
2016-12-04,63,False
2016-12-11,56,False
2016-12-18,52,False
2016-12-25,38,False
2017-01-01,60,False
2017-01-08,63,False
2017-01-15,49,False
2017-01-22,83,False
2017-01-29,53,False
2017-02-05,62,False
2017-02-12,62,False
2017-02-19,69,False
2017-02-26,69,False
2017-03-05,51,False
2017-03-12,53,False
2017-03-19,52,False
2017-03-26,54,False
2017-04-02,58,False
2017-04-09,47,False
2017-04-16,46,False
2017-04-23,48,False
2017-04-30,47,False
2017-05-07,45,False
2017-05-14,31,False
2017-05-21,42,False
2017-05-28,36,False
2017-06-04,45,False
2017-06-11,47,False
2017-06-18,41,False
2017-06-25,42,False
2017-07-02,24,False
2017-07-09,40,False
2017-07-16,49,False
2017-07-23,56,False
2017-07-30,43,False
2017-08-06,31,False
2017-08-13,36,False
2017-08-20,46,False
2017-08-27,48,False
2017-09-03,32,False
2017-09-10,41,False
2017-09-17,42,False
2017-09-24,24,False
2017-10-01,42,False
2017-10-08,38,False
2017-10-15,53,False
2017-10-22,64,False
2017-10-29,41,False
2017-11-05,38,False
2017-11-12,43,False
2017-11-19,29,False
2017-11-26,52,False
2017-12-03,43,False
2017-12-10,56,False
2017-12-17,66,False
2017-12-24,50,False
2017-12-31,65,False
2018-01-07,69,False
2018-01-14,43,False
2018-01-21,64,False
2018-01-28,46,False
2018-02-04,47,False
2018-02-11,51,False
2018-02-18,47,False
2018-02-25,34,False
2018-03-04,38,False
2018-03-11,26,False
2018-03-18,34,False
2018-03-25,40,False
2018-04-01,28,False
2018-04-08,37,False
2018-04-15,29,False
2018-04-22,42,False
2018-04-29,34,False
2018-05-06,36,False
2018-05-13,31,False
2018-05-20,47,False
2018-05-27,29,False
2018-06-03,44,False
2018-06-10,41,False
2018-06-17,33,False
2018-06-24,29,False
2018-07-01,27,False
2018-07-08,36,False
2018-07-15,37,False
2018-07-22,44,False
2018-07-29,40,False
2018-08-05,26,False
2018-08-12,35,False
2018-08-19,33,False
2018-08-26,30,False
2018-09-02,31,False
2018-09-09,26,False
2018-09-16,47,False
2018-09-23,29,False
2018-09-30,24,False
2018-10-07,29,False
2018-10-14,46,False
2018-10-21,46,False
2018-10-28,33,False
2018-11-04,32,False
2018-11-11,34,False
2018-11-18,15,False
2018-11-25,35,False
2018-12-02,28,False
2018-12-09,27,False
2018-12-16,38,False
2018-12-23,26,False
2018-12-30,21,False
2019-01-06,36,False
2019-01-13,35,False
2019-01-20,41,False
2019-01-27,35,False
2019-02-03,31,False
2019-02-10,40,False
2019-02-17,43,False
2019-02-24,33,False
2019-03-03,33,False
2019-03-10,41,False
2019-03-17,42,False
2019-03-24,44,False
2019-03-31,35,False
2019-04-07,21,False
2019-04-14,24,False
2019-04-21,32,False
2019-04-28,37,False
2019-05-05,35,False
2019-05-12,40,False
2019-05-19,36,False
2019-05-26,30,False
2019-06-02,44,False
2019-06-09,38,False
2019-06-16,43,False
2019-06-23,31,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,40,False
2019-07-21,29,False
2019-07-28,28,False
2019-08-04,27,False
2019-08-11,29,False
2019-08-18,39,False
2019-08-25,35,False
2019-09-01,25,False
2019-09-08,29,False
2019-09-15,30,False
2019-09-22,36,False
2019-09-29,29,False
2019-10-06,33,False
2019-10-13,36,False
2019-10-20,34,False
2019-10-27,38,False
2019-11-03,37,False
2019-11-10,40,False
2019-11-17,25,False
2019-11-24,28,False
2019-12-01,28,False
2019-12-08,40,False
2019-12-15,33,False
2019-12-22,24,False
2019-12-29,25,False
2020-01-05,36,False
2020-01-12,40,False
2020-01-19,29,False
2020-01-26,29,False
2020-02-02,35,False
2020-02-09,40,False
2020-02-16,26,False
2020-02-23,37,False
2020-03-01,32,False
2020-03-08,41,False
2020-03-15,40,False
2020-03-22,45,False
2020-03-29,44,False
2020-04-05,33,False
2020-04-12,38,False
2020-04-19,36,False
2020-04-26,41,False
2020-05-03,39,False
2020-05-10,32,False
2020-05-17,35,False
