date,UNP,isPartial
2016-08-21,54,False
2016-08-28,60,False
2016-09-04,34,False
2016-09-11,31,False
2016-09-18,37,False
2016-09-25,32,False
2016-10-02,28,False
2016-10-09,28,False
2016-10-16,41,False
2016-10-23,32,False
2016-10-30,35,False
2016-11-06,38,False
2016-11-13,30,False
2016-11-20,37,False
2016-11-27,40,False
2016-12-04,37,False
2016-12-11,26,False
2016-12-18,21,False
2016-12-25,28,False
2017-01-01,23,False
2017-01-08,29,False
2017-01-15,42,False
2017-01-22,39,False
2017-01-29,39,False
2017-02-05,38,False
2017-02-12,31,False
2017-02-19,35,False
2017-02-26,34,False
2017-03-05,33,False
2017-03-12,34,False
2017-03-19,34,False
2017-03-26,31,False
2017-04-02,34,False
2017-04-09,27,False
2017-04-16,30,False
2017-04-23,36,False
2017-04-30,42,False
2017-05-07,34,False
2017-05-14,30,False
2017-05-21,34,False
2017-05-28,36,False
2017-06-04,36,False
2017-06-11,41,False
2017-06-18,55,False
2017-06-25,38,False
2017-07-02,49,False
2017-07-09,42,False
2017-07-16,34,False
2017-07-23,27,False
2017-07-30,30,False
2017-08-06,33,False
2017-08-13,38,False
2017-08-20,48,False
2017-08-27,47,False
2017-09-03,35,False
2017-09-10,32,False
2017-09-17,32,False
2017-09-24,44,False
2017-10-01,32,False
2017-10-08,28,False
2017-10-15,32,False
2017-10-22,28,False
2017-10-29,28,False
2017-11-05,33,False
2017-11-12,26,False
2017-11-19,33,False
2017-11-26,41,False
2017-12-03,33,False
2017-12-10,25,False
2017-12-17,23,False
2017-12-24,23,False
2017-12-31,27,False
2018-01-07,37,False
2018-01-14,48,False
2018-01-21,39,False
2018-01-28,41,False
2018-02-04,47,False
2018-02-11,31,False
2018-02-18,39,False
2018-02-25,37,False
2018-03-04,27,False
2018-03-11,26,False
2018-03-18,28,False
2018-03-25,25,False
2018-04-01,35,False
2018-04-08,35,False
2018-04-15,38,False
2018-04-22,35,False
2018-04-29,29,False
2018-05-06,30,False
2018-05-13,25,False
2018-05-20,27,False
2018-05-27,32,False
2018-06-03,32,False
2018-06-10,30,False
2018-06-17,45,False
2018-06-24,36,False
2018-07-01,61,False
2018-07-08,53,False
2018-07-15,42,False
2018-07-22,26,False
2018-07-29,27,False
