date,EW,isPartial
2016-08-21,76,False
2016-08-28,81,False
2016-09-04,82,False
2016-09-11,78,False
2016-09-18,92,False
2016-09-25,84,False
2016-10-02,81,False
2016-10-09,90,False
2016-10-16,88,False
2016-10-23,89,False
2016-10-30,92,False
2016-11-06,81,False
2016-11-13,88,False
2016-11-20,79,False
2016-11-27,80,False
2016-12-04,83,False
2016-12-11,89,False
2016-12-18,83,False
2016-12-25,87,False
2017-01-01,86,False
2017-01-08,85,False
2017-01-15,81,False
2017-01-22,88,False
2017-01-29,87,False
2017-02-05,85,False
2017-02-12,85,False
2017-02-19,90,False
2017-02-26,83,False
2017-03-05,81,False
2017-03-12,88,False
2017-03-19,86,False
2017-03-26,92,False
2017-04-02,94,False
2017-04-09,90,False
2017-04-16,81,False
2017-04-23,94,False
2017-04-30,88,False
2017-05-07,91,False
2017-05-14,87,False
2017-05-21,90,False
2017-05-28,85,False
2017-06-04,86,False
2017-06-11,90,False
2017-06-18,86,False
2017-06-25,86,False
2017-07-02,85,False
2017-07-09,79,False
2017-07-16,91,False
2017-07-23,96,False
2017-07-30,89,False
2017-08-06,81,False
2017-08-13,86,False
2017-08-20,83,False
2017-08-27,83,False
2017-09-03,79,False
2017-09-10,82,False
2017-09-17,81,False
2017-09-24,85,False
2017-10-01,81,False
2017-10-08,82,False
2017-10-15,87,False
2017-10-22,82,False
2017-10-29,85,False
2017-11-05,78,False
2017-11-12,87,False
2017-11-19,79,False
2017-11-26,86,False
2017-12-03,86,False
2017-12-10,86,False
2017-12-17,75,False
2017-12-24,83,False
2017-12-31,88,False
2018-01-07,80,False
2018-01-14,81,False
2018-01-21,79,False
2018-01-28,88,False
2018-02-04,81,False
2018-02-11,78,False
2018-02-18,80,False
2018-02-25,84,False
2018-03-04,91,False
2018-03-11,96,False
2018-03-18,81,False
2018-03-25,85,False
2018-04-01,88,False
2018-04-08,94,False
2018-04-15,85,False
2018-04-22,88,False
2018-04-29,91,False
2018-05-06,88,False
2018-05-13,84,False
2018-05-20,86,False
2018-05-27,88,False
2018-06-03,97,False
2018-06-10,90,False
2018-06-17,75,False
2018-06-24,83,False
2018-07-01,87,False
2018-07-08,88,False
2018-07-15,86,False
2018-07-22,82,False
2018-07-29,91,False
2018-08-05,85,False
2018-08-12,83,False
2018-08-19,80,False
2018-08-26,83,False
2018-09-02,86,False
2018-09-09,82,False
2018-09-16,85,False
2018-09-23,85,False
2018-09-30,82,False
2018-10-07,85,False
2018-10-14,90,False
2018-10-21,81,False
2018-10-28,79,False
2018-11-04,80,False
2018-11-11,81,False
2018-11-18,79,False
2018-11-25,75,False
2018-12-02,76,False
2018-12-09,82,False
2018-12-16,77,False
2018-12-23,79,False
2018-12-30,86,False
2019-01-06,82,False
2019-01-13,79,False
2019-01-20,79,False
2019-01-27,78,False
2019-02-03,90,False
2019-02-10,88,False
2019-02-17,81,False
2019-02-24,89,False
2019-03-03,93,False
2019-03-10,100,False
2019-03-17,84,False
2019-03-24,82,False
2019-03-31,88,False
2019-04-07,87,False
2019-04-14,79,False
2019-04-21,92,False
2019-04-28,94,False
2019-05-05,85,False
2019-05-12,89,False
2019-05-19,84,False
2019-05-26,81,False
2019-06-02,85,False
2019-06-09,78,False
2019-06-16,83,False
2019-06-23,81,False
2019-06-30,81,False
2019-07-07,84,False
2019-07-14,81,False
2019-07-21,76,False
2019-07-28,73,False
2019-08-04,74,False
2019-08-11,79,False
2019-08-18,74,False
2019-08-25,69,False
2019-09-01,78,False
2019-09-08,82,False
2019-09-15,79,False
2019-09-22,77,False
2019-09-29,84,False
2019-10-06,81,False
2019-10-13,75,False
2019-10-20,77,False
2019-10-27,77,False
2019-11-03,76,False
2019-11-10,80,False
2019-11-17,78,False
2019-11-24,76,False
2019-12-01,78,False
2019-12-08,69,False
2019-12-15,74,False
2019-12-22,77,False
2019-12-29,87,False
2020-01-05,69,False
2020-01-12,69,False
2020-01-19,77,False
2020-01-26,75,False
2020-02-02,74,False
2020-02-09,83,False
