date,CF,isPartial
2016-08-21,87,False
2016-08-28,100,False
2016-09-04,88,False
2016-09-11,87,False
2016-09-18,89,False
2016-09-25,84,False
2016-10-02,82,False
2016-10-09,82,False
2016-10-16,84,False
2016-10-23,81,False
2016-10-30,78,False
2016-11-06,75,False
2016-11-13,77,False
2016-11-20,83,False
2016-11-27,82,False
2016-12-04,79,False
2016-12-11,78,False
2016-12-18,76,False
2016-12-25,63,False
2017-01-01,75,False
2017-01-08,83,False
2017-01-15,79,False
2017-01-22,79,False
2017-01-29,81,False
2017-02-05,74,False
2017-02-12,75,False
2017-02-19,84,False
2017-02-26,81,False
2017-03-05,80,False
2017-03-12,80,False
2017-03-19,80,False
2017-03-26,75,False
2017-04-02,91,False
2017-04-09,78,False
2017-04-16,81,False
2017-04-23,83,False
2017-04-30,85,False
2017-05-07,83,False
2017-05-14,93,False
2017-05-21,85,False
2017-05-28,79,False
2017-06-04,78,False
2017-06-11,77,False
2017-06-18,81,False
2017-06-25,77,False
2017-07-02,78,False
2017-07-09,80,False
2017-07-16,79,False
2017-07-23,80,False
2017-07-30,81,False
2017-08-06,83,False
2017-08-13,85,False
2017-08-20,84,False
2017-08-27,89,False
2017-09-03,78,False
2017-09-10,84,False
2017-09-17,87,False
2017-09-24,80,False
2017-10-01,78,False
2017-10-08,77,False
2017-10-15,80,False
2017-10-22,87,False
2017-10-29,81,False
2017-11-05,74,False
2017-11-12,74,False
2017-11-19,83,False
2017-11-26,84,False
2017-12-03,80,False
2017-12-10,81,False
2017-12-17,76,False
2017-12-24,63,False
2017-12-31,70,False
2018-01-07,85,False
2018-01-14,82,False
2018-01-21,91,False
2018-01-28,80,False
2018-02-04,82,False
2018-02-11,81,False
2018-02-18,88,False
2018-02-25,84,False
2018-03-04,83,False
2018-03-11,75,False
2018-03-18,77,False
2018-03-25,75,False
2018-04-01,82,False
2018-04-08,84,False
2018-04-15,81,False
2018-04-22,78,False
2018-04-29,77,False
2018-05-06,79,False
2018-05-13,82,False
2018-05-20,80,False
2018-05-27,76,False
2018-06-03,70,False
2018-06-10,74,False
2018-06-17,66,False
2018-06-24,68,False
2018-07-01,64,False
2018-07-08,68,False
2018-07-15,71,False
2018-07-22,75,False
2018-07-29,73,False
2018-08-05,75,False
2018-08-12,83,False
2018-08-19,83,False
2018-08-26,82,False
2018-09-02,73,False
2018-09-09,75,False
2018-09-16,80,False
2018-09-23,77,False
2018-09-30,73,False
2018-10-07,69,False
2018-10-14,70,False
2018-10-21,68,False
2018-10-28,71,False
2018-11-04,72,False
2018-11-11,64,False
2018-11-18,66,False
2018-11-25,69,False
2018-12-02,66,False
2018-12-09,67,False
2018-12-16,63,False
2018-12-23,56,False
2018-12-30,58,False
2019-01-06,69,False
2019-01-13,66,False
2019-01-20,72,False
2019-01-27,75,False
2019-02-03,71,False
2019-02-10,67,False
2019-02-17,68,False
2019-02-24,73,False
2019-03-03,73,False
2019-03-10,74,False
2019-03-17,71,False
2019-03-24,71,False
2019-03-31,76,False
2019-04-07,71,False
2019-04-14,73,False
2019-04-21,72,False
2019-04-28,69,False
2019-05-05,79,False
2019-05-12,73,False
2019-05-19,78,False
2019-05-26,73,False
2019-06-02,79,False
2019-06-09,73,False
2019-06-16,66,False
2019-06-23,68,False
2019-06-30,67,False
2019-07-07,66,False
2019-07-14,71,False
2019-07-21,75,False
2019-07-28,72,False
2019-08-04,76,False
2019-08-11,82,False
2019-08-18,78,False
2019-08-25,74,False
2019-09-01,77,False
2019-09-08,71,False
2019-09-15,76,False
2019-09-22,81,False
2019-09-29,78,False
2019-10-06,67,False
2019-10-13,64,False
2019-10-20,71,False
2019-10-27,78,False
2019-11-03,77,False
2019-11-10,68,False
2019-11-17,66,False
2019-11-24,70,False
2019-12-01,66,False
2019-12-08,68,False
2019-12-15,90,False
2019-12-22,57,False
2019-12-29,66,False
2020-01-05,69,False
2020-01-12,68,False
2020-01-19,80,False
2020-01-26,78,False
2020-02-02,78,False
2020-02-09,100,False
2020-02-16,88,False
2020-02-23,77,False
2020-03-01,78,False
2020-03-08,72,False
2020-03-15,51,False
2020-03-22,46,False
2020-03-29,47,False
2020-04-05,46,False
2020-04-12,48,False
2020-04-19,46,False
2020-04-26,49,False
2020-05-03,50,False
2020-05-10,53,False
2020-05-17,52,False
2020-05-24,53,False
2020-05-31,55,False
2020-06-07,58,False
2020-06-14,64,False
2020-06-21,63,False
2020-06-28,68,False
2020-07-05,68,False
2020-07-12,71,False
2020-07-19,66,False
2020-07-26,59,False
2020-08-02,59,False
2020-08-09,62,False
2020-08-16,62,False
2020-08-23,69,False
2020-08-30,63,False
2020-09-06,63,False
2020-09-13,69,False
2020-09-20,66,False
2020-09-27,71,False
2020-10-04,62,False
2020-10-11,59,False
2020-10-18,64,False
2020-10-25,63,False
2020-11-01,61,False
2020-11-08,60,False
2020-11-15,56,False
2020-11-22,64,False
2020-11-29,62,False
2020-12-06,60,False
2020-12-13,66,False
2020-12-20,55,False
2020-12-27,54,False
2021-01-03,71,False
2021-01-10,59,False
2021-01-17,61,False
2021-01-24,66,False
2021-01-31,63,False
2021-02-07,62,False
2021-02-14,68,False
2021-02-21,66,False
2021-02-28,65,False
2021-03-07,66,False
2021-03-14,64,False
2021-03-21,59,False
2021-03-28,57,False
2021-04-04,72,False
2021-04-11,69,False
2021-04-18,69,False
2021-04-25,66,False
2021-05-02,71,False
2021-05-09,75,False
2021-05-16,73,False
2021-05-23,70,False
2021-05-30,59,False
2021-06-06,56,False
2021-06-13,55,False
2021-06-20,55,False
2021-06-27,54,False
2021-07-04,57,False
2021-07-11,61,False
2021-07-18,66,False
2021-07-25,60,False
2021-08-01,67,False
2021-08-08,66,True
