date,LNT,isPartial
2016-08-21,57,False
2016-08-28,56,False
2016-09-04,61,False
2016-09-11,67,False
2016-09-18,53,False
2016-09-25,61,False
2016-10-02,51,False
2016-10-09,33,False
2016-10-16,51,False
2016-10-23,49,False
2016-10-30,41,False
2016-11-06,44,False
2016-11-13,48,False
2016-11-20,44,False
2016-11-27,59,False
2016-12-04,41,False
2016-12-11,50,False
2016-12-18,34,False
2016-12-25,50,False
2017-01-01,41,False
2017-01-08,46,False
2017-01-15,46,False
2017-01-22,54,False
2017-01-29,48,False
2017-02-05,45,False
2017-02-12,59,False
2017-02-19,62,False
2017-02-26,56,False
2017-03-05,50,False
2017-03-12,38,False
2017-03-19,46,False
2017-03-26,50,False
2017-04-02,44,False
2017-04-09,48,False
2017-04-16,60,False
2017-04-23,50,False
2017-04-30,45,False
2017-05-07,60,False
2017-05-14,53,False
2017-05-21,61,False
2017-05-28,56,False
2017-06-04,46,False
2017-06-11,58,False
2017-06-18,48,False
2017-06-25,41,False
2017-07-02,65,False
2017-07-09,65,False
2017-07-16,61,False
2017-07-23,50,False
2017-07-30,56,False
2017-08-06,59,False
2017-08-13,34,False
2017-08-20,64,False
2017-08-27,59,False
2017-09-03,65,False
2017-09-10,58,False
2017-09-17,52,False
2017-09-24,60,False
2017-10-01,53,False
2017-10-08,69,False
2017-10-15,57,False
2017-10-22,62,False
2017-10-29,64,False
2017-11-05,64,False
2017-11-12,74,False
2017-11-19,61,False
2017-11-26,67,False
2017-12-03,82,False
2017-12-10,71,False
2017-12-17,61,False
2017-12-24,78,False
2017-12-31,85,False
2018-01-07,83,False
2018-01-14,82,False
2018-01-21,71,False
2018-01-28,87,False
2018-02-04,81,False
2018-02-11,67,False
2018-02-18,75,False
2018-02-25,52,False
2018-03-04,67,False
2018-03-11,73,False
2018-03-18,85,False
2018-03-25,57,False
2018-04-01,56,False
2018-04-08,74,False
2018-04-15,63,False
2018-04-22,73,False
2018-04-29,74,False
2018-05-06,69,False
2018-05-13,64,False
2018-05-20,63,False
2018-05-27,62,False
2018-06-03,73,False
2018-06-10,69,False
2018-06-17,65,False
2018-06-24,62,False
2018-07-01,70,False
2018-07-08,57,False
2018-07-15,71,False
2018-07-22,72,False
2018-07-29,75,False
2018-08-05,77,False
2018-08-12,79,False
2018-08-19,86,False
2018-08-26,77,False
2018-09-02,91,False
2018-09-09,75,False
2018-09-16,61,False
2018-09-23,76,False
2018-09-30,100,False
2018-10-07,85,False
2018-10-14,78,False
2018-10-21,73,False
2018-10-28,94,False
2018-11-04,57,False
2018-11-11,83,False
2018-11-18,91,False
2018-11-25,73,False
2018-12-02,90,False
2018-12-09,64,False
2018-12-16,74,False
2018-12-23,69,False
2018-12-30,94,False
2019-01-06,80,False
2019-01-13,73,False
2019-01-20,73,False
2019-01-27,78,False
2019-02-03,83,False
2019-02-10,77,False
2019-02-17,81,False
2019-02-24,58,False
2019-03-03,78,False
2019-03-10,72,False
2019-03-17,73,False
2019-03-24,73,False
2019-03-31,87,False
2019-04-07,71,False
2019-04-14,63,False
2019-04-21,56,False
2019-04-28,68,False
2019-05-05,73,False
2019-05-12,70,False
2019-05-19,88,False
2019-05-26,90,False
2019-06-02,83,False
2019-06-09,78,False
2019-06-16,70,False
2019-06-23,80,False
2019-06-30,55,False
2019-07-07,71,False
2019-07-14,69,False
2019-07-21,82,False
2019-07-28,77,False
2019-08-04,64,False
2019-08-11,76,False
2019-08-18,74,False
2019-08-25,84,False
2019-09-01,71,False
2019-09-08,70,False
2019-09-15,77,False
2019-09-22,85,False
2019-09-29,78,False
2019-10-06,58,False
2019-10-13,69,False
2019-10-20,74,False
2019-10-27,71,False
2019-11-03,81,False
2019-11-10,85,False
2019-11-17,73,False
2019-11-24,65,False
2019-12-01,94,False
2019-12-08,76,False
2019-12-15,73,False
2019-12-22,66,False
2019-12-29,80,False
2020-01-05,60,False
2020-01-12,57,False
2020-01-19,71,False
2020-01-26,78,False
2020-02-02,82,False
2020-02-09,68,False
2020-02-16,72,False
2020-02-23,86,False
2020-03-01,85,False
2020-03-08,75,False
2020-03-15,87,False
2020-03-22,84,False
2020-03-29,71,False
2020-04-05,69,False
2020-04-12,68,False
2020-04-19,59,False
2020-04-26,63,False
2020-05-03,69,False
2020-05-10,58,False
2020-05-17,64,False
2020-05-24,60,False
2020-05-31,73,False
2020-06-07,64,False
2020-06-14,72,False
2020-06-21,69,False
