date,C,isPartial
2019-05-26,84,False
2019-06-02,84,False
2019-06-09,84,False
2019-06-16,80,False
2019-06-23,82,False
2019-06-30,82,False
2019-07-07,78,False
2019-07-14,81,False
2019-07-21,80,False
2019-07-28,82,False
2019-08-04,82,False
2019-08-11,82,False
2019-08-18,86,False
2019-08-25,83,False
2019-09-01,84,False
2019-09-08,87,False
2019-09-15,86,False
2019-09-22,88,False
2019-09-29,88,False
2019-10-06,86,False
2019-10-13,82,False
2019-10-20,87,False
2019-10-27,85,False
2019-11-03,86,False
2019-11-10,88,False
2019-11-17,88,False
2019-11-24,85,False
2019-12-01,86,False
2019-12-08,86,False
2019-12-15,82,False
2019-12-22,77,False
2019-12-29,75,False
2020-01-05,83,False
2020-01-12,86,False
2020-01-19,85,False
2020-01-26,83,False
2020-02-02,84,False
2020-02-09,85,False
2020-02-16,87,False
2020-02-23,89,False
2020-03-01,88,False
2020-03-08,93,False
2020-03-15,96,False
2020-03-22,97,False
2020-03-29,95,False
2020-04-05,89,False
2020-04-12,87,False
2020-04-19,89,False
2020-04-26,89,False
2020-05-03,89,False
2020-05-10,89,False
2020-05-17,87,False
2020-05-24,88,False
2020-05-31,88,False
2020-06-07,92,False
2020-06-14,85,False
2020-06-21,85,False
2020-06-28,82,False
2020-07-05,85,False
2020-07-12,84,False
2020-07-19,83,False
2020-07-26,82,False
2020-08-02,85,False
2020-08-09,88,False
2020-08-16,86,False
2020-08-23,90,False
2020-08-30,88,False
2020-09-06,92,False
2020-09-13,96,False
2020-09-20,90,False
2020-09-27,90,False
2020-10-04,93,False
2020-10-11,98,False
2020-10-18,94,False
2020-10-25,92,False
2020-11-01,84,False
2020-11-08,94,False
2020-11-15,91,False
2020-11-22,94,False
2020-11-29,100,False
2020-12-06,94,False
2020-12-13,88,False
2020-12-20,84,False
2020-12-27,83,False
2021-01-03,85,False
2021-01-10,89,False
2021-01-17,91,False
2021-01-24,88,False
2021-01-31,88,False
2021-02-07,88,False
2021-02-14,91,False
2021-02-21,89,False
2021-02-28,88,False
2021-03-07,89,False
2021-03-14,94,False
2021-03-21,90,False
2021-03-28,90,False
2021-04-04,88,False
2021-04-11,85,False
2021-04-18,90,False
2021-04-25,90,False
2021-05-02,90,False
2021-05-09,85,False
2021-05-16,86,False
2021-05-23,89,False
2021-05-30,87,False
2021-06-06,92,False
2021-06-13,87,False
2021-06-20,85,False
2021-06-27,89,False
2021-07-04,88,False
2021-07-11,87,False
2021-07-18,85,False
2021-07-25,85,False
2021-08-01,86,False
2021-08-08,89,True
