date,GS,isPartial
2016-08-21,54,False
2016-08-28,57,False
2016-09-04,53,False
2016-09-11,51,False
2016-09-18,63,False
2016-09-25,51,False
2016-10-02,52,False
2016-10-09,47,False
2016-10-16,51,False
2016-10-23,50,False
2016-10-30,51,False
2016-11-06,49,False
2016-11-13,50,False
2016-11-20,68,False
2016-11-27,50,False
2016-12-04,49,False
2016-12-11,51,False
2016-12-18,49,False
2016-12-25,51,False
2017-01-01,49,False
2017-01-08,51,False
2017-01-15,51,False
2017-01-22,53,False
2017-01-29,52,False
2017-02-05,47,False
2017-02-12,55,False
2017-02-19,48,False
2017-02-26,63,False
2017-03-05,51,False
2017-03-12,51,False
2017-03-19,48,False
2017-03-26,47,False
2017-04-02,47,False
2017-04-09,48,False
2017-04-16,48,False
2017-04-23,60,False
2017-04-30,52,False
2017-05-07,45,False
2017-05-14,49,False
2017-05-21,51,False
2017-05-28,52,False
2017-06-04,56,False
2017-06-11,55,False
2017-06-18,53,False
2017-06-25,53,False
2017-07-02,52,False
2017-07-09,57,False
2017-07-16,60,False
2017-07-23,50,False
2017-07-30,57,False
2017-08-06,51,False
2017-08-13,62,False
2017-08-20,58,False
2017-08-27,53,False
2017-09-03,51,False
2017-09-10,58,False
2017-09-17,49,False
2017-09-24,61,False
2017-10-01,48,False
2017-10-08,49,False
2017-10-15,55,False
2017-10-22,77,False
2017-10-29,60,False
2017-11-05,48,False
2017-11-12,51,False
2017-11-19,50,False
2017-11-26,65,False
2017-12-03,53,False
2017-12-10,47,False
2017-12-17,55,False
2017-12-24,58,False
2017-12-31,46,False
2018-01-07,47,False
2018-01-14,56,False
2018-01-21,65,False
2018-01-28,54,False
2018-02-04,58,False
2018-02-11,52,False
2018-02-18,55,False
2018-02-25,55,False
2018-03-04,51,False
2018-03-11,88,False
2018-03-18,52,False
2018-03-25,48,False
2018-04-01,58,False
2018-04-08,57,False
2018-04-15,71,False
2018-04-22,50,False
2018-04-29,75,False
2018-05-06,64,False
2018-05-13,70,False
2018-05-20,67,False
2018-05-27,57,False
2018-06-03,60,False
2018-06-10,51,False
2018-06-17,51,False
2018-06-24,52,False
2018-07-01,48,False
2018-07-08,52,False
2018-07-15,53,False
2018-07-22,55,False
2018-07-29,51,False
2018-08-05,58,False
2018-08-12,50,False
