date,APA,isPartial
2016-08-21,33,False
2016-08-28,35,False
2016-09-04,36,False
2016-09-11,34,False
2016-09-18,37,False
2016-09-25,37,False
2016-10-02,38,False
2016-10-09,38,False
2016-10-16,37,False
2016-10-23,36,False
2016-10-30,38,False
2016-11-06,36,False
2016-11-13,38,False
2016-11-20,36,False
2016-11-27,38,False
2016-12-04,39,False
2016-12-11,30,False
2016-12-18,29,False
2016-12-25,24,False
2017-01-01,27,False
2017-01-08,30,False
2017-01-15,33,False
2017-01-22,33,False
2017-01-29,33,False
2017-02-05,34,False
2017-02-12,33,False
2017-02-19,35,False
2017-02-26,35,False
2017-03-05,37,False
2017-03-12,35,False
2017-03-19,35,False
2017-03-26,36,False
2017-04-02,37,False
2017-04-09,34,False
2017-04-16,35,False
2017-04-23,35,False
2017-04-30,34,False
2017-05-07,35,False
2017-05-14,35,False
2017-05-21,32,False
2017-05-28,33,False
2017-06-04,32,False
2017-06-11,29,False
2017-06-18,25,False
2017-06-25,22,False
2017-07-02,27,False
2017-07-09,28,False
2017-07-16,30,False
2017-07-23,34,False
2017-07-30,36,False
2017-08-06,35,False
2017-08-13,30,False
2017-08-20,35,False
2017-08-27,34,False
2017-09-03,39,False
2017-09-10,38,False
2017-09-17,39,False
2017-09-24,43,False
2017-10-01,41,False
2017-10-08,41,False
2017-10-15,39,False
2017-10-22,39,False
2017-10-29,40,False
2017-11-05,40,False
2017-11-12,41,False
2017-11-19,39,False
2017-11-26,40,False
2017-12-03,41,False
2017-12-10,34,False
2017-12-17,28,False
2017-12-24,27,False
2017-12-31,29,False
2018-01-07,32,False
2018-01-14,34,False
2018-01-21,36,False
2018-01-28,37,False
2018-02-04,36,False
2018-02-11,35,False
2018-02-18,38,False
2018-02-25,38,False
2018-03-04,39,False
2018-03-11,37,False
2018-03-18,39,False
2018-03-25,36,False
2018-04-01,39,False
2018-04-08,39,False
2018-04-15,39,False
2018-04-22,39,False
2018-04-29,36,False
2018-05-06,36,False
2018-05-13,35,False
2018-05-20,41,False
2018-05-27,34,False
2018-06-03,31,False
2018-06-10,25,False
2018-06-17,26,False
2018-06-24,31,False
2018-07-01,31,False
2018-07-08,31,False
2018-07-15,34,False
2018-07-22,38,False
2018-07-29,39,False
2018-08-05,40,False
2018-08-12,35,False
2018-08-19,37,False
2018-08-26,41,False
2018-09-02,43,False
2018-09-09,42,False
2018-09-16,46,False
2018-09-23,46,False
2018-09-30,47,False
2018-10-07,48,False
2018-10-14,44,False
2018-10-21,45,False
2018-10-28,47,False
2018-11-04,46,False
2018-11-11,47,False
2018-11-18,42,False
2018-11-25,48,False
2018-12-02,47,False
2018-12-09,39,False
2018-12-16,35,False
2018-12-23,31,False
2018-12-30,33,False
2019-01-06,41,False
2019-01-13,42,False
2019-01-20,43,False
2019-01-27,44,False
2019-02-03,44,False
2019-02-10,46,False
2019-02-17,45,False
2019-02-24,45,False
2019-03-03,43,False
2019-03-10,44,False
2019-03-17,45,False
2019-03-24,44,False
2019-03-31,42,False
2019-04-07,45,False
2019-04-14,41,False
2019-04-21,44,False
2019-04-28,41,False
2019-05-05,41,False
2019-05-12,45,False
2019-05-19,43,False
2019-05-26,35,False
2019-06-02,27,False
2019-06-09,35,False
2019-06-16,38,False
