date,NEE,isPartial
2016-08-21,57,False
2016-08-28,56,False
2016-09-04,57,False
2016-09-11,63,False
2016-09-18,57,False
2016-09-25,58,False
2016-10-02,53,False
2016-10-09,56,False
2016-10-16,59,False
2016-10-23,59,False
2016-10-30,53,False
2016-11-06,58,False
2016-11-13,61,False
2016-11-20,59,False
2016-11-27,60,False
2016-12-04,61,False
2016-12-11,59,False
2016-12-18,65,False
2016-12-25,84,False
2017-01-01,78,False
2017-01-08,58,False
2017-01-15,56,False
2017-01-22,62,False
2017-01-29,57,False
2017-02-05,57,False
2017-02-12,60,False
2017-02-19,63,False
2017-02-26,62,False
2017-03-05,61,False
2017-03-12,61,False
2017-03-19,62,False
2017-03-26,66,False
2017-04-02,60,False
2017-04-09,63,False
2017-04-16,66,False
2017-04-23,64,False
2017-04-30,66,False
2017-05-07,67,False
2017-05-14,69,False
2017-05-21,68,False
2017-05-28,74,False
2017-06-04,71,False
2017-06-11,69,False
2017-06-18,69,False
2017-06-25,71,False
2017-07-02,70,False
2017-07-09,74,False
2017-07-16,73,False
2017-07-23,69,False
2017-07-30,75,False
2017-08-06,73,False
2017-08-13,74,False
2017-08-20,72,False
2017-08-27,69,False
2017-09-03,71,False
2017-09-10,73,False
2017-09-17,72,False
2017-09-24,73,False
2017-10-01,71,False
2017-10-08,70,False
2017-10-15,69,False
2017-10-22,69,False
2017-10-29,74,False
2017-11-05,70,False
2017-11-12,70,False
2017-11-19,70,False
2017-11-26,67,False
2017-12-03,64,False
2017-12-10,69,False
2017-12-17,70,False
2017-12-24,85,False
2017-12-31,91,False
2018-01-07,69,False
2018-01-14,64,False
2018-01-21,67,False
2018-01-28,72,False
2018-02-04,73,False
2018-02-11,75,False
2018-02-18,72,False
2018-02-25,69,False
2018-03-04,70,False
2018-03-11,75,False
2018-03-18,75,False
2018-03-25,75,False
2018-04-01,74,False
2018-04-08,69,False
2018-04-15,74,False
2018-04-22,80,False
2018-04-29,75,False
2018-05-06,75,False
2018-05-13,71,False
2018-05-20,74,False
2018-05-27,76,False
2018-06-03,77,False
2018-06-10,72,False
2018-06-17,71,False
2018-06-24,75,False
2018-07-01,77,False
2018-07-08,78,False
2018-07-15,75,False
2018-07-22,73,False
2018-07-29,77,False
2018-08-05,79,False
2018-08-12,79,False
2018-08-19,76,False
2018-08-26,79,False
2018-09-02,78,False
2018-09-09,83,False
2018-09-16,82,False
2018-09-23,76,False
2018-09-30,94,False
2018-10-07,81,False
2018-10-14,73,False
2018-10-21,77,False
2018-10-28,76,False
2018-11-04,73,False
2018-11-11,73,False
2018-11-18,81,False
2018-11-25,75,False
2018-12-02,80,False
2018-12-09,73,False
2018-12-16,78,False
2018-12-23,86,False
2018-12-30,97,False
2019-01-06,76,False
2019-01-13,71,False
2019-01-20,76,False
2019-01-27,73,False
2019-02-03,73,False
2019-02-10,72,False
2019-02-17,69,False
2019-02-24,69,False
2019-03-03,68,False
2019-03-10,74,False
2019-03-17,76,False
2019-03-24,73,False
2019-03-31,70,False
2019-04-07,69,False
2019-04-14,66,False
2019-04-21,63,False
2019-04-28,71,False
2019-05-05,65,False
2019-05-12,61,False
2019-05-19,67,False
2019-05-26,64,False
2019-06-02,63,False
2019-06-09,65,False
2019-06-16,68,False
2019-06-23,64,False
2019-06-30,70,False
2019-07-07,65,False
2019-07-14,71,False
2019-07-21,70,False
2019-07-28,69,False
2019-08-04,69,False
2019-08-11,64,False
2019-08-18,63,False
2019-08-25,67,False
2019-09-01,64,False
2019-09-08,62,False
2019-09-15,67,False
2019-09-22,65,False
2019-09-29,71,False
2019-10-06,69,False
2019-10-13,67,False
2019-10-20,64,False
2019-10-27,64,False
2019-11-03,66,False
2019-11-10,64,False
2019-11-17,67,False
2019-11-24,64,False
2019-12-01,61,False
2019-12-08,62,False
2019-12-15,66,False
2019-12-22,76,False
2019-12-29,93,False
2020-01-05,64,False
2020-01-12,62,False
2020-01-19,65,False
2020-01-26,60,False
2020-02-02,63,False
2020-02-09,62,False
2020-02-16,62,False
2020-02-23,61,False
2020-03-01,64,False
2020-03-08,64,False
2020-03-15,67,False
2020-03-22,72,False
2020-03-29,71,False
2020-04-05,74,False
2020-04-12,70,False
2020-04-19,64,False
2020-04-26,62,False
2020-05-03,68,False
2020-05-10,63,False
2020-05-17,64,False
2020-05-24,61,False
2020-05-31,59,False
2020-06-07,60,False
2020-06-14,63,False
2020-06-21,65,False
