date,PFG,isPartial
2016-08-21,63,False
2016-08-28,61,False
2016-09-04,51,False
2016-09-11,67,False
2016-09-18,59,False
2016-09-25,48,False
2016-10-02,68,False
2016-10-09,59,False
2016-10-16,62,False
2016-10-23,54,False
2016-10-30,55,False
2016-11-06,44,False
2016-11-13,64,False
2016-11-20,53,False
2016-11-27,69,False
2016-12-04,58,False
2016-12-11,82,False
2016-12-18,52,False
2016-12-25,40,False
2017-01-01,47,False
2017-01-08,55,False
2017-01-15,57,False
2017-01-22,53,False
2017-01-29,51,False
2017-02-05,67,False
2017-02-12,62,False
2017-02-19,60,False
2017-02-26,76,False
2017-03-05,61,False
2017-03-12,61,False
2017-03-19,67,False
2017-03-26,71,False
2017-04-02,74,False
2017-04-09,70,False
2017-04-16,82,False
2017-04-23,75,False
2017-04-30,69,False
2017-05-07,70,False
2017-05-14,61,False
2017-05-21,66,False
2017-05-28,74,False
2017-06-04,65,False
2017-06-11,60,False
2017-06-18,80,False
2017-06-25,70,False
2017-07-02,69,False
2017-07-09,74,False
2017-07-16,77,False
2017-07-23,89,False
2017-07-30,74,False
2017-08-06,76,False
2017-08-13,59,False
2017-08-20,96,False
2017-08-27,77,False
2017-09-03,70,False
2017-09-10,69,False
2017-09-17,68,False
2017-09-24,76,False
2017-10-01,81,False
2017-10-08,80,False
2017-10-15,64,False
2017-10-22,64,False
2017-10-29,75,False
2017-11-05,75,False
2017-11-12,69,False
2017-11-19,61,False
2017-11-26,78,False
2017-12-03,74,False
2017-12-10,47,False
2017-12-17,56,False
2017-12-24,49,False
2017-12-31,57,False
2018-01-07,66,False
2018-01-14,76,False
2018-01-21,49,False
2018-01-28,59,False
2018-02-04,68,False
2018-02-11,77,False
2018-02-18,74,False
2018-02-25,77,False
2018-03-04,89,False
2018-03-11,70,False
2018-03-18,78,False
2018-03-25,66,False
2018-04-01,80,False
2018-04-08,74,False
2018-04-15,78,False
2018-04-22,78,False
2018-04-29,80,False
2018-05-06,74,False
2018-05-13,84,False
2018-05-20,79,False
