date,ALLE,isPartial
2016-08-21,71,False
2016-08-28,72,False
2016-09-04,73,False
2016-09-11,72,False
2016-09-18,72,False
2016-09-25,70,False
2016-10-02,70,False
2016-10-09,71,False
2016-10-16,72,False
2016-10-23,75,False
2016-10-30,74,False
2016-11-06,76,False
2016-11-13,73,False
2016-11-20,76,False
2016-11-27,75,False
2016-12-04,74,False
2016-12-11,76,False
2016-12-18,81,False
2016-12-25,75,False
2017-01-01,76,False
2017-01-08,75,False
2017-01-15,75,False
2017-01-22,74,False
2017-01-29,76,False
2017-02-05,75,False
2017-02-12,74,False
2017-02-19,77,False
2017-02-26,76,False
2017-03-05,77,False
2017-03-12,76,False
2017-03-19,73,False
2017-03-26,76,False
2017-04-02,75,False
2017-04-09,76,False
2017-04-16,73,False
2017-04-23,76,False
2017-04-30,80,False
2017-05-07,77,False
2017-05-14,75,False
2017-05-21,71,False
2017-05-28,73,False
2017-06-04,72,False
2017-06-11,78,False
2017-06-18,73,False
2017-06-25,100,False
2017-07-02,73,False
2017-07-09,73,False
2017-07-16,70,False
2017-07-23,71,False
2017-07-30,69,False
2017-08-06,71,False
2017-08-13,72,False
2017-08-20,71,False
2017-08-27,72,False
2017-09-03,73,False
2017-09-10,72,False
2017-09-17,73,False
2017-09-24,77,False
2017-10-01,75,False
2017-10-08,74,False
2017-10-15,74,False
2017-10-22,77,False
2017-10-29,79,False
2017-11-05,77,False
2017-11-12,78,False
2017-11-19,78,False
2017-11-26,74,False
2017-12-03,78,False
2017-12-10,78,False
2017-12-17,76,False
2017-12-24,79,False
2017-12-31,79,False
2018-01-07,75,False
2018-01-14,77,False
2018-01-21,77,False
2018-01-28,77,False
2018-02-04,74,False
2018-02-11,77,False
2018-02-18,79,False
2018-02-25,79,False
2018-03-04,89,False
2018-03-11,76,False
2018-03-18,73,False
2018-03-25,77,False
2018-04-01,73,False
2018-04-08,72,False
2018-04-15,69,False
2018-04-22,75,False
2018-04-29,71,False
2018-05-06,73,False
2018-05-13,77,False
2018-05-20,73,False
2018-05-27,74,False
2018-06-03,75,False
2018-06-10,84,False
2018-06-17,84,False
2018-06-24,75,False
2018-07-01,74,False
2018-07-08,71,False
2018-07-15,72,False
2018-07-22,67,False
2018-07-29,67,False
2018-08-05,67,False
2018-08-12,70,False
2018-08-19,76,False
2018-08-26,74,False
2018-09-02,72,False
2018-09-09,72,False
2018-09-16,74,False
2018-09-23,72,False
2018-09-30,70,False
2018-10-07,73,False
2018-10-14,75,False
2018-10-21,74,False
2018-10-28,75,False
2018-11-04,75,False
2018-11-11,76,False
2018-11-18,77,False
2018-11-25,74,False
2018-12-02,75,False
2018-12-09,74,False
2018-12-16,76,False
2018-12-23,81,False
2018-12-30,81,False
2019-01-06,75,False
2019-01-13,80,False
2019-01-20,77,False
2019-01-27,78,False
2019-02-03,75,False
2019-02-10,75,False
2019-02-17,77,False
2019-02-24,78,False
2019-03-03,80,False
2019-03-10,79,False
2019-03-17,79,False
2019-03-24,77,False
2019-03-31,78,False
2019-04-07,78,False
2019-04-14,74,False
2019-04-21,73,False
2019-04-28,76,False
2019-05-05,84,False
2019-05-12,79,False
2019-05-19,87,False
2019-05-26,92,False
2019-06-02,74,False
2019-06-09,72,False
2019-06-16,73,False
2019-06-23,66,False
2019-06-30,70,False
2019-07-07,69,False
2019-07-14,68,False
2019-07-21,67,False
2019-07-28,69,False
2019-08-04,70,False
2019-08-11,77,False
2019-08-18,73,False
2019-08-25,74,False
2019-09-01,73,False
2019-09-08,72,False
2019-09-15,74,False
2019-09-22,74,False
2019-09-29,80,False
2019-10-06,73,False
2019-10-13,73,False
2019-10-20,75,False
2019-10-27,82,False
2019-11-03,76,False
2019-11-10,77,False
2019-11-17,79,False
2019-11-24,76,False
2019-12-01,75,False
2019-12-08,78,False
2019-12-15,81,False
2019-12-22,86,False
2019-12-29,79,False
2020-01-05,79,False
2020-01-12,79,False
2020-01-19,83,False
2020-01-26,84,False
2020-02-02,75,False
2020-02-09,78,False
2020-02-16,81,False
2020-02-23,77,False
2020-03-01,82,False
2020-03-08,90,False
2020-03-15,99,False
2020-03-22,100,False
2020-03-29,100,False
2020-04-05,97,False
2020-04-12,95,False
2020-04-19,98,False
2020-04-26,95,False
2020-05-03,95,False
2020-05-10,96,False
2020-05-17,88,False
2020-05-24,91,False
2020-05-31,84,False
2020-06-07,86,False
2020-06-14,84,False
2020-06-21,76,False
2020-06-28,76,False
2020-07-05,76,False
2020-07-12,71,False
2020-07-19,73,False
2020-07-26,71,False
2020-08-02,69,False
2020-08-09,70,False
2020-08-16,74,False
2020-08-23,75,False
2020-08-30,75,False
2020-09-06,73,False
2020-09-13,73,False
2020-09-20,85,False
2020-09-27,74,False
2020-10-04,75,False
2020-10-11,77,False
2020-10-18,79,False
2020-10-25,83,False
2020-11-01,82,False
2020-11-08,83,False
2020-11-15,86,False
2020-11-22,85,False
2020-11-29,82,False
2020-12-06,86,False
2020-12-13,88,False
2020-12-20,91,False
2020-12-27,88,False
2021-01-03,88,False
2021-01-10,89,False
2021-01-17,94,False
2021-01-24,91,False
2021-01-31,89,False
2021-02-07,88,False
2021-02-14,84,False
2021-02-21,85,False
2021-02-28,87,False
2021-03-07,91,False
2021-03-14,90,False
2021-03-21,89,False
2021-03-28,86,False
2021-04-04,85,False
2021-04-11,93,False
2021-04-18,93,False
2021-04-25,87,False
2021-05-02,91,False
2021-05-09,92,False
2021-05-16,96,False
2021-05-23,84,False
2021-05-30,80,False
2021-06-06,80,False
2021-06-13,80,False
2021-06-20,81,False
2021-06-27,79,False
2021-07-04,74,False
2021-07-11,73,False
2021-07-18,76,False
2021-07-25,79,False
2021-08-01,81,False
2021-08-08,80,True
